,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0,0.129050504477228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10941738896161,0,0.501028350669329,0.390500439642327,0.0378693498286613,-0.216542958850857,0,0,0.17035445401379,0,-0.0766852601654218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187494716936998,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.240940899384986,0,0,0,-0.0853774312152305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.19885155895409,0.0271443267688932,0.0136433560603364,0,0,0,0.218770306321371,0,0.182017756321004,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839231573012681,0,0,0,0,0,0.0163944756399699,0,0,-0.0558580727465044,0,0,0,0.0383727045911822,0.129401947618471,-4.33680868994202e-19,0,0,0.00265767893588802,0,0,0,0,0.031211759310201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716295412656079,0,0,0.00658042888837623,0,0
X601288.CH.EQUITY,0,0,0.908505287609423,0,-0.0890223243051993,0,0,0,0,0,0,0,0,0,0,0.0313287761816332,0,0,0.121916742558391,0,0,0,0,0,0,0,0.0451658458841349,0.029874494811596,0,0,0,0,0,0,0,0.0184979212784627,0,0,0,-0.0254491480576883,-0.0780147634246766,0,0,0,0,0.00663936170089653,0,0,0,0,-0.0534998393082913,0
X601628.CH.EQUITY,0.0156140969145118,0,0,3.46944695195361e-18,0,0,0,0,0,0.2954830451019,0,0.235114835765874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00850794022712378,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.521666186437505,0,0,0,0,0,0,0,0,0.205770659364855,0,0,0,0,0.127177774440592
X600036.CH.EQUITY,0,0,0,0.327154211334962,0,0,0,0,0.0665159456066542,0,0,0,0,0,0,0,0.14948902186389,0.134032011641856,0,0,0,0,0,0,0,0,0,0,0.126443799515585,0.147856588647783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532581224574315,0,-0.0113107129290318,0,0.0068504104200824,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,0.00284956328268511,-0.136619167913137,0.0795813068792248,0,0.0507704447244722,0,0,0,-0.0218441910459048,0,0,0,-0.000942073642149765,0,0,0,0,-0.0422713354218471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10878198961266,0,0,0,0,0,0,0,0,1.05214537140758,0,0
X1299.HK.EQUITY,0,0,0,0,0.0595589553953479,0,0,0,0.10740532886084,0.0290119721082183,0,0,0.0131914803688092,0,0,0,0,0,0,0,0,0,0,0,0.103926996518919,0,0,0,0,0,0.237845991016271,0.284142798251838,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.00999449886695623,-0.110438082701991,0,0.208884620911927,0,0.104032404569219,0,0,0.150305400563566
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144280895973635,0,0,-0.196539901443984,0,0,0,0,0,0.0242219145696675,-0.0198002938719632,0.223764618654787,0.48398777625161,0,0,0,0,0,0,0,0,0,-0.0671076021504459,0.0601112897060358,0,0,0,0,0,0.0574404968910132,0,-0.167040198174513,0,0.0630800090574834,0,0.120396406898099,0
X388.HK.EQUITY,1.73472347597681e-18,0,0,0,0.329020777342451,0,0,0,0.0871440966739079,0,0,0,0,0,0,0,0,-0.242996763269043,0,0,0,0,0,0,0.476862379078291,0.220531547599127,0,0,0,0,0.0162019242110885,0,0,0,0,0,0,0,0,0,0,-0.161022945224421,0,0,0,0.113659654405018,0,0,-0.0754336356650248,0,0,0.0744650831721194
