,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.138343296594323,0,0,0,0,0,0,0,0,0,0,-0.0966338302604207,0,0.431997112236504,0.688342757915396,0,0.0393783401460737,0,-0.127767520524866,0,0,-0.0832265507389747,0,0.10779415942235,0,0,0,0,-0.13394116925253,0,6.93889390390723e-18,-0.338795012754191,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,0,0,0.196906165524081,0,0,0,-0.0285226683225078,0,0,0,0,0.118784101312901,0,0,0,0,0.253241075485547,0,0,0,0,0,0,0,0,0,0.0869052689140573,0,0,0,0,0,0,0.402528481307079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.806387877799694,0.0267741035926216,0.0571404865576808,0,0,0,0,0,0,0,0,0,0.029692365066859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431785663133603,0,0,0,0.0434874631063325,0,0,0,0,0,0,0.0467072277327176,0,0,0,0,0.00130278212061205,0,0
X601288.CH.EQUITY,0,0,0.877617885713035,0,0.0805913538167495,0,-0.0903429794540381,0,0,0,0,0,0.0153927542104324,0,0,0,0.0531758054122076,0.118293436362284,0,0,0,0,0,0,0,-0.0920441025115537,0.0109042384272925,0,0,0,0.00809111771953528,0,0,0,0,0,0,-0.141071925775065,0,0,-0.00544436015781392,0,0,0,0,0,0,0,0,-0.00364289909275307,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884423785825676,0,0,0,-0.292807432641657,0,-3.46944695195361e-18,0,0,0,0.391376322505053,0,0,0,0,0,0,0,0,-0.247505807742471,0,0,-0.0257019154797312,0,0.0427759476041523,0,0,0,0,0,0,0,0,0.0897406096260109,0,0,0.0217112312681694,0
X600036.CH.EQUITY,0,0,0.389902434457611,-1.73472347597681e-18,0,0,0,0,0.0100730980823484,-4.33680868994202e-19,0,0,0,0,0,0.128980519815436,0,0,0,0,0,0,0,0,0,0,0.191849883884767,0,0.00939998592376348,0,0,0,0.169169941710762,0,0,0,0,0,0,0,0,0,0,0,0.0207733587359192,0,0,0,0.006339670140209,0.00526731271936511,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.104485259142305,0.728003895408208,0,0,0.0934327349868851,0,0,0,0,0,0,0.10514957644551,0,0,0,0,0,0,0,0,-0.0496350143135047,0,0,0,0,0.0712819133901101,0.190737117104223,0,0,0,-0.113583747926745,0,0,0.112069578514571,-0.0274420145304292,0,0,0,0.110015585942993,0,0.0247531102175207
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00254513091061117,0,0,0,0,0,0,0,0.253187891607063,0,0,-0.227180238064902,0,0.085303667765864,0,0,0.153476280844628,0,0.310817887606397,0,0,0,0,0,0,0,0.0218314852973491,0,0,0.032567392206559,0,0,0,0.381266592145015,0,0,0,0.0776354732355699,-0.107252438630555
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.366306827480914,0,0,0.38027482865114,0,0,0,0,0,0.0767522420117295,0,0.313366832719683,0.0437086254300423,0.27661362751617,0,0,0.107655366826811,0,0,0,0,0,0,0,0,-0.221528590409009,0,0,0,0.0731930189319521,-0.168090019243445,0.0200020354177331,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0.214694525796548,0,0,0,0,0,0,0,0,0,0,0,-0.213624146467673,0,0,0,0,0,0,0.352401959297478,0,0.0655175487436811,0,0.123067175627802,0.0237196985276073,0,0,0,0,0,0,0,0,0,0,0,0,0.164375367890212,0,0.0417441447285533,0,0,0.0609400128040204,-0.262625320365874,0
X601658.CH.Equity,0,0,0,0.225263058522005,0,0,0,0,0,0,0,0,0,0.00187452850612838,0,0,0,0.287434249294859,0,0,-0.106909561913098,0,0,0,0,-0.0745234724950099,0,0,0,0,0.0597488045729122,0,0,0,0,0,0,0,0,0,0,0.344042611562552,0,0,0,0,0,0,0,0,0
