,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0606027359648915,0.084927940419943,0,0,0,0,0,-0.0131031772891513,0,0,0,0,0,0,0,0,0,0,-0.127638184918044,0.0220022369848049,0,0.516332074897784,-0.295309256974106,0.436810048009954,0,0,0,-0.0486021072858567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120259755392395,0
X601318.CH.EQUITY,0,0,0,0,0,0.190694892057623,0,0,0,-0.0365068343059261,0,-1.38777878078145e-17,0,0.0905167634047724,0,0,0,0.0978854935998542,0,0,0.016118815715708,0,0,0,0,0,0,0,0,0.076340251351378,0.148933893825742,0,0,0,0,0.191830506721691,0,0.101430856395404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437746038723986,0
X601939.CH.EQUITY,0,0.0819023196696781,0,0.802212423728272,0,0,0.00155170358141156,0,0,0.0438343101638708,0,0,-0.0103333070315661,0.0144667039466499,0,0,0,0.0800877642185267,0,0,0,0,0,0,0,0,0.025697898424884,0,0,0,0,0,0,0,0,0,0,0.0686825444361097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.964714675312898,0,-0.00554882062629418,0,0,0,0,0,0,0,0,0,0,0.0148029138608791,0,0,0,0,0,0,0,0,0,0,0.060293742058632,0,0,0,0,0,0,0,0,0.0402473007955188,0,0,0,-0.0761732441726599,-0.0818214862813243,0,0,0,0,0.00196980047828492,0,0,0,0,-0.0826762179158508,-0.036056928851443,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.235527892489622,0,0.161707896403832,0,0,0,0,0,0,0,0.0884268785791648,0,0,-8.67361737988404e-19,0,0,0,-0.115902141767272,0,0,0,0,0,0.0715675368239281,0,0,0,0,0.455308634330076,0,0,0,0,0,0,0,0.0915835543511105,0,0.214738736253902,0,0,0,0.0324700767022553,0
X600036.CH.EQUITY,0,0,0,0.328859916754126,0,0,0.00603443957582312,0,0.0354580878620281,0,0,0,0,0,0,0,0.172008318115292,0.0120347437229992,0,0.0251103433319435,0,0,0,0,0,0,0.0349672973477582,0.170452763150123,0,0,0.113410841607609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405970533004662,0,0,0,0,0.0420902663331991,0,0,0
X601988.CH.EQUITY,0,0,0,0.0770226247062241,-0.0209930320422404,0,0,0,-0.0381205971910476,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0.0467730678679093,0,0,0,0,0,0,0,-0.0133137506478811,0,0,0,0,0,0,0,0,0,0,0,-0.127056419591646,0,0.99928863284962,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.103146820204095,0,0,0,0,0.16391812408817,0,0,0,0,0,0,0,0,0,0,0,0.296445928983036,0,-0.0224284348430542,0,0,0,0,0.075504499036947,0,0,0,0,0.153913130117621,0,0,0.0658381523711153,0,0.103083055021007,0,0,0,0.0984834295782073,0,0,0,0,0.133098597866919,0,0,0,0,-0.0256900914023814
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00932843812093884,0,0,0,0,0.139020674336945,0,0.444368618408998,-0.137574506327649,0,0,0,0,0,0,0,-0.174836481510252,0.166492496065227,0,0,0,0,0.0328301257925345,0.107555170231266,0,0,-0.2150490470959,0,0,0.170196137571142,0.0567382525773703,0.0276391808495855
X388.HK.EQUITY,0,0,0,0,0.228504937331483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181047148429255,0.282131273441176,0,0,0.11595477384547,0,0,0,0,0,0,0,0,0.0912767330256402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.238949135195913,0,0.162413430070982,0
