,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.019318428381807,0,0.16486726989633,0,0,0.110454591168676,0,0.246171829169765,0,0,0,0,0,0.189960208879082,0,0,0,0,0,0,0,0,0,0,0,0,0.0424147035385364,0,0.137889758577993,0,0,0,0,0,0,0.0288855651398569,0,0,0,0,0,0,0,0,0,0,0.0491144994813923,0,0.00614861449243562,0,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0,0
X601939.CH.EQUITY,0.269217166929306,0,0,0,0,0,0,0,0,0,0,0,0,0.413717831595228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191903169551316,0,0,0.108130730743546,0,0,0.0067828334038339,0,0,0,0,0.00386075594048024,0,0,0,0,0,0
X601288.CH.EQUITY,0.352852835125064,0,0,0,0,0.499109665718813,0.00606749786536395,0,0,0,0,0.0101140695063306,0,0,0.0387919823209978,0,0,0,0,0,0,-0.032845743833144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019488887679566,0,0,0,0,0.0900748588991434,0,0,0.0090111548027836,0,0,0
X5.HK.EQUITY,0,0,-0.0463738217103345,0,0,0,0,0,0,0,0,0,0.277351096808178,0,0,0,0,0,0,0,0,0,0.452565832237051,0,0,0,0,0.0558326075676958,0,0,0,0,0,0,0,0,0,0.153536833324841,0,0,0,0,0,0,0,0,0,0,0,-0.28649494004562,0.16288472428608,0,-0.0691058940833906
X601988.CH.EQUITY,0,0.0659401721149577,0,0,0,0,0,0,0.0804538132617541,0,0,0,0,0.011759592279636,0,0,0,0.219513091031161,0.1276362643274,0,0,0,0,0.298481056458527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138628401280659,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0818993285446638,0,0,0,0.282130709649048,0,0,0,0,0.190722156427792,0,0,0,0,0,0,0,0,0,0,0.0643405665048558,0,0.177037210821405,0,0.124811199945691,0,0,0,0.0061248299535297,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0643115046550387,0,0,0.0169845352495211
X1299.HK.EQUITY,0,0,0,0,0,0,0.138196170835982,0,0,0,0,0,0,0,0.37592989081001,0,0,0,0.178682447458534,0.225345144513691,0,0,0,0,0,0.0107586967040158,0,0,0.278207769180793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497801692381675,0,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480757822984343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102900665945869,-0.04966605219342,0,0,0,0,0,0,0,0,-0.586634877800554,0.502869680961354,0,0,0,0,-0.129530379454317,1.01853174751174,0,-1.38777878078145e-17,0,0,-0.327087153929792
