,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.168716212284412,0,0,0.0834054334385078,0,0,0,0,0,0,0,0,0,0,0,-0.0128612053620296,0,0,0,0,0,0,0,0,0,0.0830916037305081,0,0,0.115789248603547,0,0,0,0,0.412449411163752,0,0,0,0,0,0,0,0,0,0,0.135717705892524,-0.0885343490128409,0,0,0,0,-0.0863527105258521,0
X601939.CH.EQUITY,0.190785112367472,0,0,0.344749354148448,0,0,0,0,0,0,0,0.0345630294861554,0,0.213485013619237,0,0,0,-0.120209938053857,0,0,0,0.0587937727211027,0,0,0,0.222438106278531,0,0,0,0,-0.105768561106364,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389506875656268,0,0,0,3.46944695195361e-18,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.632078314759052,0,0,0.160284850743091,0,0,0,0,0,0.0134943399108383,0,0,0.0166058620275491,0,0,0,0,0,0,0,0.122977564202367,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113425089839407,0,0,0,0,0,-0.0428097235965426,0,0,0
X601988.CH.EQUITY,0.0191261468873432,0,0,0.329807466741425,0,0,0,0,0,0.350710447654082,0,0,0,0,0,0.0437562947144516,0,0.232147200317054,0,0,0.105810580247962,0,0,0,0,0,0,0.0752836574131998,0,0,0,0,0,0,0,0,0,0,-0.524087384785098,0,0,0,0,0.0382988720612562,0,0,0,0,0,0,0,0,-0.259833114910365
X600036.CH.EQUITY,0,0.205894729537884,0,0,0,0,0,0,0.154218409067898,0,0,0,0.137556286553349,0,0,0,0,0,0,0,0,0,0.0855099642519508,0,0,0,0,0,0,0,0,-0.0124529303146749,0.00383778753254861,0,0.306075918958829,0,0,0,0,0,0.058272798937481,0,0,0,0,0,0.0189418912495398,0,0.0658855779731837,-0.0209597908985755,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.344578147759265,0,0,0,0,-0.0942869874030303,0,0,0,0,0,0,0,0,0,0,0,0,0.373068713006141,0,0,0,0,0.0565380380881642,0,0,0,0,0,0,0,0,0,0,0,0.0243363377451258,0.00463834347349216,0,0,0,0,0,0,0,0,0.170881550350813,0,-0.0781971119149445
X601658.CH.Equity,0,0.0718956061874967,0,0.100884975038829,0.0396005139684204,0,0,0,0,0,-0.0322283278065183,0,0,0,0,0,0,0,0,0.267334500052808,0.18858120773578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289448795095584,0,0.0959407703784443,0,-0.134105792047986,0,0,-0.0791299038975683,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.187406962777181,0.0493788963666807,0,0,0,0,0,-0.0366843012235237,0,0,0,0,0,0,3.46944695195361e-18,0,0.478418317476431,0,3.46944695195361e-18,0,0,0.0351281506947381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00921741858845027,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.290050997135242,0,0,0.0562571470212654,0,0,0,0,0,0,0.050719466930395,0,0,0,0,0.0153864022229552,0,0,0,0,0,0.102668818629997,-0.00806143601419543,0,0,0,0,0,0,0.283063129834287,0.129109043244565,0,0.0529580092252977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38680339924349e-05
X601166.CH.EQUITY,0,0.0597384528716523,0,0,0,0.167449152925958,0,0,0,0.0163570170078099,0,4.33680868994202e-19,0,0.0335842061505432,0,0,0,0,0,0,0.0196270357325233,0.213722908201316,0,0,0,0,0,0,0,0.312023053735447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1446964370741,0,0,0,0
X600000.CH.EQUITY,0,0,0.0943836678421429,0.170462801525484,0,0,0,0,0,0,0,0,0.2310545328823,0,0,0,0,0,0,0,0.00154653946229965,0.0300184898638336,0,0,0,0.138180849494066,0,0,0.123368317839549,0,0,-0.0444810461211556,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677784608451895,0.0216826512779824,0,0,0,0
X000002.CH.EQUITY,0,0,0.0918400142455831,0,0,0,0,0,0,0,0.0150170623443322,0,0,0,0,0,0,0,0,0,0.11581447245981,-6.93889390390723e-18,0,0,-0.0297959645143639,0,0,0,0,0,0.333485984110356,0.258183643181721,0.228080635460688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0187318113554623,0,0,0,0,0,0,0.432581691143342,0,0,0.105644355932189,0,0,0.0600621130787243,0,0,0,0,0,0,0,0.144932168007623,0,0.0730455726558631,0.0243900448835713,0,0,0,0,0,0.0359978593536321,0,0,0.0511874783944552,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0.252367034313712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181783951932418,0,0.0175770376503136,0,0,0,0,0,0,0,0,0.0124875349946416,0,0,0,0.39696023535314,0,0,0,0.15792280684443,-0.0950311179012864,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0794445702152569,-0.0241445688099262,0,0,0,0,0,0,0.290621231723336,0,0,0,0,0,-0.0559020926082304,-0.0595319903034008,0,0,0,0,0,0,0,0,0,0.071468265998289,0,0,0.466997647201621,0,0,0,0,0,0,0.0646711700473123,-0.013016466096144,0,0,-0.0118955943389946,0,0,0,0.0351206687190567,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0.0701188298567606,0,0,0,0,0,0,0.0729012904303471,0,0,0,0,0,0,0,0,0,0,0,0.0552801978391826,0.306511759844732,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0657246885961908,0,0.138930356535555,0,0,0,0,0,0,0,0,0,0.214233227126998,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.20417792624774,0,0,0.0777214756209375,0,0,0.321927834386001,0,0,0,0,0,0,0,0,0,0,0
