,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.210068055048654,0,0.201995672844551,0,0,-0.0691753258019337,0,0,0,0,0,0,0,0,0.113856831665996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0636601192142631,0,0,0,0.040288281247814,0,1.0842021724855e-19,0,0,0,0,0,0,0.277575836518724,0,0,-0.0682968681239441,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.103697445215193,0,0.0317065010230015,0.0763782833175697,0,0.0672607733842118,0,0,0.10055523419144,0,0,0.0497672190040237,0,0,0.457571067540004,0,0,0,0,0,0,0,0,0.0815927960304847,0,0.0986162346631889,0,0,0,0,0,0.0556087270951361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179953359648963
X601939.CH.EQUITY,0,0,0,0,0.179559546907413,0,0.32330876216068,0,0,0,0.0144558758893593,0,-0.168517069954676,0,4.33680868994202e-19,0,0,0,0,0,0.0144712366850953,0,0.605475899386069,0,0,0,0,-0.0361652912821749,0,0,0,0,0,0,0,0,0,0,0,0,-0.0385761127512758,0,0,0,0,0,0,0,0,0,0,-0.116602752569482,0
X601628.CH.EQUITY,0,0,0,0,0,0.0762323258517333,0,0,0,0,0,0,0,0,0,0,0.196947931658811,0,0,0,0,0,0,0,0.132421157827255,0,0,-0.176001613778744,0.122283204034583,0,0,0,0,0.352474757317293,0.262995382300681,0,0,0,0,0,0,0,0,0,0,0.0726524601116693,0,0,0,0,0,0,-0.116948556925355
X601288.CH.EQUITY,0.0888018608437193,0,0.0385556948727016,0,0,0,0,0,0,0.0379386310871533,0,0,0,0,0,0.550426042229928,0,0,0,0,0.0749178656037716,0,0.157580795857271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107762043368838,0,0,0,0,0,-0.0440673614688423,0,0.0416051172559009,0,0,-0.0111632206597017,0,0,0,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.29764911556026,0,0,0.247276055872283,0.202441766636717,0,0,0,0,0,0,0,0,0,0.0377738049809189,0,0,0,0,0.166319618511576,0,0,-0.0210543477736718,0,0.0813546775330027,0,0,0,0,0.104349719543409,0,0,-0.00708036016155488,0,0,0,0,0,0,0,0,0,-0.115016612179141,0,0,0,0,0,0,0,0.0837630658371433,0.0603101960115767
X1299.HK.EQUITY,0,0,0,0,-0.164602879836671,0.0347020384056702,0,0,0,0.376786852767664,0,0,0,0,0,0,0,0.111043235981153,0,0,-0.0482453902988049,0,0,0.147986095338418,0,0,0.338969501712377,0,0.0689249659554149,0,0,0,0,0,0,0,0.0239804760055901,0.0212954189249415,0,0,0,0.0782308089900253,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.062319021251575,0,0,0,0,0,0,-0.153043704499405,0,0,0.0273846149304679,0,0.0161543684045631,0,0,0,0,0.124448927390352,0.448620990136059,0,0,0,0.134127535826468,0,0,0,0,0,0,0,-0.175569073962504,0,0.257738569170115,0,0.232526956412674,0,0,0,0,0.17418267008879,0,0,0,0
X388.HK.EQUITY,0,0.0474587722507355,0,0,0,0,0,0,0,0,0,0,0,0.133697279987117,0,0,0,0,0,0,0,0,0,0.0486266294234019,0,0,0,0,0,0,0,0.3693652286121,0,0.0938056345728073,0,0,0.104814748879534,0,0.235074338697273,0,0,0.0321561700040245,-0.248547206970222,0,0,0.332555115156562,0,0,0,-2.16840434497101e-19,0.0200529372763985,0,0
X601658.CH.Equity,0.0905917182491826,0.0764830500737717,0,0,0,0,0,0.11148987409369,0,0,0,0,0,0.0878134299374698,0,0.291689246743873,0,0,0.0514061910975801,0,0,0,0.0362311784975559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0714370813818369,0,0,0,0,-0.116333224235258,0,0,9.71294489410281e-05,0.199763190148303,0.0386042811679914,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569791237111318,0,0,0,0,0,0,0,0,0,0.0382255602491273,0,0,0,0,0,0.323838572307065,0,0,0,0.0299105267768804,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0604061805116523,0,0.19530644567968,0,0.204829220085408,0.0614321179479238,0,0,0.0216667156310034,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172517945794894,0,0.474560371391539,0,0.0829478681543662,-0.0722668169120191,0,0,0,0.0797028885205778,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165378223075509,0,0,0.0667652386143285,0,0,0,-0.0236981615257974,0,0,0,0.181090654762804,0,0,0.0221192540261915
X000001.CH.EQUITY,0,0,0.0363049913238243,0,0.00332085915374736,0.552476354250249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254885043105397,0.0538376275336055,0.0555138052895991,0,0,-0.248060758108342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,-0.0267676093016627,-1.73472347597681e-18,-0.414488788047231,0,0,0,0,0.137501689715777,0,0,0.0644820152624134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23997869635248,-0.0822167829967381,0,0,0,0.288433091209927,0,0,0,0,0,0.0741015971211428,0,-0.0309261589106136,0,0,0,0,0,0,0.0198728845593354,0,0
X601328.CH.EQUITY,0,0,0.034999046319272,0,0,0.00580522901090139,0.113195144843777,0,0,0.0525381868077431,0.164721587536307,0,0,0.0193781589011191,0,0,0.138214310969449,0,0.119397580632216,0,0,0,0,0,0,0,0,0,0.0349186588845496,0,0,0,0.235294309830081,0,0,0,0.0661806988204388,0,0,0,0,0,0,0,0,0,0,0.0100392738978995,0,0.0295301198949241,0,0,0
X601601.CH.EQUITY,0,0.436880880309757,0,0.121795035671812,0,0,0,-0.0328413515364087,0,0,0,0.128847419159603,0,0,0,0,0,0,0,0.265332860178551,0,0,0,0,0,0,0,0,0,0,-0.144558581509995,0,0,0,0.188315842538781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000877305856154558
X601066.CH.EQUITY,0,0,0.0106664391546176,0,0,0,0,0.0192256070021949,0,0,0,0,0.759804297915529,0,0.110268133676818,0,-0.000514941962259107,0,0,-0.178178827103296,0,0,0,0.0964599405369898,0,0,0,-0.00742635821711066,0,0,0,0,0,0,0,0,0,0,0.119448913004332,0,0,0,0,0,0.0345284259849456,0,0,0,-0.0215943869935973,0,-0.0707331367397163,0,0
