,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.019322024682501,0,0.164863880380816,0,0,0.110452523832452,0,0.246169280817722,0,0,0,0,0,0.189961080252945,0,0,0,0,0,0,0,0,0,0,0,0,0.0424148457127521,0,0.137893845606482,0,0,0,0,0,0,0.0288845452160896,0,0,0,0,0,0,0,0,0,0,0.0491148644222643,0,0.00614872611343894,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0
X601939.CH.EQUITY,0.269219404424754,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.413714430247041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191903738261805,0,0,0.108131853843984,0,0,0.00678200583962011,0,0,0,0,0.00386133997465981,0,0,0,0,0
X601288.CH.EQUITY,0.352862391979955,0,0,0,0,0.499098813534239,0.00605646353060901,0,0,0,0,0.0101200606962671,0,0,0.0388049419392289,0,0,0,0,0,0,-0.0328394644536754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194840736328431,0,0,0,0,0.0900715534655065,0,0,0.00900626164750414,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.230274174874604,0,0,6.93889390390723e-18,0,0,0,0,0,0,0.524160220597993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142330223755932,0,0,0,0,0,0,0,0,0,0,0,-0.251305427028138,-0.108833425219316,-0.0673313390425684
X601988.CH.EQUITY,0,0.0659487296166973,0,0,0,0,0,0,0.0804568816088754,0,0,0,0,0.0117592597505501,0,0,0,0.21953454905595,0.127634776614508,0,0,0,0,0.298481987325029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13859868777294,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0818993285446638,0,0,0,0.282130709649048,0,0,0,0,0.190722156427792,0,0,0,0,0,0,0,0,0,0,0.0643405665048558,0,0.177037210821405,0,0.124811199945691,0,0,0,0.0061248299535297,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0643115046550387,0,0.0169845352495211
X1299.HK.EQUITY,0,0,0,0,0,0,0.13819526522025,0,0,0,0,0,0,0,0.375930661840227,0,0,0,0.178680535705485,0.225344986888623,0,0,0,0,0,0.0107611205402387,0,0,0.278206996528302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049781606616577,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.480781957248839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102892543034765,-0.0496618036859042,0,0,0,0,0,3.46944695195361e-18,0,0,-0.586635483847533,0.502861117854342,0,0,0,0,-0.129513585975351,1.01855127846366,0,0,0,-0.327086296505262
