,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.177924952672246,0,0.183120112694023,0,0.159014736430874,0,0,-0.064210922298509,0,0,0,0,0,0,0,0,0.0727351671088877,0,0,0.139815130439159,0,0,0,0,0,0,0,0,0,0,0,0,0.066973135307416,0,0,0.00893101230129503,0.0282325017484469,0,0,0,0,0,0,0,0,0.17220825570799,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.103697445215193,0,0.0317065010230015,0.0763782833175697,0,0.0672607733842118,0,0,0.10055523419144,0,0,0.0497672190040237,0,0,0.457571067540004,0,0,0,0,0,0,0,0,0.0815927960304847,0,0.0986162346631889,0,0,0,0,0,0.0556087270951361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179953359648963
X601939.CH.EQUITY,0,0,0,0,0.179532675928792,0,0.323325721349819,0,0,0,0.0144472442112857,0,-0.168520036935863,0,0,0,0,0,0,0,0.0144664589048518,0,0.605490731660223,0,0,0,0,-0.0361597265103868,0,0,0,0,0,0,0,0,0,0,0,0,-0.038577176579299,0,0,0,0,0,0,0,0,0,-0.116602357651768,0
X601628.CH.EQUITY,0,0,0,0,0,0.0762323258517333,0,0,0,0,0,0,0,0,0,0,0.196947931658811,0,0,0,0,0,0,0,0.132421157827255,0,0,-0.176001613778744,0.122283204034583,0,0,0,0,0.352474757317293,0.262995382300681,0,0,0,0,0,0,0,0,0,0,0.0726524601116693,0,0,0,0,0,-0.116948556925355
X601288.CH.EQUITY,0.0888187855264652,0,0.0385509178865356,0,0,0,0,0,0,0.037942774335053,0,0,0,0,0,0.550318160070211,0,0,0,0,0.0748987763766876,0,0.157630607828655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108409897619773,0,0,0,0,0,-0.044089687133374,0,0.0415980463284532,0,0,-0.0111543157297884,0,0,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.297665256305117,0,0,0.247292126127406,0.202448426081227,0,0,0,0,0,0,0,0,0,0.0377256916379976,0,0,0,0,0.166321184255612,0,0,-0.0210577038097939,0,0.0813620407536262,0,0,0,0,0.104342746386313,0,0,-0.00706572787047987,0,0,0,0,0,0,0,0,0,-0.115012896771469,0,0,0,0,0,0,0.0837683465323602,0.0603251340998355
X1299.HK.EQUITY,0,0,0,0,-0.16459844748696,0.0347027685333595,0,0,0,0.376789664547243,0,0,0,0,0,0,0,0.111049696531108,0,0,-0.0482473061774533,0,0,0.147986869878022,0,0,0.338972648066721,0,0.0689200028058183,0,0,0,0,0,0,0,0.0239759301894233,0.0212889131783172,0,0,0,0.0782280875270386,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623376758530246,0,0,0,0,0,0,-0.153057203030881,0,0,0.027406521981506,0,0.0161602684684657,0,0,0,0,0.124446080109886,0.448633451312081,0,0,0,0.134106353620468,0,0,0,0,0,0,0,-0.175571371685418,0,0.257721833506469,0,0.232531119883065,0,0,0,0,0.174197151433123,0,0,0
X388.HK.EQUITY,0,0.17928758729082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142251453681104,0,0,0,-6.93889390390723e-18,0,0,0,0.29041680386765,0,0.215833437819471,0,0,0.142520025273167,0,0,0,0,0,-0.105927985816553,0,0,0.25369380118614,0,0,0,0,-0.0642608050470484,0
