,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.127218231439475,0,0,0,0.119499021882769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441148470153116,0,0,0.0759261008369401,0,0,0,-0.0794052499145418,0.239146388484397,0,0,0,0,0,0,0,0,0,0,0.126022433563882,-0.18438348819179,0,0.139401394671708,0,-0.149289024608495,0
X601939.CH.EQUITY,0.183649217151572,0,0,0.32861511515416,0,0,0,0,0,0,0,0.0241004798624125,0,0.232094765001647,0,0,0,-0.120679655451087,0,0,0,0.0597543078071874,0,0,0,0.229180778145048,0,0,0,0,-0.0960253885599777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552077749832956,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0
X601288.CH.EQUITY,0,0.632061166027115,0,0,0.160295560917111,0,0,0,0,0,0.0134882612408874,0,0,0.0166136059271621,0,0,0,0,0,0,0,0.122987962265755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011336631079406,0,0,0,0,0,-0.042807902182434,0,0
X601988.CH.EQUITY,0,0,0,0.390801989608606,0,0,0,0,0,0.248151449394188,0,0,0,0,0,0.320009428154461,0,0,0,0,0.15817024287923,0,0,0,0,0,0,0.0514429552242047,0,0,0,0,0,0,0,0,0,0,-0.48639878033299,0,0,0,0,0.173548220801359,0,0,0,0,0,0,0.27449228328334,0
X600036.CH.EQUITY,0,0.205893188789517,0,0,0,0,0,0,0.154222867207024,0,0,0,0.137562297166628,0,0,0,0,0,0,0,0,0,0.0855079195055532,0,0,0,0,0,0,0,0,-0.01245229526295,0.00383562033551816,0,0.306057516245772,0,0,0,0,0,0.0582753965462848,0,0,0,0,0,0.0189399731657147,0,0.0658838538958746,-0.0209607933833402,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.181649965242877,0,0,0,0,-0.193259449694468,0,0,0,0,0,0.0158666268068475,0,0,0,0,0,0,0.332021911535268,0,0,0,0,0,0,0,0,0,0,0.0161209060606849,0.120510328657335,0,0,0,0,0,0.0324761187639779,0,0,0,0,0,0.119698079635514,0.229929863620521,0,0.0265830386777761,0
X601658.CH.Equity,0,0.0718951861754349,0,0.10088216313375,0.0396032744739922,0,0,0,0,0,-0.0322252378911467,0,0,0,0,0,0,0,0,0.267326562081772,0.188588109644945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289457253260201,0,0.0959397494666485,0,-0.134112083418601,0,0,-0.07913607578508,0,0,0,0,0,0,0,0
