,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.253197310207673,0.0647583684368162,-2.16840434497101e-19,0,0,0.342233789992264,0,0,0,0.130552201669056,0,0,0,0.026280260622106,0,0,0,0,0,0,0,0.119846497325358,0,0.00357919142915238,-0.011891176873094,0,0,0,0.0349453966697313,0,0,0,0,0,0,0.11874068103422,0,0,0,0,0,0,0,0,0,0,0,-0.0094676058310544,0
X601318.CH.EQUITY,0,0,0.298159287410563,0,0,0,0,0,0.0783613450704255,0,-6.93889390390723e-18,0,0.00308036825966794,0,0.21489903703964,0,0,0,0,0,0.0214546332178883,0,0,0,0,0,0,0,0.0817314261869888,0,0,0,0,0,0,0.0706508832673959,0,0,0,0,0.0875597643061354,0,0,0,0.0405047203974261,0,0,0,0,0,0
X601939.CH.EQUITY,0.410030323298718,0.271116275093954,0,0,0,0,0,0.396735026006491,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,-0.0979519708001333,0,0,0.0249847549254926,0,0,0,0,0,0.090727189426693,-0.0130123402085292,0,0,0.0160828400328719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157055154049579
X600036.CH.EQUITY,0,0.0876458030962106,0,0,0,0.0651526670540918,0,0,0,0,0,-0.0706852767624637,0.0629965850091944,0,0,0.115268650251179,0,0.196297936548478,0,0,0,0,0.340231464784646,0,0.0315523600808639,0,0.0834935995987694,0,0.0525032949230394,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.171050235306369
X601288.CH.EQUITY,0,0,0,0,0,0,0.0157742400236405,0.498541252918575,0,-0.0819785527831632,0,0.0894398630889991,0,0,0,0,0,0,0,0,0,0,0,0.131854132849744,0.0564971898536449,0,0,0,0.0925981451208904,0,0,0,0.0354518273846157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0423422228662604,0,0.0229289029132752,0
X1299.HK.EQUITY,0,0,-0.0476117345215203,0,0,0,0,0,0,0.110369905930373,0,0,0,0,0,0,0,0,0,0,0,0.0368993162664635,0,0,0.133126947315649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136487771362588,0,0.079208232602878,0.232284991461265,0,0.155188479892232,0,0,0,0,0.238590581371659,0
X601628.CH.EQUITY,0.0422177486106514,0,0,0,0,0.0371558998987888,0,0,0,0,0,0,0,0,0,-0.199236073227148,0,0,0,0.262759270788653,0,0,0,0,0,-0.111265451623935,0,0,0,0,0,0,0,0,0.613619927448277,0,0,0.00410437657586852,0,0,0,0,0,0,0,0,0,0,0,0,0.0648480897030991
X601988.CH.EQUITY,0,0,0.0527026545399097,-3.46944695195361e-18,0.522267316779358,0,0,0,0,0.0529931851724282,0,0,0.167711949372348,0,0,0,0.0581244845500297,0,0.0728659915309731,0,0,0,0,0,0.107233373280544,0,0,0.030523034024598,0,0.0473328984590405,0,0,0,0,0,0,0.0599880257790477,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.169320245279822,0.0682766418367771,0,0,0,0,0,0,-0.10655762568199,0,0,0,0,0,0,0,0,0,-0.0986434907696501,0,0,0,0,0.0654524024137045,0,0.111300292204678,0,0,0,0,0,0.0778438064809234,0,-0.0476617048012904,0,0,0,0,0,0,0.261039268721126,0,0,0.0364889672932975,0,0,0.168344370734811,0,0,0.0963662826791407
X388.HK.EQUITY,0,0,0,-0.142701032192617,0,0.337389056318048,0,0,0,0,0,0,0,0,-0.0938484671454828,0,0,0,0,0.443002626445631,0,-0.156556072822905,0,0,0,0,0,0,0,0,0.0898834897486398,0,-0.104407040116307,0,0,0,0,0,0.139790989044597,0,0.0331206834432221,0,0,0,0,0,0,0.0305424869725403,0,0,0.166925791062167
