,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0178509924389588,0,0.00612120755861363,0,0,0,0,0,0,0,0.466470601974695,0,0,0,-0.0967623937845267,0,0,0,0,0,0,0,0,0,0,0,0,0.0503988682291826,0,0,0,0,0,0.0621679803670718,0,0,0.0893729630749485,0,0,0,0,0.20950795611743,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0154066784694317,0,0.0165324002688344,0,0,0.112997958422847,0,0.180503872801375,0,0,-0.0572881061591086,0.203688050468571,0.0568250764623422,0,0,0,0,0,0,-0.139267944387926,0,0,0,0,0,0,0,0,0,0,0,0.186175930710714,0,0,0,0,-0.287137338248238,0.384384184014439,0,0.259640251131047,0,0.238252381603818,0,0,0,0,0,0
X601939.CH.EQUITY,0.111981936922012,0,0,0.290654845072102,0,0.225585632510088,0,-0.0426594202667155,0,0,0.0460692018340859,0,0,0,0.113571922785575,0,0,0,0,0,0,0,0.0803703301662872,0,0,-0.00606757838503415,0,0,0,0,0,0,0,0,0,0,0,-0.116473637138344,0,0.38408270073399,0,-0.051074226573863,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.218743704112059,0,0.301558651864824,0,0.144064542072303,0.312291972457173,0,0,0,-0.0874377477984351,0,0,0,0,0,0,0,0,0,0.12346674303853,0,0,0,-0.187761300558374,0,0,-0.0390474250403055,0,0,0,0,0,0,0,-0.0362865372079314,0,0,-0.0268089472075509,0,0.129299506611978,-0.0518747697642585,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0379736959348049,0.20709493319992,0,0.145185766553313,0,-0.359512577717009,0,0,0,0,0.0653272618118767,0,0,0,0,0,0,0,0,0.388109440620614,0,0,0,0.453101734494011,0,0,0,0,0,0,0.0710290626666773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186293693563674,-0.0894888945442732,0,0
X601988.CH.EQUITY,0.223598577961235,0.0849567371382437,0.327303114267327,0,0,0,0,0,0.116269345727869,0,0,0.14550073452378,0,-0.225178319486137,0,0,0,-0.110894682701552,0,0,0,0,0,0.14326772874105,0.0805573688738325,0,0,0.133262292433546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323420133772292,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0794334240207824,-0.0311389784532443,0,0.0682746934149694,0,-0.0370763881505052,0.0313957979334056,0,0.339350294238305,0,0.251238614644725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441683072330123,0.0109826114467423,0,0.0634115729699968,0,0,0,0.0843157406245336,0,0,0.156721782297428,0,0,0,0,0,0,0.0674908487766581,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.071876433380364,0,0,-0.0225478977635465,0,0.0286379248511549,0,0,0,0.31275483571006,0,0.12697238509107,0,0,0,0,0,0.15199079925281,0,0,0,0,0,0,0,0,0,0.0419386755369576,0,0,0,0,0.1016733079626,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.255708766522596,0.204045217020552,0,0,0,0,0,0,0,0.0439127538256815,0,0,0,0,0,0.00998358884888162,0,0.0875966408040246,0,0,0,-0.121034425131956,0,0,0,0,0,0.180463464007337,0.0587604222929301,0.0218408519639861,-0.302654143386562,0,0,0,0,-0.00773922618474152,0,-0.132752398595162,0,0,0,0,0.115624659443144,0,0,0,0,0.0382925658097375,0,0,-0.0428188824374018
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154074360496398,0,0,0,0,0,0,0,0,0.216759437971573,0,0,0,0,0,0.107509009318471,-3.46944695195361e-18,0,0,0,-0.0259355348267116,0.295101240082125,0,0,0,-0.162015088811721,0,0,0,0,0.0541867258856186,0,-0.0406911535531181,0,-0.169772218395697,0
