,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.0977378223458561,0,0.156546033055246,0,0,0,0,0,0.123543794233551,0,0.170947115096967,0,0,0,0,0,0,0,-0.0438688319251875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157100433512316,0,0,0,0.193485755658155,0,0,0,0,0,0,0,0.0212232730328739,0.166070582518367,0,0,0
X601318.CH.EQUITY,0,0,-0.0909223646879176,0,0,0.0582097328697637,0,0,0.184223832688925,0,0.057608952481572,0,0.1448051639211,-0.0170664618223711,0,0.250780402912903,0,0,0,0,0,0,0,0,0,0,0,-0.0714640071124432,0,0,-0.178212776324698,0,0,0,0.274397959019226,0,0,0,0.0763036731823198,0.201834810407837,-0.236846804722182,0,0.188698347353744,0.197958529686313,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410662619493198,0,0,0,0.0257628837043285,0,0,0,0,0,0,0.0937277104775469,0.0150172264828791,0,0.0914758104642357,-0.107584101900049,0,0,0,0,0,0,0,0.093620376064515,0,0.0879828691091456,0,0,0,0,0,0,0,0,0,0,0,0.0881898754846396,0,0,0.428275095443192,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.172061954767814,0,0.155537707168693,0,0,0.38415954845045,0,0,0,0,0,0,0,0,0,0,0.0852482610352306,0,0,0.0196178709586726,-0.0701092508906334,0.0389834087545711,0,0,0,-0.0816507862954362,0,0,0,0,0,0,0,0,-0.0806316348820125,0,0,0,0,0,0.217024154363467,0,0,0,0,0,0,0.11816509837421,0,0,0
X5.HK.EQUITY,0,-0.0160411248949881,0.0818502524371545,0.188227683213053,0,0.0413547919537129,0,0,0,0,0,0,0.0953037221655641,0,0,0,0,0,0,0,0,0.432994368662954,0,0,0,0,0,0,0,0,0.3390151000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158894751542421,0,0.0579424173124447
X601988.CH.EQUITY,0.223809431669139,0.0857031519643957,0.0961054169370584,0,0,0,0,0,0.21673765742033,0,0,0.266323546682332,0,-0.0700083741346533,0,0,0,0,0,0,0,0.0289479643689368,0,0,0,0.0489306184451302,0,0,0,0,0,0,0,0.18137206023221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0458561982096397,-0.0656925549186717,0,0.225360301131342,0,-0.0657409040713357,0.0263326605388201,0,0.301753043490523,0,0.230824519104574,0,0,0,0,0,0,0.0372221367852723,0,0,0,0,0,0,0,0.0346345256309321,0,0.0489998365651282,0.038865909595755,0,0.0892638881037319,0,0,0,0,0,0,0.0768498105478114,0,0,0,0,-8.67361737988404e-19,0,0.0592354307787808,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0829971078542542,0,0,0,0.117670648485357,0,0,-0.120422577674487,0,0.0325780138687966,0.238255631939456,0,0,0,0,0.0170106900372273,0,0,0.0662865673343053,0.060913427644729,0.0951156124476322,0,0,0,0,0,0.0196592496780838,0.207810415140503,0,0.028337611079134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0743286793036969,0.306356599583059,0,0,0.0987621107298029,0,0,0,0,0.00807477682687827,0,-0.0189765709282817,0,0,0,0,0,0,0,0.0564187511498806,0,-0.155629246550089,0,0,0,0,0.219060317896935,0,0,0.0454539982284964,-0.300306955291205,0.0288204267906577,0,0,0,0,0,0,-0.0488419343804521,0,0,0,0,0,0,0,0.0622606844493347,0.118261991230646,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.289380462962124,-0.407767054045513,0,0,0,0,-0.120537535062889,0,0,0,0.329443080216911,0,0.61787506664468,0,0,-0.0207141577858576,0,0,-0.194446920868452,0,0,0.0619295654655947,0,0,0,0,0,0,0,-0.409675711072795,0,0,0,0,0,0.758868134091418,0.064296631496876,-0.130481760908185,0,-0.449474675542173,0
