,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0193171453741611,0,0.164863283592358,0,0,0.11045311618711,0,0.24617397207668,0,0,0,0,1.38777878078145e-17,0.18995902779639,0,0,0,0,0,0,0,0,0,0,0,0,0.0424163688996912,0,0.13789396898909,0,0,0,0,0,0,0.0288855156685278,0,0,0,0,0,0,0,0,0,0,0.0491156284912852,0,0.00614834766974433,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0
X601939.CH.EQUITY,0.269219143933501,0,0,0,0,0,0,0,0,0,0,0,0,0.413715910947997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191903062147254,0,0,0.108131829669657,0,0,0.00678070064075697,0,0,0,0,0.00386229232880948,0,0,0,0,0
X601288.CH.EQUITY,0.352846128601539,0,0,0,0,0.49906259704244,0.00596733931443702,0,0,0,0,0.0101621756042457,0,0,0.0388351349387429,0,0,0,0,0,0,-0.0328238537108947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195036312665441,0,0,0,0,0.0901028511186072,0,0,0.00900239230445364,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0117944299201151,0,0,0,0,0.310476710262116,0,0,0,0,0,0,0,0,0,0.601324944320832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895192347510048,0,0,0,0,0,0,0,0,0,0,0,-0.191475299528751,-0.0275106261437759,-0.0375803459485359
X601988.CH.EQUITY,0,0.0659488463574698,0,0,0,0,0,0,0.0804434111505243,0,0,0,0,0.0117457859956417,0,0,0,0.219523481864079,0.127634993530989,0,0,0,0,0.298498394230096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138615777063637,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.138265334063388,0,0.0105550445473184,0,0.302254011879475,0,0,0,0,0.145948796235521,0,0,0,0,0,0,0,0,0,0,0.0740950089063743,0,0.111698637558869,0,0.120579095677514,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0658893784223391,0.0674774561971443,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.138200127083591,0,0,0,0,0,0,0,0.375928906082531,0,0,0,0.178683158194321,0.225349358321229,0,0,0,0,0,0.0107482181319568,0,0,0.278210291921176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497826986434019,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.303493980516297,0,0,0,0,0,0.205216030749359,0,0,-0.240713315661717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600814121426476,-0.0975865831889325,0,0,0,0,0,-0.02703614432306,0,0,0,0.749725449240694,0,0,0,0,-0.0866189802467161,0.62159649381621,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719101284786548,0,0,0,0,0,0,0,0,0,0.138310372278305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631558659811423,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0,0,0,0.392182898360857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357523767474329,0.0457421638506843,0,0,0,0,0,0,0,0,0,0,0.0728777049625816,0,0,0,0,-0.0941564036604119,0.180470838370126,0,0.0887405284252647,0,0.00518047002756907
X000002.CH.EQUITY,0,0,0,0.161382968961995,0.00626433317739155,0,0.0230423573672864,0,0,0.0268730562865738,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570309838355191,0,0,0,0,0.0201845587496283,0,0,0.11468723267293,0,0,0,-0.137227141997898,0,0,0,0,0,0,0,-0.0367150646619673,0
X600000.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.34710159458625,0.0079727682745642,0,0,0,0,0.171277044000217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300954445403242,0,0,0,0,0.0967344741392055,0.0755112050500639,0,0.178991258104286,0,0,0,0
