,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.00333827718263812,0,0,0,-0.0601915819534066,0.0491208635634093,0,0,0,0,0,0,0,0.358405092537907,0,-0.168157943095251,0,0,0,0,0,-0.159716128058358,0,0,1.73472347597681e-18,0,0,0,0.165260087025853,0,0,0.63233362123403,0,0,0,0,0,0,0,0,0,-0.0140500782604955,0.0606796010905152,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.215355446938233,0.0499353855156312,0.204373424525553,0,0,0,0,0,0,0,0.108989972183221,0,0.1414437734353,0.069743878140504,0.0413698866575221,0,0,0,0,0,0,0.0220074965127994,0,0,0,0,0,0.0726304925462569,0,0,0,0,0.0589779046537514,0,0.130421887923264,0.0307810753042814,0,0,0.0837796255039548,0,0,0,0,0,0
X601939.CH.EQUITY,0.242856884047958,0,0,0,0,0,0,0,0,0.040995589953109,0,0,0,0,-0.0109253640436707,0,0,0,0,0,0,0,0.0577045616865048,0,0,0,-0.163611298772406,0,0,0,0,0,0,0,0,0,0,0.0491616733171619,0.0804210366585491,0,0.515970034922868,0,0,0,0,0,0,0,0,0,0.115987978705203
X601288.CH.EQUITY,0,0,0,0,-0.182613272101737,0,0,0,0.00374154953258972,0,0.431524185698212,0,0,0.343750860822404,-0.100490225715414,0,0,0,0,0,-0.149476160957229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295149193147297,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.14697491192793,0,0.213112948184304,0,0,0.11342693549073,0,-0.00367890048383528,0.214577959660854,0,0,0,0.0738779645762902,-8.67361737988404e-19,0,0,0,-3.46944695195361e-18,0,0,0,0.0216348253372991,-0.168529585985768,0,0,0,0,0,0,0,0,0,0.129649837732629,0.0970979877989216,0,0,0,0,0,0,-0.0966330371420557,0,0,0.154727498410092,0,0
X601988.CH.EQUITY,-0.0652248572675612,0,0,-0.0412158940134795,0.409668498130774,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0446262724526269,0,0,-0.168718907862514,0,0,0,0.346542782511859,0,0,0,0,0,0,-0.35660888974114,0,0,0,0,0,0,0,0,0,0,0,0,0.0342736909259265,0.132382351914127,0,0,0,-0.0301783784978761,0.0057222907651937
X600036.CH.EQUITY,0,0.268807386496286,-0.0797147996621459,0,0,0,0,0,0,0.384754517451808,0,0.0627178604948687,0,0,0.0715110030316619,0,0,0,0,0,0.287447994505389,0,0,0,0,0,0,0,0.14816508512368,0,0,0,0,-0.146880482342248,0,0,-0.157429926127899,0,-0.0212557277444577,0,0,0,0,0.280179124706416,0,-0.0617458117368801,0,0,0,0,0
X1299.HK.EQUITY,0,0.0948363119629131,0.00452527558549962,0,0.366175205401574,0,0,0,0,0,0,0,0,0,0,0,0,0.0501152117884558,0.0773164172704014,0,0,0,0,0,0,0,0.147477847791128,0.0291063750474699,-0.104019528001427,0.0465999681403634,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178143207294381,-0.117012113757796,0,0,0.130979305407736,-0.0110556294537776,0,0
X601628.CH.EQUITY,0,0.0154047656447495,0.0275832133615534,0.0593631525700103,0,0,0,0,0,0,0,0,0,0,-0.0477133656313591,0,0.31416039573895,0,0,0,0,0,0,0,0.114680525127072,0,0,0,0,0,0,0,-0.0442429964829567,0,0.139624081880532,0.0980740760375021,0.0773706421249377,0,0,0,0,0.239802765850291,0,0.071060047139747,0.0800240027127943,0,0,0,0,0,-0.0891708610254628
X601328.CH.EQUITY,0,0,0.0301174835395098,0,-0.10671498077951,0,0.575668944658384,0,0,0,0,0,0,0,0,0.0149810099194545,0,0.181595672545836,0,0,0.152480384148836,0,0,0,0,0,0.242994614846164,0,0,0,0,0,0,0,0,0,0,-0.163950167444167,0,0,0,0,0,0.147421216531338,0,-0.0321076352015677,-0.230188486014635,0,0,-0.0767298402857427,-0.146712027359878
X601166.CH.EQUITY,0.155296745136421,0,0,0.248186388627759,0,0,0,0,0,0,0,0.326382115850014,0,0,0,0,0,0,0.0820606298282743,0.0188686686189465,0,0,0,0,0,0,0,0,0,0,0,0.00696894253484426,0.0259442983580406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
