,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.0663269561208404,0,0,0,0,0,0,0,0.244402907634515,0,0,0,0,0,0,0.0446208549339968,0,0.207672685792156,0,0,0,0,0.233647515357496,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.0360735107937892,0,0,0.394415668373489,0,0,0,0,-0.0255967192462365,0,0,0,-0.0194053672692686,0.0575057117630518
X601318.CH.EQUITY,0,0,0,0,0,0,0.1561609123969,0,0.244955697599118,0,0,0,0,0,0,0,0,0.280374022376156,0.0767095405151565,0,0.038241120236841,0,0,0,0,0.0752848930673088,0,0,0,0,0,0,0,0,0,0.0826520188590687,0,0,0,0,0.0290089633364759,0,0,0,0.0127972866886025,0,0,0.0449210628748953,0,0,0
X601939.CH.EQUITY,0,0,0,0.511159249372973,0.0219414163142188,0,0,0,0,0.339316765669396,0,0,0,0,0,0,0,0,0,0,0.117599924864956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160536606873292,0,0,0,0,0,0,0,0,0,0,0.0096256137030283
X601288.CH.EQUITY,0,0,0,0,0,0,-0.387696736638364,0,0.0468589068378726,0,0.975052160866005,0,0,0,0,-0.101963844778618,0,0,0,-0.307304119989584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412911956580064,0,0.174864397605416,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145680942091193,0.398075593535546,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0838374759916422,0,0,0,0,0,0.0609655418764424,0,0,0,0.00624651095162242,0.0631019316058892,-0.192240870381295,0,0,0,0,0,0,0,0,0.0575388849913451,0,0,0,0.25591706885645,0,0,0,0,0,-0.160270094653584,0,0.0874992871278848,0,0
X601988.CH.EQUITY,0,0,0,0,0.376973264784391,0,0,0,0.0774314930463997,0,0,0,0,0,0.0894773637748486,0,0.035893820527528,0,0,-0.076326458373333,-0.0669727894895543,0,0,0,0.253014480175281,0,0,0,0,0,-0.243609739349057,0,0,0,0,0,0,0,0,0.0602953898284502,0,0,0,0,0,0,0,0,-0.0369281091130382,-0.149903119474168,0
X1299.HK.EQUITY,0,0,0,0,0.229411596282092,0,0,0,0,0,0,0,0,0,0,0,0.19281996460954,0,0,0,0,0,0,0,0,0.0389716836625224,0,0.0439510279735329,-0.11136504016057,0.0930406997541516,0.0421883788292531,0,0,0,0,0,0.517609766669644,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,-0.0139159015149718
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.423709089514604,0,0.0280493358843389,0.0281131008907823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028881527097645,0.061404516475514,0,0,0,0,0,0,0.149373483015708,0,0,0,0.23563123581224,0,-0.115344620530639,0.314525642272401,0,0,0,0,0,0,0,-0.0776494529947873
X601628.CH.EQUITY,0,0.00356677321498158,0,0.00137295181546498,-0.0822845082195676,0,0,0,0,0,0,0.0987797104622884,0,0,0,0,0,0.273588981302206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375370200962958,0,0,0,0,0,0.25025044135917,0.0941870294270247,0,0.0591411421529033,0,-0.0063788450152823,0,0,0,-0.0575502735668864
X601328.CH.EQUITY,0,0,0.148308791887256,0,-0.0850545035923239,0,0,0.406479116615428,0,0,0,-0.0141058958607126,0,0.468763488812007,0,0,0,0,0,0,0.08096450749393,0.10481396681658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801771876951718,-0.20624128635081,0,0,0,0,0,0,-0.0087219497341671,0,0,0,0,0,0
