,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.204344683301793,0,0.0590248042204012,0,0.56884774704993,0,0,0,0,0.0860596582837688,0,-6.93889390390723e-18,0,0,0,0,0.0825816445446965,0,0,0,0,0,0,0,0,0,0,0,0,0.0259497185796556,0,0,0,0,0,0,0,0,0,0,0,0.00346373453755049,0,0,0,-0.226658988126869,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0.187551480248455,0,0.595025400932867,0,0,0,0,0,0,0,-0.00716527141803816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134369580903767,0,0,-0.154167479094345,0,-0.0206886197042381,0,0.0334067625528202,0,0,0,0,0,0,0,-0.0748801205622885,0,0,0
X600000.CH.EQUITY,0,0,0,0.0342064576317926,0,0,0.0214431972284164,0,0,0,0.383177037448188,0,0.0412291168447549,0,0,0,0.00918264509661918,0,0,0,0,0.0439907669205967,0,0,0,0,0,0,0,0,0,0.190545456537954,0,0,0,0,0,0,0,0,0,0.00755674718035479,0,0,0.0101190883243895,0,0,0,0,0,0,0
X600015.CH.EQUITY,0,0.230909819601569,0.0555279427913321,0,0,0,0.147047096140318,0.173577223168511,0,0,0.0438989740478324,0.0741672745052168,0,0,0.05630728506814,0,0,0,0,0,0,0.0943157937458903,0,0,0,0,0,0,0,0,0,0,0.0264206129367557,0.0532545165228277,0,0,0.0212988258612061,0,0,0,0,0,0,0,0,0.0184082788631419,0,0,0,0.0893578250981176,0,0
X600016.CH.EQUITY,0,0.141099943301587,0,0,0,0,0,0,0,0,0.25127127816649,0,0,0.174408991665977,0,0,0,0,0,0,-0.502162530596416,0,0,-0.211235434054534,0,0,0,0,0,0.651332179014876,0,0,0,0,0,0,0,0,0,0,0.333953860718974,0.036153854338214,0.137136753714767,0,0,0.0710326649804764,0.0589363897438191,0,0,0,0,0
X600036.CH.EQUITY,0.25574632238532,0.291965583036343,0,0,0,0,0,0,0,0,0,0,0,0,0.0829201265247802,0,0,0,0,0,0,0,0.0838278726447707,0,0,0,0,0,0,0,0,0.144572926157807,0,0,0,0.0962384545713173,0.0664720673054476,0,0,0,0,0,0.00585909632604563,0,0,0,0,0,0.0503713038500314,0.0537661558419608,0,0
X601166.CH.EQUITY,0.047675984195493,0,0,0.0946818701564717,0,0,0,0,0.329696743128645,0,0,0,0.0538992152978272,0.00864901096075633,0,0,0.0293119249021636,0,0,0,0,0.0899040143559902,0,0.0201287776190633,0,0.0764289639493965,0.0460285581883936,0,0,0,0,0,0,0,0.118668253882101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19
X601169.CH.EQUITY,0,0,0,0.123337966815977,0,0,0,0,0.248183639647574,0,0.132610678402167,0,0,0,0,0.250340141004482,0.0960050456767167,0,0,0,0.0107503988081874,0.105851852548333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0422052890874268,0,8.67361737988404e-19,0,0,0,0,0,-0.0541715946310292,0,0,0,-0.014075671743713,0,0
X601229.CH.EQUITY,0,0.0343883232158242,0,0,0,0,0.308038814979474,0.418609672609822,0,0,0,0,0.194358377787806,-0.0425297014913126,0,0,0,0,0,0.260252410025848,0,0,0,0,0,0,0.080887703737713,0,0,1.38777878078145e-17,-0.0645195160995079,0,0.171734563319207,0,-0.153630474657068,0,0,0,-0.355207075534924,0,0,0,0,0,-0.0278070811302287,0,0,0,0,0,0.220980854471219,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.118776280699251,0.357728887608228,0,0,0.103370451494832,0.148599496144565,0,0,0,0,0,0,0,0,0,0,0,0,-0.0597018265673723,0,0,0,0,0,0.091763667819509,0,0,0,0,-0.00399068680446397,0.167338699209708,0,0,0,0,0,0,0,0,0,0.0451219007294053,-0.0847547161236557
