,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.383053082872053,0,0,0.0958009143713361,0,0,0,0,0,0,0,0,0.0183239309346453,0,0,-1.05879118406788e-22,0,0,0,0.0265696666439991,0,0,0,0,0,0,0,0,-0.0454080130433035,0,0,0,0.141387977620611,0,0,0.0995940134994764,0,0,0,0,0,0,0,0,0.111361004170565,0.0123296777940782,0.0886487309459692,0
X601318.CH.EQUITY,0,0,0,0,0.022318672918443,0,0,0.0233811697774096,0.145131813742249,0,0.053446288265492,0,0.0996059231033235,0,0,0,0,0,0.215348957410833,0,0.228888712711735,0,0,0,0.0247699334760782,0,0,-0.0150762022436371,0,0.0824700789585091,0,0,0,0,0,0,0,0.032790256895568,0,0,0,0,0,0.0370504835821373,0,0,0,0,0,0,0.0854772695751316
X601939.CH.EQUITY,0,0,0,0.253683868477858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540846571488944,0,0.736801340071369,0,0.0320430004023268,-0.248114226284529,0,-0.209546458375108,0.00917266808179416,0,0.159612884524067,0,0,0,0,0,0,0,0,0,0,-0.0666337388043071,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.313888026657838,0,0,0,0,0,0.272649977346785,0,0,0,0.0390672337155117,0,0,0,0,0.169497791497639,0,0,0,0,0,0.0190336192759977,0,0,0.0286461683092935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17683090615185,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.180834835824677,0,0,0,0.0679023152040878,0.0915999491136677,0,0,0,0,0,0.201705245080739,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0.312893949292206,0,0,0,0,0.0248795174715053,0,0,0,0.0813932476166383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179302718660859
X601628.CH.EQUITY,0,0,0,0.101676874968222,0,0,0,0,0,0.0334273694205705,0,0,0,0,0,0,0,0.0583819666118834,0,0,0,0,-0.0996038471031519,0,0.263866285512587,0,0,0,0,0,0,0,0.253060773695224,0,0,0.487656662733808,0,0,0,0,0.0193448474917335,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0.186620633285204,0,0,0.123208361475781,0.0718932129175587,0,0,0,0,0,0,0,0.185267702069426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0177368548842489,0,0.260857224231655,0,0.104901619881152,0,0,0,0,0,0,0,0,-0.0190233309677935,0,-0.0815324015100945,0,0,0,0,0,0,0.345868466147104,0
X1299.HK.EQUITY,0,0,0,-0.0332639932451017,0,0,0,0,0,0.153661516057243,-0.0374015874986141,-0.0300355218163651,-0.125264354375075,0,0,0,0,0,0,0,0,0,0,0,0,0.248071841985305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0932258733385363,0.0539544065491304,0.132974041358131,0.016901419183579,0.0385989980931228,0,0.0343733840742916,0.178950097629485,0,0.105250612663384,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065929656782208,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0373504980108594,0.104414827183115,0.609263960845481,0,0,0,0.0544746801659758,0.106398420310734,0,0,0,0,0,0,0,0,0.207219638552793,-0.0972961343041526,0.0993038745440347,0,0,0,0.130188113952412,0,0.173593569581374,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0.0605126314685037,0,0,0,0,0.0259663121641691,0,0,0,-0.0295658740365656,0,0,-0.160366215239437,0,0,0,0,0.44675844611588,0,0.246737224948501,0,0,0,0,0.217349508640517,0.314219145547473,0,0,0,0,0.186009446505542,0,0,0.0303060626526033,0,0,0,-0.48688028941561,0,0.106368884429337,0,0,0,0
