,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X2891.TT.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.523617339902608,0.168284835843747,0,0,0,0,0,0,-0.0968170332614866,0.0544052932591284,0,0,-0.0167021198128025,0,0,0,0,0,0,0,0,0,-0.0123051663197784,0,0,0,0,0,0,0.0373358584745008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486621960612661,0.0952630444002018,0
X601939.CH.EQUITY,0.424940866049805,0,0,0.21935250155866,0,0,0,0,0,0,0.0572074423130492,0,0,0.0849203701933178,-0.154782521287535,0,0,0,0,0,0,0,0,0,0,0.179580429957641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0209536382601498,0,0,0.0976152831757425,0,0
X601318.CH.EQUITY,0,0,0,-6.93889390390723e-18,0.2059524258561,0,0,0,0,0,0,0,0.133867200040975,0,0.0161119581469333,0,0,0,0,0,0,0.154318583806683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480662921150057,0,0,0,0,0,0,0.190158076239106,0,0,0,0,0
X601288.CH.EQUITY,0.299423517365124,0.0884076865687261,0,0,0.179876675428618,0,0,0,0,0,0,0,0,0.192473325372923,0,0,0,0,0,0.0484236073446528,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123786633518986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0
X601988.CH.EQUITY,0,0,0,0.479784380821321,0,0,0,0,0,0.255518365024265,0,0,0,0,0,0.256205443589489,0,0.0740131103222798,0,0,0,0,0,0,0,0,0,0.043168884914165,0,0,0,0,0,0,0,0,0,-0.536968835289165,0,0,0,0,0,0,0,0.0182385727944415,0,0,0,0,-0.207400685419625
X600036.CH.EQUITY,0,0.0665518239557667,0,0,0,0,0,0,0,0,0,0,0.199105348829771,0,0,0,0,0.00731956137223057,0,0,0,0.272897464686371,0,0,0,0,0,0,0,0,0,0.282298921183397,0,0,0,0,0,0,0,0,0.0710653852307079,0.046605243731179,0,0.00558330035887243,0,0,0,0.0990972814771429,3.46944695195361e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0884330175941187,0,0,0.181933327096102,0,0,0.292751614441457,0,0,0,0,0,0.136798612974679,0,0,0,0,0,0.0907989031282453,0,0,0,0,0,0,0,0,0,0.150483258634078,0,0.0362773108153513,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.38729114815879,0,0,-0.238440416025428,0,0,0,0,0,0.347564985712639,0,0,0.748399060666101,-0.0356044570550439,0,0,0.241006671500682,0,0,0,0,0,0.37594420699487,0,0,0,0,0,0,0,0,-0.235627561603433,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0238885357834316,0,0,0,0,0,-0.151358587860322,0,0,0,0,0,0,0,0,0,0.379262717588616,0,0,0,0,0,0,0,0,0,0.0358009511526601,0,0,0,0,0,0,0,0,0.2111668473877,0,0,0,0,0,0,0.179585219437245,0,0,0
X601658.CH.Equity,0,0,0,0.136998723821769,0.209538934246911,0,0,0,0,0,0,0,0,0.132391571417351,0,0,0,0,0,0,0,-0.0621958434924277,0,0,0,0,0,0.0232905013692438,0.109798605439107,0,0,0,0,0,0,0,0.25662056765647,0,0,0,0,0,0,0,0,0,0,0,0.406835668040586,0,0
