,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.138157559082812,0,0,0.566061919134171,0,0.0748771745266187,0,0.0277173476495551,0.0589593161682283,0,0.0377044029684656,0,0,0,0,0.0404802020570503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688805966152354,0,0,0,0,0,0,0,0,0,0,0.0458704601059737,0,0,0,0,-0.285145601370227,0,0,0,0,0
X002142.CH.EQUITY,6.93889390390723e-18,0,0.115232589648074,0,0.595168267221291,0,0,0,-0.206184979550651,0,0,0.00685850535790119,-0.0632539446409768,0,0,0,0,0,0,0,0,0.087541005445102,0,0,0,0,0,0,0,0,0,0,0.306080455277481,0.0385071067066491,0,-0.264203462032257,0,0,0,0,0,0,0,0,-0.0387559058587431,0,0,0,0,0,0.0582883421692451,0
X600000.CH.EQUITY,0,0,0,0,8.67361737988404e-19,0.0259624502689201,0,0.0210716773213501,0,0.405896407820302,0,0.0541539330853816,0,0,0.00428879670109924,0,0,0,0,0,0.0513819031103766,0,0,0,0,0,0,0,0,0,0.17416122758066,0,0,0,0,0,0,0,0,0,0.0223038975712108,0,0,0.0432803161615523,0,0,0,0.0196960738906265,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.19545437302822,0,0,0,-0.0643070471489867,0,0,-0.391089803095079,0,0,0,0,0,0,0,0,0.753720369522999,0,0,0,0.0524546152357101,0,0,0,0,0,0,0.42410862032761,0.0843406725378511,0,0,0,0,0,0.12158223241875,0,0,0,0,0
X600036.CH.EQUITY,0.214464793869523,0.336157406075557,0,0,0,0,0,0,0,0,0,0,0,0.0928318154034415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186098988251389,0,0,0,0.0725579174169913,0,0,0,-8.67361737988404e-19,0,0,0.0303136332449784,0,0,0,0,0,0,0.0994155638068768,0,0,0
X601166.CH.EQUITY,0.172027424937907,0.154843275935908,0,0,0,0,0,0.111029243375028,0,0,0,0.323266923633856,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0761170079866984,0,0,0.0219630789257029,0,0,0,0,0,0.0278971289101446,0,0,0.0132474519133117,0,0,0,0,0,0,-0.0184959643152182
X601169.CH.EQUITY,0,0,0.16495790617756,0,0,0,0,0.263001226790342,0,0,0.00746224672056199,0.0468364697410103,0,0,0.0821347757184286,0,0,0,0,0.102624713235093,0,0,0,0,0.0853624388815681,0.0596938681415942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0,0.0383608649729567,0,0,0,0.444412733206569,0.380593789158647,0,0,0,0,0.134748225647571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972039697751991,0,0,0,0,0,-0.307279089882798,0,0,0,0,0,-0.0757833832659311,0,0,0,0,0,0,0.294248737466454,0
X601288.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.190412255951028,0.30542349257841,0,6.93889390390723e-18,0.275048016174407,0,0.0252290743506667,0,0,0,0,0,0,0.0197506297862326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17684479485881,0,0,0,0,0,0.046657632539198,0,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.218319380941443,0.0885057681697977,0,0,0.0876270636708405,0,0.0643117074708222,0,0,0,0,0.0869643022453594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0879022072625698,0,0,0.166480514141631,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.181336235101194,0,0,0,0,0,0,0,0,0,0,0
