,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.278803765019981,0.0247961272970133,0.0472295988844781,0,-0.0190395231133959,0.263496455089381,0,0,0.00226604436013989,0.0807844621864018,0,0,0,0,0,0,0,0,0,0,0,-0.0427244965236025,0.183774953223198,0,0,0,0.0536755340570412,0,0,0.02739641986857,0,0,0,0.0297033891520373,0,0.113601485238694,0,0,0,0,0,0,0,0,0,0,-0.0239062234596185,0,0,0,0
X601318.CH.EQUITY,0,0,0.282422362048905,0,0,0,0,0,0.0749547078010839,0,6.93889390390723e-18,0,0.0096276794190072,0,0.194042108398654,0,0,0,0,0,0,0.0728314229816426,0,0,0,0,0,0.129413840360863,0,0,0,0,0,0,0,0,0,0,0,0,0.0620860126598944,0,0,0,0.0710003673068539,0,0,0,0,0,0,-0.0250981582938999,-0.08280715540068
X601939.CH.EQUITY,0.362941425582967,0.271705088780671,0,0,0,0,0,0.409534593637849,0,0,0,0,0,0,0,0,0,0,0,-0.0557970835567361,0,0,0,0,0,0.0311229292186723,0,0.028959155359156,0,-0.0228466775545404,0,0,0,0,0,0.0612638649665131,0,0,0,0,0,0.0839975125607801,0,0,0,0,0,0,0,0,0.16743514652238,0,0
X601288.CH.EQUITY,0,0,0.128200714290395,0,0,0,0,0.46410057050275,0,-0.0484331856284657,0,0.0416316617800046,0,0,0,0,0,0,0,0,0,0,0.143066865746307,0,0.0441883885375633,0,0,0.145611520082319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135951971294054,0.0218988171404464,0,0
X600036.CH.EQUITY,0,0,0,0,0,0.170163366269318,0,0,0,0,0,0,0.074765397030899,0,0,0,0,0.0440914724698697,0,0,0,0,0,0,0.033986614075789,0.496786149073754,0,0.158928205694253,0,0,0,0,0,0,0,0.034962906202723,0,0,0,-0.0904729822439586,0,0,0,0,0,0,0,0,0,0,0,0,-0.101272497569873
X1299.HK.EQUITY,0,0,0,-0.0863290657955719,0,0,0,0,0,0.185262757645719,0,-0.0530040619007384,0,0,0,0,0,0,0,0,0.0597816721246183,0,0.147895477939752,0,0,0,0,0,0,0,0,0,0,0,0,0.0995443260953488,0,0.147508939147474,0,0,0.134813321080556,0.108970391950989,0.0520601028195788,0,0,0,0,0,0.209372289021002,0,0,0,0
X601628.CH.EQUITY,0.081123885369647,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,-0.00515689252767759,0,0,-0.18147666912294,0,0,0,0.258296627214705,0,0,0,0,0,0,-0.113202545903533,0,0,0,0,0,0,0,0,0,0.610400510232702,0.044557575330839,0,0,0,0,0,0,0,0,0,0,0,0,0.00471508321599605,-0.0507491414181953,0
X601988.CH.EQUITY,0,0,0.0748581007713111,0.441814024563404,0,0,0,0,-0.0916397827380126,0,0,0,0,0,0,0,0.280065646366763,0,0,0,0,0,0,0,0.0834829397997475,0,0.0452706054300659,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0.00190499057802228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.22100891791506,0.134201830259468,0,0,0,0,0,0,-0.0636111371481026,0,0,0,0,0,0,0,0,0,-0.059487007969386,0,0,0.430081771309606,0.159489309256367,0,-0.0396873366308224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000285352629635856,0,0,0.113691303228265,0,0,0,0,0.208206785331354,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.188114398619002,0.403034945573793,0,0,-0.143849848913632,0,0,-0.0045434783558063,0,0,-0.0490276776222418,0,0,0,0,0.391152314208103,-0.165435813783326,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.181381463944469,0,0,0,-0.0677278704784476,0,0,0.0620470361330396,0,0,0,0,0,0,0,0,0.018310706678322,0,0,0.179745583575895,0,0
X601166.CH.EQUITY,0,0,0,0,0.180090231510827,0,0,0,0,-0.0168739818962496,0,0.0952555965022165,0.430595989350669,0,-0.0445869258446749,0,0,0,0,-0.127182730788055,-0.116192938501307,0,-0.0669083491853032,0,0,0,0,0.2075267679907,0,0,0,0.0706917148626853,0,0,0,0.114856817741453,0.0597582403821058,0,0,0,0,0,0,0,0,0,0,0.0128523907054597,0,0,0,0,-0.00473259607972397
X601658.CH.Equity,0,0,0,0.375305554672813,-0.250741172204475,0,0.026652585650869,0.141513362849962,0,0,0.195253657738058,0,0.017760011826821,0,0,0,0.270166415519752,0,0,0.149226712374437,0,0,0,0,0,0,0,0.168200495099869,-0.30974649730601,0,0.0448684635569803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027919377926313
X000001.CH.EQUITY,0,0,0,0,0.283259946312414,0,0,0,0,0,0.402496843506628,0.0390482915540251,0,0,0.175980769463846,0,0,0,0,0.0325834859237983,0,0,0,0,0,0,0.149122313418021,0,0,-0.0105082227624992,-0.0942044888639533,0,0,0,0,-0.212180472935175,0,-0.0728861263012046,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.12067676815518
