,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X1997.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0.183045648838735,0,0.354016069485588,0.040532910740895,0.0914343829333737,0,0,0,0,0,0,0,0.0377158426036069,0,0,0,0.353990571992076,0,0,0,-0.049323187616729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333016417191414,0,0.0545564153635687,0,0.0223252472280056,0.0433757578861438,0,0,2.16840434497101e-19,0
X601318.CH.EQUITY,0,0,0,0.0659270576960252,0,0,0,0,0.123511456592563,0,0,0.0871653709546573,0.110190167866805,0,0,0,0,0,0.11424357490486,0,0.261344645750953,0.0510447111077123,0,0,0,0,0,0,0,0.0364176246972187,0.0982012292994486,0,0,0,0,0.0193949299732896,0,0,0,0,0,0,0,0,0.069632070821545,0,0,0,0,0,0.101177719277728
X601939.CH.EQUITY,0.217954551756088,0,0,0,0.283913209873601,0,0,0,0,0,-0.0238071708213347,0.164701543996819,0,0.0219447797880726,0,0,0,0.0890126039207949,0,0.124686595001311,0,0,0,0,0.134878151882173,0,0.231145415837122,-0.030032028629319,0,0,0,0,0,0,0,0,0,0,0,-0.0643192217673114,0,0,0,0,0,0,0,0,0,0,0.0347029448203347
X600036.CH.EQUITY,0,0.127324088057807,0,0,0,0.160945388606025,0.0893582318646563,0.0951605424905735,0,0,0,0,0.215643512123599,0,0,0,0,0,0,0,0,0,0,0.0120196982904723,0,0.327071001486798,0,0,0,0.0751423168325558,0,0,0,0,0,0,0,0,0.0625974465149765,0,0.0851013977119409,0,0,0,0,0,0,0,0,0,0.0421885526295676
X601288.CH.EQUITY,0.0800560303116938,0.158699369905232,0.110895864691361,0,0,0.0975375885179701,-0.0156372297385508,0.258722159338209,0,0,0,0,0,-0.0734874121705811,0,0.180583823463674,0.083243427632592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0635684058725832,0,0,0,0,0,0,0,0.105988971873961,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0296122817678636,0,0,0,0,0,0.157991718114361,0,0,0,0,0.0878149247107752,0,0,0,-0.0596315382660856,0,0,0,0.0636765033538411,0,0.309913327720944,0,0,0.4863713134514,0,0,0,0,0,-0.0364857004106573,0.054170109307976,0,0,0,0,0,0,0,0,0.113035199678114
X1299.HK.EQUITY,0,0,0,0,0,0,0,-0.0600209532700916,0,0,0.0934891610111729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311415912667962,0,0,0,0,0,0,0,0.0688980382009501,0,0,0.0874434059119575,0,0.24967781674399,0.220023397492876,0.136671082569564,0,0,0,0,0,0,0.30304492278395,0
X601988.CH.EQUITY,0,0.118082671230867,0.0495113043712713,0.289633489432026,0.182403582686867,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286501346870956,0,0,0,0,0,0,0,0,0.138482905613863,0,0,0.12840858810656,-0.0442110111160233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.0208180167766451,0,0,0,-9.01473001922658e-06,0,0,0,0,0,0,0,0,0,0,0.0979889458711244,0.0108171825930641,0.101176252371907,0,0,0,0.0557255477116166,0.23262573905458,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.33131955974368,0,0,0,0,0.174204560077102,0,0,3.3881317890172e-21,0.00241708448643078,0,0,0
X601166.CH.EQUITY,0,0,0.0761381579914055,0.169973680619418,0,0,0,0,0,0,0,0.0960571567820371,0,0.00244238009339128,0,0,0.0600219460689105,0,0,0,0,0,0,0,0,0.183627007131016,0,0,0.367255723702444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229472938140243,0,0,0,-0.0553914455247329,0,0,0
