,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0,0.129053623948275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109414675752086,0,0.501027923882288,0.390475967868948,0.0378638924545894,-0.216545255315065,0,0,0.170362361172624,0,-0.076676998596734,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00188559442586197,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.240940899384986,0,0,0,-0.0853774312152305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.19885155895409,0.0271443267688932,0.0136433560603364,0,0,0,0.218770306321371,0,0.182017756321004,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.839231591263887,0,0,0,0,0,0.0163944119692157,0,0,-0.0558574033845582,0,0,0,0.0383729029649369,0.129400208459781,-4.33680868994202e-19,0,0,0.00265691061555546,0,0,0,0,0.0312125647315134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716285498044715,0,0,0.00658158808084147,0,0,0
X601288.CH.EQUITY,0,0,0.952466598835515,0,-0.0657520306998369,0,0,0,0,0,0,0,0,0,0,0.0582550066772714,0,0,0,0,0,0,0,0,0,0,0.0536393066100802,0,0,0,0,0,0,0,0,0.0249279230827236,0,0,0.0216153314361772,0,-0.0752707458820704,0,0,0,0,0,-0.00101804967126577,0,0,0,-0.0945627297504004,-0.0417069168856015,0
X601628.CH.EQUITY,0.014268956748948,0,0,3.46944695195361e-18,0,0,0,0,0,0.298150183829632,0,0.215871883624496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0283044864161732,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.542751304814425,0,0,0,0,0,0,0,0,0.216560876756743,0,0,0,0,0.0423580181214675,0.120278356072835
X600036.CH.EQUITY,0,0,0,0.327154211334962,0,0,0,0,0.0665159456066542,0,0,0,0,0,0,0,0.14948902186389,0.134032011641856,0,0,0,0,0,0,0,0,0,0,0.126443799515585,0.147856588647783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532581224574315,0,-0.0113107129290318,0,0.0068504104200824,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.00455303542528108,-0.138084798722153,0.0764096389878616,0,0.0506467571292226,0,0,0,-0.0201897655051125,0,0,0,0,0,0,0,0,-0.0422867492353823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108051722965156,0,0,0,0,0,0,0,0,1.05175551944571,0,0.00190839444593854,0
X1299.HK.EQUITY,0,0,0,0,0.12080215125243,0,0,0,0,0,0,0,0.0349255454705366,0,0,0,0,0,0,0,0,0,0,-0.0906280185729083,0.0695608826277276,0,0,0.110223458927454,0,0,0.20148534024301,0.389776575879714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0754511255822983,0,0.0476220327491531,0,0,0,0.0849347741603269
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144415272639027,0,0,-0.196536961159029,0,0,0,0,0,0.024238659691279,-0.0197734349553122,0.223726647954584,0.48401550774864,0,0,0,0,0,0,0,0,0,-0.0671424256577429,0.0601335405066386,0,0,0,0,0,0.0574496625127436,0,-0.167071293256829,0,0.0630750094119305,0,0.120421915969232,0,0
X388.HK.EQUITY,0,0,0,0,0.329015151037535,0,0,0,0.0871375909466897,0,0,0,0,0,0,0,0,-0.243004506709838,0,0,0,0,0,0,0.476866242489785,0.220525714696929,0,0,0,0,0.0162114195636982,0,0,0,0,0,0,0,0,0,0,-0.161014280551589,0,0,0,0.113662668437451,0,0,-0.0754194949421351,0,0,0,0.0744686665712581
