,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X1997.HK.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.401147060126718,0.0140522233695848,0.0205090026549316,0,0,0,0,0,0,0.218931458815135,0,0,0,0,0,0,0,0,0.132791182030567,0,0,0,0,0,0.0415225165511166,0,0,0,0.00446847414377722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468027506534908,0,0,0,0,0,0,-6.93889390390723e-18,-0.129756465399401,0
X601939.CH.EQUITY,0.458112363123828,0,0,0.151437597823988,0,0,0,0,0,0,0.1123657335963,0,0,0.0297372174503565,-0.110091492830208,0,0,0,0,0,0,0,0,0,0,0.189835410984615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768371241889446,0.0897093337287915,-0.00582876499097815,0,0
X601318.CH.EQUITY,0,0,0,0,0.254234608050169,0.0232845565594682,0,0,0,0,0,0.259787052645702,0,0,0,0,0,0,0,0.204294674986892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0343620488259646,0,0,0,0,0.0616778502678206,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.295758433049249,0.0948043823370272,0,0,0.175334528693091,0,0,0,0,0,0,0,0,0.189289452664356,0,0,0,0,0,0,0,0.0473338624224097,0,0,0,0,0,0,0,0,0,0,0,0.123179165020655,0,0,0,0,0,0,0,0,0.000568147198712758,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.37962521784892,0,0,0,0,0,0.243827810520439,0,0,0,0,0,0.227688764122745,0,0.128952842893331,0,0,0,0,0,0,0,0,0,0.0630871830659001,0,0,0,0,0,0,0,0,-0.490043756421049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315607744258033
X600036.CH.EQUITY,0,0.0582780496708509,0,0,0,0,0,0,0,0,0,0.192179551241481,0,0,0,0,0,0,0,0.281957561154999,0,0.00993242903138958,0,0,0,0,0,0,0,0,0,0.278452100095364,0,0,0,0,0,0,0,0,0.0690879271069622,0.0482608236781334,0,0.0177905030939534,0,0,0,0.100024667642825,0,0,0,0,0
X1299.HK.EQUITY,0,1.38777878078145e-17,-4.33680868994202e-19,0,0,0,0,0,0.1172069400187,0,0.0813587395303368,0,0,0.13660355556571,0,0,0.328305226121854,0,0,0,0,0,0.118031723572328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162798311926402,0,0.0561899732983275,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0918513408478372,0,0,-0.132628333503913,0,0,0,0,-0.444897986813926,0.627270802458586,0,0.0576664474916243,0.684640671444253,0,0,0.0905568770030985,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.302610869222885,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0992408539340571,0,0,0,0,-8.67361737988404e-19,0,0.370084008950845,0.0329624556441103,0,0.104336235887795,0.0077378722967037,0,0,0,0,0,0,0,0,0,0,0.150815695789754,0,0,0,0,0,0.100393829512521,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.174461306568692,0,0.0644226757315271
X601658.CH.Equity,0,0,0,0,0.301781193344985,0,0,0,0,0,0,0,0,0.238290847259057,0,0,0,0,0,0,0.226739359502481,0,0,0,0,0,0,0,0.0711339715358059,0,0,0,0,0,0,0,0.00587683456199164,0.112652031623519,0,0,0,0,0,0,0,0,0,0,0,0.230682653091934,0,0,0
X601328.CH.EQUITY,0.403386696417151,0,0,0.205361817156205,0,0,0,0,0,0,0,0,0,0,0,0.152099276861624,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.246847356426732,0,0,0.0472457123708166,0,0,0,0,0,0,0,0,0,0,0,0.0390345048768149,0,0,0.00865997103868027,0,0,0,0.0459044777514104,0
X601166.CH.EQUITY,0,0,0,0,0,0.423366257959982,0,0,0,0,0.0548664465196553,0,0,0,0,0,0,0.0543786547572156,0,0,0,0,0,0,0,0,0,0,0,0.233859512999727,0.00514177524134374,0,0,0,0,0,0,0,0,0,0,0,0.0214042785541949,0.0333444485334237,0,0,0,0.0565956943572491,0,0.103441435980972,0,0,0
X388.HK.EQUITY,0,0,0.428579503966284,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0881871049848319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0455441129812289,0,-1.73472347597681e-18,0,0,0,0,0,2.16840434497101e-19,0,0,0.00596464924726688,0.00137053905476292,0,0,0,0,0,0,0,0
X600000.CH.EQUITY,0.143533374413102,0,0,0.122188179002912,0,0,0,0,0,0,0,0.28944820617684,0,0,0,0,0,0,0,0,0.0497761018322594,0,0,0,0,0,0,0,0.152984819791929,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245376189099676,0.00161949954028615,0,0,0,0,0,0,0,0,0
