,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00806837899163673,0,0,0,0.173156917112477,0,0,0,0,0.507817364184391,0,0,0,0,0,0,0,-0.0122482255135059,0,0,0,0,-0.158762179405662,0,0,0.514883458496321,0,0,0,0,0,0,0,0,0.0830910242661467,0.0254752712452891,0
X601318.CH.EQUITY,0,0,0,0,0,0,0.1561609123969,0,0.244955697599118,0,0,0,0,0,0,0,0,0.280374022376156,0.0767095405151565,0,0.038241120236841,0,0,0,0,0.0752848930673088,0,0,0,0,0,0,0,0,0,0.0826520188590687,0,0,0,0,0.0290089633364759,0,0,0,0.0127972866886025,0,0,0.0449210628748953,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.511150059897636,0.0219361214023215,0,0,0,0,0.339317772682859,0,0,0,0,0,0,0,0,0,0,0.117605462866819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160544313167075,0,0,0,0,0,0,0,0,0,0,0.00961601576792723,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.207417054439816,0,0.0339712565807962,0,0.670040459507546,0,0,0,0,0,0,0,0,-0.0897589677478028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121653950498468,0,0,0,0,0,0,0,0,0,0,0,0,0.0251084134587437,0,0,0,-0.161780783827538
X5.HK.EQUITY,0,0,0,0,0,0.145679330937005,0.398080038874371,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0838390137890163,0,0,0,0,0,0.060966525748478,0,0,0,0.00624659165196054,0.0631047883342637,-0.192242695972934,0,0,0,0,0,0,0,0,0.0575364046188856,0,0,0,0.255913008649414,0,0,0,0,0,-0.160271789562428,0,0.0874993578054302,0,0,0
X601988.CH.EQUITY,0,0,0,0,0.312187684125991,0,0,0,0.0235139218588304,0,0,0,0,0,0.0834382067788353,0,0.123076945408134,0,0,-0.0656431453697611,-0.055483321832768,0,0,0,0.203290866423203,0,0,0,0,0,-0.237107708012613,0,0.0472210945857363,0,0,0,0,0,0,0.0462806392323308,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.145966809211433,0,0
X1299.HK.EQUITY,0,0,0,0,0.229377077181547,0,0,0,0,0,0,0,0,0,0,0,0.192808467329178,0,0,0,0,0,0,0,0,0.0390044472539513,0,0.0439947595026097,-0.111296441899041,0.0930499788457066,0.0421478436704609,0,0,0,0,0,0.517529065284287,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139536365972823,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.40448464202274,0,0.0191007661130435,0.0475634084629013,0,0,0,0,0,0,0.0811977055317146,0,0,0,0,0,0,0,0.00819505483495433,0.0464560697566739,0,0,0,0,0,0,0.0365042296887673,0,0,0,0.218541810613483,0,-0.0572843348322545,0.311569682777587,0,0,0,0,0,0,0,-0.0597424358364975,0
X601628.CH.EQUITY,0,0,0,0.0144906830518813,-0.0878533266429783,0.00747946001697692,0,0,0,0,0,0.0864481430997128,0,0,0,0,0,0.297094656858377,0,0,0,0,0,0,0,0,0.0107755963309297,0,0,0,-0.024988748027315,0,0,0,0,0.320814724372117,0,0,0,0,0,0.269482619543147,0.116197809588478,0,0.0575256558234956,0,-0.0101274038143639,0,0,0,-0.101879118662182,0
X601328.CH.EQUITY,0,0,0.189995142022994,0,-0.0101103625228827,0,0,0.460195881795711,0,0,0,0,0,0.417403589442543,0,0,0,0,0,0,0.0477957750981505,0.107341354124034,0,0.00351100432058175,0,0,0,0,0,0,0,0,-0.146492423799611,3.46944695195361e-18,0,0,0,-0.136532755304463,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138559021777435
