,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.253195107741555,0.0647578018872004,0,0,0,0.342214512983342,0,0,0,0.130554961992741,0,0,0,0.0262889558411531,0,0,0,0,0,0,0,0.119850434971715,0,0.00358796676213394,-0.0118834799196403,0,0,0,0.0349371803354041,0,0,0,0,0,0,0.118743322727901,0,0,0,0,0,0,0,0,0,0,0,-0.00946847592666648,0,0,0
X601318.CH.EQUITY,0,0,0.298159287410563,0,0,0,0,0,0.0783613450704255,0,-6.93889390390723e-18,0,0.00308036825966794,0,0.21489903703964,0,0,0,0,0,0.0214546332178883,0,0,0,0,0,0,0,0.0817314261869888,0,0,0,0,0,0,0.0706508832673959,0,0,0,0,0.0875597643061354,0,0,0,0.0405047203974261,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410030562928197,0.271116849792648,0,0,0,0,0,0.396733101493305,0,0,0,0,0,0,0,0,0,0,0,-0.0979537012705704,0,0,0.0249872189783279,0,0,0,0,0,0.0907258411925889,-0.0130109693270931,0,0,0.0160837099372826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157054165190795,0,0
X600036.CH.EQUITY,0,0.0880546092407141,0,0,0,0.114427002369205,0,0,0,0,0,-0.0475696898608642,0.0716097751525535,0,0,0.108403279610912,0,0.125706786606941,0,0,0,0,0.42282977471027,0,0.0655579033516025,0,0,0,0.0562243821191192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10074246170737,0.025076763661152,0
X601288.CH.EQUITY,0,0,0,0,0,0,0.0195236548585,0.481304501361642,0,-0.0985837368832623,0,0.111681650729762,0,0,0,0,0,0,0,0,0,0,0,0.0806202813590892,0.0574071438305376,0,0,0,0.0681310539487194,0,0,0,0.0543653899289443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512514103869373,0,0.00893998346889326,0,0,0
X1299.HK.EQUITY,0,0,-0.0476119243343443,0,0,0,0,0,0,0.110369807686857,0,0,0,0,0,0,0,0,0,0,0,0.0368970273853274,0,0,0.13312639292748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136487941902019,0,0.0792088093653846,0.2322882308989,0,0.155187956598968,0,0,0,0,0.238590805689583,0,0,0
X601628.CH.EQUITY,0.14360039277774,0,0,-0.00680175288318497,0,0,0,0,0,0,0,0,-0.0268371316535748,0,1.73472347597681e-18,-0.190420871807408,0,0,0,0.147123965426747,0,0,0,0,0,-0.108633669914224,0,0,0,0,0,0,0,0,0.585024631893816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765596486785159,0
X601988.CH.EQUITY,0,0,0.0527632921449498,0,0.522214235480953,0,0,0,0,0.052999147019511,0,0,0.167656183672343,0,0,0,0.0582425591071899,0,0.0727890988947007,0,0,0,0,0,0.107155207358741,0,0,0.0305047843608544,0,0.0473359162455133,0,0,0,0,0,0,0.0599530821297852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.222924561780973,0.11375543027459,0,0,0,0,0,0,-0.0742026837353156,0,0,0,-0.214619851765477,0,0,0,0,0,0,0,0,0,0,0.171199161525701,0.0289268482408623,0.185470492090714,0,0,0,0,0,0,0,-0.031852082226729,0,0,0,0,0,0,0.142415998315134,0,0,0.107000006746145,0,0,0.0262212145476,0,0,0.102634833065257,-0.1773342982846,0
X388.HK.EQUITY,0,0,0,-0.148515521811335,0,0.340497361627518,0,0,0,0,0,0,0,0,-0.0485374008462983,0,0,0,0,0.289292459228226,0,-0.20059402965223,0,0,0,0,0,0,0,0,0.0360739751110236,0,-0.0934430465275464,0,0,0,0,0,0.063787533108949,0,0,0,0,0.189007771093346,0,0,-0.028339135402608,0.0396746072245388,0,0,0.196940296611727,-0.0900741146281738,0
