,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.127220225816263,0,0,0,0.1194958334122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441271666973102,0,0,0.0759346442596769,0,0,0,-0.0794113767805221,0.239135090760067,0,0,0,0,0,0,0,0,0,0,0.126025355751605,-0.184389103117285,0,0.139397533875947,0,0,-0.149285284579471,0
X601939.CH.EQUITY,0.183636089658779,0,0,0.328593633304413,0,0,0,0,0,0,0,0.0241108280108506,0,0.232103008754577,0,0,0,-0.120676922171277,0,0,0,0.0597569615299156,0,0,0,0.229184179257476,0,0,0,0,-0.0960136241073837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.00553094493108963,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0,0
X601288.CH.EQUITY,0,0.63206936308824,0,0,0.160264571038326,0,0,0,0,0,0.0134646533563781,0,0,0.0166386287310079,0,0,0,0,0,0,0,0.122978484610198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113589796956308,0,0,0,8.67361737988404e-19,0,-0.0428047639314444,0,0,0
X601988.CH.EQUITY,0,0,0,0.390796367554891,0,0,0,0,0,0.248172631697475,0,0,0,0,0,0.320006764486794,0,0,0,0,0.158141770940168,0,0,0,0,0,0,0.0514787701310709,0,0,0,0,0,0,0,0,0,0,-0.486408744872241,0,0,0,0,0.173556522785801,0,0,0,0,0,0,0,0.274468499478189,0
X600036.CH.EQUITY,0,0.205872849402869,0,0,0,0,0,0,0.154195359255531,0,0,0,0.137542158293654,0,0,0,0,0,0,0,0,0,0.0855021644428968,0,0,0,0,0,0,0,0,-0.012440710358694,0.00382074766976106,0,0.306086306289737,0,0,0,0,0,0.0582930704793906,0,0,0,0,0,0.0189345964323011,0,0.0659314909241881,-0.0209605482072285,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.382755462596577,0,0,0,0,-0.0771970076111053,0,0,0,0,0,0,0,0,0,0,0,0,0.216600948825848,0.0485656163854906,0,0,0,0,0,0,0,0.0195695978605852,0,0,0,0,0,0,0,0,0.0167846133667553,0,0,0,0,0,0,0,0,0.189971752624769,0.0920437282048392,0
X601658.CH.Equity,0,0.0718914129671105,0,0.100883848649285,0.0396035881109236,0,0,0,0,0,-0.032226527694197,0,0,0,0,0,0,0,0,0.267328899807644,0.18858764008268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289454540707858,0,0.0959402260569942,0,-0.134109026429074,0,0,-0.0791343922187559,0,0,0,0,0,0,0,0,0
