,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601601.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.208998004908088,0,0.202966071498706,0,0,-0.0695020618704555,0,0,0,0,0,0,0,0,0.113919217743008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000158089445365532,0.0639090360231395,0,0,0,0.0400179725890772,0,0,0,0,0,0,0,0,0.277686928952813,0,0,-0.0686691577234293,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0640083265636681,0,0.149675263595528,0.0369485140964235,0,0.0251605794955309,0,0,0.206204584405769,0,0,0,0,0,0.302890548453507,0,0,0,-0.0336877614893093,0,0,0,0,0,0,0.0377679679522936,0,0,0,0.17434241531419,0,0.052736908582182,0,0,0,0,0,0.0257022630301626,0,0,0,0,0,0,0,0,0.142608837923333,0
X601939.CH.EQUITY,0,0,0,0,0.142980359978498,0,0.322212233574668,0,0,0,0.0723543064959992,0,-0.149549129483236,0,0.0123614860243994,0,0,0,0,0,0.0836860803313693,0,0.540281574513308,0,0,0,0,-0.0339047975280869,0,0,0,0,0,0,0,0,-0.0378546557532248,0,0,0,-0.0195664608694822,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0915573258139144,0,0,0,0,0,0,0,0,0,0,0.220785504097589,0,0,0,0,0,0,0,0.0855709326960855,0,0,-0.197069838557664,0.134998858578944,0,0,0,0,0.382629677992005,0.230828776966133,0,0,0,0,0,0,0,0,0,0,0.0708739676211683,0,0,0,0,0,0.0164806993791813,-0.118352206886097
X601288.CH.EQUITY,0.0836067752503531,0,1.35525271560688e-20,0,0,0,0,-0.0116076995093823,0,0.0110900550432395,0,0,0,0.041645540070069,0,0.453503129013437,0,0,0,0,0,0,0.321426992753489,0,0,0,0,0,0,0.000699876839904559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026107367043479,0,0,-0.0157011924961411,0,0,-0.0604637784813979,0
X600036.CH.EQUITY,0.122499582875024,0.151033073241399,0,0.161574401375586,0,0,0.051435811260187,0,0,-1.73472347597681e-18,0,0,0,0.310316991947439,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.188995028869135,0,0,0.0337217565058564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330648552165704,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0.200247486176848,0,0,0.208549129272119,0.311918748717686,0,0,0,0,0,0,0,0,0,0.163456736816674,0,0,0,0,0.175074132392374,0,0,-0.0295993010120601,0,0,0,0,0,0,0.0851902596994427,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.15335915739922,0,0,0,0,0,0,-0.0351811193744363,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.359605620572641,0,0,0,0,0,0,0,0.0314433104349195,0,-0.0355602942487053,-8.51918456904327e-05,0,0,0.0667618995932852,0,0,0.226814012108868,0,0.0233529985122258,0,0,0,0,0,0,0,0,0,0,0.0911760482109646,0,0.080935321112563,0,0,0,0,0,0,0,0,0,-0.125129576420345,-0.156370692446549
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.0623332478747283,0,0,0,0,0,0,-0.153056921395247,0,0,0.0273954477418527,0,0.0161519986474172,0,0,0,0,0.124454224781552,0.448620704143172,0,0,0,0.134127470571558,0,0,0,0,0,0,0,-0.175575094342958,0,0.257736372711571,0,0.232524961584751,0,0,0,0,0.174188674005813,0,0,0,0
X388.HK.EQUITY,0,0.0622430806866972,0,0,0,0,0,0,0,0,0,0,0,0.0476502652233252,0,0.148547023867471,0,0,0,0,0,0,0,0.00904931180879496,0,0,0,0,0,0,0,0.380524509241383,0,0.0991959114177781,0,0,0.0942180766827515,0,0.156639270023862,0,0,0.0139876984306804,-0.213498651044101,0,0,0.341121407480562,0,0,0,0,0.0549473707009009,0,0
