,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0977410175579365,-6.93889390390723e-18,0.156544908568928,0,0,0,0,0,0.123541762352403,0,0.170948241473494,0,0,0,0,0,0,0,-0.0438677011255781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157099487611891,0,0,0,0.193482705786777,0,0,0,0,0,0,0,0.0212232690044888,0.166070062465984,0,0,0,0
X601318.CH.EQUITY,0,0,-0.090922364687917,0,0,0.0582097328697633,0,0,0.184223832688924,0,0.0576089524815738,0,0.1448051639211,-0.0170664618223715,0,0.250780402912904,0,0,0,0,0,0,0,0,0,0,0,-0.0714640071124422,0,0,-0.178212776324699,0,0,0,0.274397959019226,0,0,0,0.07630367318232,0.201834810407837,-0.236846804722182,0,0.188698347353744,0.197958529686313,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410656963396464,0,0,0,0.0257631614466751,0,0,0,0,0,0,0.0937283309109978,0.0150145228754977,0,0.0914773164073222,-0.107584767541213,0,0,0,0,0,0,0,0.0936226440212342,0,0.0879846853790274,0,0,0,0,0,0,0,0,0,0,0,0.0881913133834513,0,0,0.428275366606439,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.27126990887546,0,0.121477108885091,0,0,0.368106077608805,0,0,0,0,0.0903647396682663,0,-0.0385887020413624,0,0,0,0.0885411177867176,0,0,8.67361737988404e-19,-0.0295886019893902,0.0338782390305036,0,0,0,-0.091556306878933,0.00786248246356214,0,0,0,0,0,0,0,-0.107871179415576,-0.0431010901418584,0,0,0,0,0.224690685159819,0,0,0,0,0,0,0.109637715109051,0,0,0,0
X5.HK.EQUITY,0,-0.200079742952591,0,0.228290450884144,0,0,0,0,0,0,0,0,0.166922721870222,0,0,0,0,0,0,0,0,0.453409498082568,0,0,0,0,0,0,0,0,0.36948248638062,0,0.0345420846832398,0,0,0,0,0,0,0,0.0356556180493308,0,0,0,0,0,0,0.170962130232665,-0.0909668651150114,0,0,-0.091019512770887
X601988.CH.EQUITY,0.223840672396592,0.0857146676499713,0.0960935607110351,0,0,0,0,0,0.216726211668245,0,0,0.266294792021503,0,-0.0700183654195118,0,0,0,0,0,0,0,0.0289588583827491,0,0,0,0.0489276628334504,0,0,0,0,0,0,0,0.18137673799446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0458561982096397,-0.0656925549186716,0,0.225360301131341,0,-0.0657409040713357,0.02633266053882,0,0.301753043490524,0,0.230824519104574,0,0,0,0,0,0,0.0372221367852724,0,0,0,0,0,0,0,0.034634525630932,0,0.0489998365651282,0.0388659095957548,0,0.0892638881037318,0,0,0,0,0,0,0.0768498105478116,0,0,0,0,0,0,0.059235430778781,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0829942099740431,0,0,0,0.117669998239506,0,0,-0.120424003012039,0,0.0325801273596648,0.238259639613547,0,0,0,0,0.0170017782812268,0,0,0.0662939537040156,0.060915260932482,0.0951143924854059,0,0,0,0,0,0.0196605469476857,0.207805598754316,0,0.0283351101807732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.112604346059762,0.261668111699837,0,0,0.0398916489617068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285328029130215,0,-0.12859860271898,0,0,0,0,0.229530296312976,0,0,0.0450552231053034,-0.228103939302692,0.0260052296986751,0,0,0,0,0,0,-0.0536259263787804,0,0,0.0230100514981791,0,0,0,0,0,0.104418952572054,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0.289393783971521,-0.407753929173108,0,0,0,0,-0.120533601578916,0,0,0,0.329478220423612,0,0.617883531311567,0,0,-0.0207055914776271,0,0,-0.194499588925233,0,0,0.0619081220417792,0,0,0,0,0,0,0,-0.409655420817438,0,0,0,0,0,0.758875099220966,0.0642624028207393,-0.130478836873579,0,-0.449488059382467,0,0
