,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0.102721370900293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40454349331552,0.375503537454451,0.00763680865580983,0,0,0,-0.0832408661325928,0,0,0.274780270449447,0,0,0,-0.289703600455225,0,0,0,0,0,0,0.0289110223478143,0,0,0,0,0,-0.288999576915308,0,0,0.0689401810681803
X601318.CH.EQUITY,0,0,0,0,0,0.210204862716517,0,0,0,-0.00911836672484308,0,0,0,0,0,0,0,0,0.0427624430898068,0,0,0,0,0,0,0,0,0.0578337018921393,0,0.0397916475824555,0,0,0,0,0,0,0,0.23356083390616,0,0,0,0,0,0,0,0,0.0929325777365678,0,0,0.343098786811713,0,0
X601939.CH.EQUITY,0,0.0567302661705496,0,0.809715839406336,0,0,0,0,0,0,0,0,-0.0311922284544963,0,0,0.0153413047259788,0.119306794874281,0,0.0219917531043261,0,0,0,0,0,0,0,0.0317276539652365,0,0,0,0,0.0276720624794519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016710138244629,0,0,0
X601288.CH.EQUITY,0.0680302235327218,0,0.976379599949705,0,-0.0338519889971765,0,0,0,0,0,0,0,0,0,0,0.0596392098580611,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0132671958945114,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0593057328239427,0,-0.118189721557026,-0.0455400178534106
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.023764935965398,0,0.268913585552009,0.136643468294546,0,0,0,0,0,0,0,0,0.0118588808152756,-0.0449720240892632,0,0,0,0,0.0836547218233317,0,0,0,0,0,0,0.396013134062407,0,0,0.0262327472800853,0,0,0,0,0,0,0.0943213175665953,0.094385570357973,0,0,0,0,0.186383989150293,0.220820180318902
X600036.CH.EQUITY,0,0,0.408792768371138,0,0,0,0,0,0.0248230589317195,-0.00639779235403669,0,0,0,0,0,0,0.106788623665462,0,0,0.00488779333019886,0.012687406228952,0,0,0,0,0,0.191709763980057,0,0,0,0,0.123094184835063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,-3.46944695195361e-18,-0.0574280318981445,0.142109089935479,0,0,0,0,-0.0498244280127013,-0.0774355250166193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110623663232613,0,0,0,0,0,0,0,0,-0.0503057652717123,1.06911332113142,0.0165956954106413,0.00380646099094359
X1299.HK.EQUITY,0,0,0,0,0.211449691804497,0,0,0,0,0.185116636286325,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.207108390323514,0.0501977287036835,0,0.433513938718222,0.272861709272393,0,0.108584015102097,0.156708811489995,0,0,0,0,0,0,0,0,0,0,0,0,-0.13014589893721,0,0,0,0,0,0,0.0933129258850251,-0.0103809194995127
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424360551131795,0,0,0,0,0,0,0,0,0,0.371220741184975,0.337570014642069,0,0,0,0,0,0,0,-0.151300035594649,0,0,0,0.0101461702751169,0,0,0,0,0.0114324782185966,0,-0.0877419859737615,0,0,0.257875633846716,0,0.155215884165223,0
X388.HK.EQUITY,0,0,0,0,0.249736626208114,0,0,0,0,0,0,0,0,0,0,0,0,-0.180247817426986,0,0,0,0,0,0,0.453311753170434,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.105312348322856,0,0,0,0,0,0,-0.0972568524628395,0,0.0495522523152149,0.219938886761308,0,0,-2.71050543121376e-20,0,-0.116815928753503,0.044102802225256
