,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0.0193205186319793,0,0.164859848219509,0,0,0.110454900536561,0,0.246169428779506,0,0,0,0,0,0.189959459263591,0,0,0,0,0,0,0,0,0,0,0,0,0.0424149191458573,0,0.137894174345221,0,0,0,0,0,0,0.0288843208334567,0,0,0,0,0,0,0,0,0,0,0.0491197135190649,0,0.00614790517918951,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0
X601939.CH.EQUITY,0.26922065395924,0,0,0,0,0,0,0,0,0,0,0,0,0.413716563336888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191902192418393,0,0,0.10813226945421,0,0,0.00677957205642221,0,0,0,0,0.00386155536024905,0,0,0,0,0
X601288.CH.EQUITY,0.352874594650952,0,0,0,0,0.499103003516239,0.00609446123328795,0,0,0,0,0.0101012343059455,0,0,0.0387665975883018,0,0,0,0,0,0,-0.0328412848015139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194848598034264,0,0,0,0,0.0900645874921976,0,0,0.00901725040016833,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0733702528382759,0,0,0,0,0.428693659895457,0,0.186954028265296,0,0,0,0,0,0,0,0.596754162122103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0338356053704429,0,-0.206910757387634,0,0,0,0,0,0,0,0,0,-0.23266078531273,0.107037586442587,0
X601988.CH.EQUITY,0,0.0659277290653004,0,0,0,0,0,0,0.0804602533136392,0,0,0,0,0.0117537952306821,0,0,0,0.219545080726627,0.127632078681196,0,0,0,0,0.298485878869849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138611298712207,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.138265334063388,0,0.0105550445473184,0,0.302254011879475,0,0,0,0,0.145948796235521,0,0,0,0,0,0,0,0,0,0,0.0740950089063743,0,0.111698637558869,0,0.120579095677514,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0658893784223391,0.0674774561971443,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.138197102850267,0,0,0,0,0,0,0,0.375929495482005,0,0,1.73472347597681e-18,0.178682794141847,0.225344863888745,0,0,0,0,0,0.0107630322809488,0,0,0.278204953847129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049775571878923,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.303496774792149,0,0,0,0,0,0.205214363008875,0,0,-0.240714060578774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600852051108066,-0.0975920034670617,0,0,0,0,0,-0.0270299810000682,0,0,0,0.749727550605228,0,0,0,0,-0.0866217597761669,0.621603229858837,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719081989951003,0,0,0,0,0,0,0,0,0,0.138297558273807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0631890307375793,0,0,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0351967218228902,0,0,0,0.436438185993937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221572582665132,0,0,0,0.062284975879851,0,0,0,0,0.417784844792751,0.000245812953178091,0,0,0,0,0,0,0,0.0739429199160343,0,0,0.144611530997885,0,0,0,0,-0.216378157888221,0,0,0.104701084541005,-0.0466347573919297,0
