,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0,0.132844713476306,0,0,0,0,0,0,-0.0139160338104839,0,0,0,0,0,0,0,0,0,0,-0.0514240200347316,0.00184757850070469,0,0.386285508144561,-0.22506612394636,0.50001036657786,0,0,0.206498830816269,-0.0822930631616258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570843828797372,0
X601318.CH.EQUITY,0,0,0,0,0,0.208955511038676,0,0,0,-0.0759038539239465,0,0,-4.33680868994202e-19,0.126902575572566,0,0,0,0.0385357920122168,0,0,0.0176959669682996,0,0,0,0,0,0,0,0,0,0.155551750953782,0,0,0,0,0.253735912050704,0,0.104257615341329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207295619180678,0
X601939.CH.EQUITY,0,0.0477487246653408,0,0.795751256226392,0,0,0,0,0,0.0469482822338183,0.0303025497128041,0,-0.0276071244080311,0.020790323835326,0,0,0,0.083382554232783,0,0,0,0,0.00108292599186212,0,0,0,0.0218903707295192,0,0,0,0.0221535484516256,0,0,0,0,0,0,0.0799674285256853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.974279057781841,0,-0.0182642709197385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067819183675347,0,0,0,0,0,0,0,0,0.0189269049124211,0,0,0,-0.0411158172930335,0.0122198145011202,-0.0598150803417278,0,0,0,0,0,0,0,0,-0.0964418468677257,-0.0372475552015577,0
X601628.CH.EQUITY,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0.274797441037134,0,0.0854603644757801,0,0,0,0,0,0,0,0.429758695655708,0,0,0,0,-2.77555756156289e-17,0,-0.0557780891152337,0,0,0,0,0,0,0,0,0.101626462823559,0,0.00944261817303204,0,0,0,0,0,0,0,0.113064427808562,0,0.205634165498448,0,0,0,0.0376908713083765,0
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.0626479920333055,-0.0157096631037591,0,0,0,-0.0379134463431933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716031700236972,0,0,0.0439353178130813,0,0,0,0,0,0,0,-0.0217138107752432,0,0,0,0,0,0,-0.0108831446666737,0,0,0,-3.46944695195361e-18,-0.134262826135326,0,0,0.961980862197748,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.120075554345649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268584463483573,0,-0.0832791025368685,0,0,0,0,0,0.0253104786903877,0,0,0.144369280291872,0.359006612618467,0,0.0206566258897704,0,0,0.0566984905721263,0,0,0,0.0528220245798403,0,0,0,0,0,0.00709953604363932,0,0,0,-0.0982209235720137
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020639871177777,0,0,0,0,0.254531975514456,0.46846065932248,0,-0.0756470592335128,0,0,0,0,0,0,0,-0.148927638702049,0.0956567339195785,0,0,0,0,0,0.0538905178180014,0,0,-0.180290290440266,0.0148278919158828,0,0.186370940188957,0,0.0553248319577674
X388.HK.EQUITY,0,0,0,0,0.253825390159087,0,0,0.0628340822583253,0.113943232700322,0,0,0,0,0,0,0.0364522876744419,0,-0.215404607815058,0,0,0,0.328535431680583,0,0,0.199887943943744,0,0,0,0.0291307972124023,0,0.0438847367924248,0,0,0.0346631538278285,0,0,0,0,0,0,0,0,0.106690417558934,0,0,0,0,0,-0.26754106486374,0,0,0.136094785973843,0
