,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X601601.CH.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601066.CH.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X300059.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600015.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN210SLOPE
X601398.CH.EQUITY,0,0.392103754931826,0.0107943248129221,0,0,0,0,0,0,0,0.185065199926822,0,0,0,0,0,0,0,0,0.120712232389806,0,0,0,0,0,0.100266971079217,0,0,0,0.00284459886237285,0.00342552908034601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0595094670153914,0,0,-0.12062807135819,0
X601939.CH.EQUITY,0.415464208486528,0,0,0.124782598006944,0,0,0,0,0,0,0,0,0,0.0435953349821109,-0.160320640878884,0,0,0,0,0,0,0,0,0,0,0.312973669182509,0,0,0,0,-0.0154205101493309,0,0,0,0,0,0,-0.0184495209360539,0,0,0,0,0,0,0,0,0,0.180849321110527,0,0.0696518697687321,-0.0693634727645695,0,0
X601318.CH.EQUITY,0,0,0,0,0.191122578211471,0.0799715478417202,0,0,0,0,0,0,0,0,0.108566044709252,0,0,0,0,0.230598606115513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140337245677807,0,0,0,0,0.0977328949589409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.297114778753072,0.0953174636340835,0,0,0.174370619065116,0,0,0,0,0,0,0,0,0.189420482562762,0,0,0,0,0,0,0.0453091765706844,0,0,0,0,0,0,0,0,0,0,0,0,0.121958206284547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0.096512080373558,0.456391126066101,0,0,0,0,0,0.318612005985855,0,0,0,0,0,0.159005164671927,0,0.0844333003330373,0,0,0,0,0.096715619855826,0,0,0,0.092690843777311,0,0,0,0,0,0,0,0,0,0,-0.628971992330652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218392892160018
X600036.CH.EQUITY,0,0.0272826539983089,0,0,0,0,0,0,0.0112621063275821,0,0,-0.0318678698547844,0.187643596070126,0,0,0,0,0.122811966845461,0,0.182189767850058,0,0,0,0.0750390357771825,0,0,0,0,0,0,0,0.351386669256752,0,0,0,0,0,0,0,0,0,0.0307460274423158,0,0.151288070227767,0,0,0,-3.46944695195361e-18,0,0,0,-0.00808757954079384,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20636369334395,0,0,0.386924802907594,0,0,0,0,0,0.0576601591135893,0,0,0,0,0,0.0496582911569139,0,0,0,0,0,0,0,0,0,0.140857736840867,0,0.0830757048356789,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152455984733368,0,3.46944695195361e-18,-0.153515563774166,0,0,0,0,-0.450415386694195,0.636241903150197,0,0.0992009877085105,0,0.698759058369242,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,-0.106246863459029,0,0,0.327923740684949,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.117158025012154,0,0,0,0,0.0188491235803579,0,0,0.352193301562291,0,0,0,0.0480769130999036,0,0,0,0,0.0206928615177368,0,0,0,0.0416475731608858,0,0,0.0641026730994731,0,0,0,0,0.233976272295568,0,0,0,0,0,0,0,0,0,0.146142148961514,0,-0.0297152090803393
X601658.CH.Equity,0,0,0,0,0.136054413272855,0,0,0,0,0,0,0,0,0,0,0,0,0.268258849535155,0,0,0,0.0280037589760285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323452618364287,0,0.164186945230493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601328.CH.EQUITY,0.334265638440307,0,0,0.300759619687296,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.115699659868098,0,0,0,0,0,0,0,0,0.0408675080459102,0,0,0,0,0.184464094488446,0.0107539753925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0921016890117717,0,0,0.0642755247186464,0
X388.HK.EQUITY,0,0,0.430615490761931,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0872469312543295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044114458493113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00261484030935702,0,0,0,0,0
X601166.CH.EQUITY,0,0,0,0.0791261814631229,0,0.28400829266343,0,0,0,0.0272539640632029,0,0,0,0,0.011505470716469,0,0,0.0300093251950596,0,0,0.0293196499156075,0,0,0,0,0,0,0,0,0.210289644008475,0.0489534741277889,0,0,0,0,0,0,0,0,0,0.0550323130815318,0.050118544584256,0,0,0,0,0,0.0898298676821432,0,0.145481971594241,0,0,0
