,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0,0.136127116803018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280834167356503,0.016723599218042,0,0.364571516527885,-0.181173923136565,0.443086135077016,0,0,0.249986365582427,-0.101468812896615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197590197512104,-0.0226109507402713
X601318.CH.EQUITY,0,0,0,0.00469831827418654,0,0.299207847404588,0,0,0,-0.0684156578472699,0,0,0,0.101919431465307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341412959896076,0.0612501893422928,0,0,0,0,0.272711857510713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664386448284288
X601939.CH.EQUITY,0,0.0477487409454759,0,0.795752538139556,0,0,0,0,0,0.046950266674572,0.0303000842916466,0,-0.0276106061519073,0.0207905680886258,0,0,0,0.0833850952444828,0,0,0,0,0.00108257729364002,0,0,0,0.0218899138520905,0,0,0,0.0221541813893696,0,0,0,0,0,0,0.0799675128556592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.974279581850715,0,-0.0182684590866488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678200231035843,0,0,0,0,0,0,0,0,0.0189248220613536,0,0,0,-0.041119712541581,0.0122245066251705,-0.0598129742392065,0,0,0,0,0,0,0,0,-0.0964415147355266,-0.0372438698340499,0
X601628.CH.EQUITY,0.00494816878861805,0,0,-3.46944695195361e-18,0,0,0,0,0,0.295890969607999,0,0.127948254149438,0,0,0,0,0,0,0,0.42792526557537,0,0,0,0,-2.77555756156289e-17,0,-0.0388194852431869,0,0,0,0,0,0,0,0,0,0,0.0828154226273091,0,0,0,0,0,0,0,0.0399427548624002,0,0.244263631131434,0,0,0,0.0128576201066741,0.0224572868007828
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.068618277947547,-0.0230784213029449,0,0,0,-0.0291653631117484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547593563615812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102260361240949,0,0,-1.73472347597681e-18,0.00135909365783323,-0.11702974751979,0,0,0.996635184586489,0,0,0.0209418103908624
X1299.HK.EQUITY,0,0,0,0,0.119260944026178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294749349977041,0,0,0,0,0,0,0,0,0,0,0.104525161400737,0.324784578718984,0,0,0,0,0,0,0,0,0.0282399576002164,0.0561399716901029,0,0,0,0.0530248534839216,0,0,0,0,0.126406284232092
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205945602141408,0,-4.33680868994202e-19,0.0185603309804229,0,0,0,0,0.241255671402626,0.475671408446049,0,0,0,0,0,0,0,0,0,-0.0554712969494507,0.0461381129742989,0,0,0,0,0.033041869002185,0.0350942606789015,0,0,-0.129643426845518,0,0,0.143070861594598,0,-0.039138579894473
X388.HK.EQUITY,0,0,0,0,0.162766364581462,0,0,0.176488726545622,0,0,0,0,0.0724011816058811,0,0,0,0,0,0,0,0,0.285812942734613,0,0,0.111071181884849,0,0,-0.0302452988537258,0,0,0,0,0,0.0766955896582307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221157193948678,0,-0.0229581331531281,0,0.298140341337566
