,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X11.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X2891.TT.EQUITY,X17.HK.EQUITY,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X601398.CH.EQUITY,0,0.0827820155788602,0,0.0909173693727338,0,0,0,0,0,0,0.472581935907019,-1.38777878078145e-17,0,0,0,-0.222208195896138,0,0,0,0,0,0,0,0,0,0,0,0.105106089349988,0,0,0,0.0714201463377233,0.12191715415332,0,0,0,0,0,0,0.0153561241639415,0,0,0,0,0,0.072646589404002,0,0,0.219661007084595,-0.0608486896544508,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.0910575496282731,-1.38777878078145e-17,0,0.264297594771542,0,0,0.316824555182496,0,0,0,0.108830439040047,0,0,0.0454621198128652,-0.0620512053210441,0,-0.031274603923632,0,0,0,0,0,0,0,0,0,0,0.110906873680744,0,0,0,0,0,-0.273819033924814,0.137328695231022,0,0.00952029391792479,0.124959076167333,0,0,0,0,0.0328553314698384,0,0,0,0
X601939.CH.EQUITY,0.478043062461185,0,0,0.00555778451799702,0,0.179369421561836,0,0,0,0,0,0,0,0.0625222453944211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370730987787952,0,-0.115923521412662,0,0.046435556823838,0,0,-0.0455373140633798,0,0,0,0,0,0
X601288.CH.EQUITY,0.514143899155819,0,0.172648115631248,0,0.137728828851313,0.0115562238944618,0,0,0.0785802375018876,0,0,0,0,0,0,-0.0663066635545015,0,0,-0.0142608640061217,0,0,0,0,0,0,0,0.0966363363964022,0,0,0,0,0,0,0.0121309949154197,0,0.0374427691428624,0,0.0764091103100261,0.174510642925653,0,0,0,0,0,0,0.00555798625568458,0,0,0,0,0,-0.0635409744984791
X5.HK.EQUITY,0,-0.129767730007989,0.193754783650702,0.174942945530026,0,0,6.93889390390723e-18,-0.168588141470376,0,0,0,0.240543326976524,0,0,0,0,0,0.518171186713464,0,0,-0.0659308770801961,0,0,0.182291161411665,0,0,-0.168672979152255,0,0,0,0,0,0,0,0,0.0276525158148951,0,0,0,0,0,0,0,0,0,0.122980408778757,0,0,0.117501045746824,0,0,0
X601988.CH.EQUITY,0.0766041684718161,0,0.17323042545044,0.121475565769118,0,0,0,0,0.124763165147617,0.0983528808214135,0.169006688647829,0,-0.288395527936034,0,0,0,0,0,0.0183858318853656,0,0,-0.0852414413351685,0.259241658307745,0,0,0,0.111020852486743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0322413329828437,0,0,0,0,0.0174593838545407,0,0.000950763448564478
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0342987177937066,0,0,0,0.119873938669167,0,0.163740688502903,0,0.30665787847151,0,0,0,0,0,0,0,0,0,0,0,0,0.109821634195405,0,0,0,0.131077133477798,0,0.0167459541624631,0.00517924757107428,0,0,0,0.0564414586604158,0.0272158993996134,0,0,0,0,0,0.0934746446097228,0,0,0.0899667303717592,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.228207758065335,0,0,0,0,-0.0698444045281911,0,-0.0757296366588907,0,0,0.267033631209552,0.259555779884476,0.141885069938302,0,0,0,0,0,0,0,0.12134774679001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162926725338439,0,0,0,0,0,0
X601628.CH.EQUITY,0.223327537238994,0.14614718774109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0094359672899175,0,0,0,0,0,0,0,0,0,0.204623814503894,0,0,0,-0.00569285030178326,0,0.0400262856443376,0,0,0,0,0,0,0,0,0,0,0,0.0462148656026679,0,-0.016370418310185,0,0.340140711861369,0,0.0478830208339407
X601166.CH.EQUITY,0.141286606634039,0,0,0,0,0.100700583395989,0.297173914145499,0,0,0,0,0,0,0.10143875060878,0,0.441248188559092,0,0,0,0,0,0,0,0,0.133238291942093,0,0,0.00406228731770282,0,0,0,0,6.93889390390723e-18,0.00788173489305132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
