,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X000001.CH.EQUITY,0,0.144706412303085,0,0.214429274266988,0,0,0,0,0,0,0.23040331017188,-0.138704736297462,0,0,0,0,0,0,0,-0.049398579052981,0,0,0,0.228075886161792,0,0,0,0,0,0,0,0,0.0908479718172734,0,0,-0.197509477568298,0.108641114310543,0,0.0178822859768149,0.290029652254821,0,0,0,-0.113948966576669,-0.136557255480364,0,0,0,-0.179054476792607
X002142.CH.EQUITY,0.226912078616995,0,0,0,0,0,0,0.0351677556461324,0.122879102052636,0,0.0181594903607163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301398440320236,0,0,0,0,0,0,0,0,-0.00874716260623412,0,0.270656151053042,0,0,0.011787495527416,0,0,0,0,0,0,0
X600000.CH.EQUITY,0,0,0,0,0.281963350751772,0.139437992072169,0.113448034270179,0,0.0484844992930301,0,0,0,0.191772980574409,0,0,0.00324027687933235,0.0215970931928732,0.030121854263046,0,0,0.0147408816430239,0,0,0,0,0,0,0,-0.180771969608771,0,0,0,0,0,0,0,0,0,0.197767398130503,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18
X600015.CH.EQUITY,0,0,0,0,0.0752518677326762,0,0,0,0,0.401736620035817,0.118475341417923,0,0.0193190438666368,0,0,0,0,0,0.121974416117837,0.0255258700530381,0,0,0,0,0,0,0,0,0,0.034690638656722,0,0,0,0,0,0,0,0,0.0196001671418624,0,0,0,0,0.0154873368489967,0,0,0,0,0
X600016.CH.EQUITY,0,4.33680868994202e-19,0.053722813449882,0.228102036570086,0,0,0,0,0,0,0.130531570901327,0,0.106861866482325,0,0,0,0.225847357238715,0,0,0,0,0,0,0,0,0.0639645188078863,0,0,3.46944695195361e-18,0,0,0.0184777784705574,0,0,0,0,0,0,0,0.254688505996618,0.0497633007513929,0,0,0,0,-0.0681039539797987,0,-0.081203447843996,0.0225912787205535
X600036.CH.EQUITY,0,0.165250876405104,0.00820035679848229,0,0,0,0,0,0,0,0,0.0284866372033708,0,0,0,0,0,0,0,0.034552499228035,0.130474462916253,0,0,0,0,0,0,0,0,0,0,0,0,-0.0752951155803541,0.070625111211193,0,0,0,0.468005467032806,0,0.0922811716530829,0.0343661466041016,0,0,0,0,0,0.144004116523882,0.077318412125514
X600919.CH.EQUITY,0,0.0538167578034454,0.0146328418381168,0,0,0,0,0,0,0.351071383043855,0,0,0,0.120241031195573,0,0,0.363036458671582,0,0,0,0,0,0,-0.0372040446152675,0,0,0,0.0878955637908165,0,0,0,4.33680868994202e-19,0,0.0883210139629505,0,0,0,-0.0922258239645979,0,0,-0.192215199016321,0,0,0,0,0,0,0.10936857383179,0
X601009.CH.EQUITY,0.602931912265902,0,0,0,0,0,0,0,0.0452326996389849,0,0,0,0,0.118679889183685,0.154101369833219,0,0,0,0,0,0,-0.201194466302226,0.105647051596618,0.059461191509071,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.0520733584929071,0,0,0,0.138121934047714,0,0,0,0
X601166.CH.EQUITY,0,0.270991944164088,0,0,0,0,0,0,0,-0.157592513612075,0,0,0,0,0,0.0468532926344926,0.387884704089362,0,0,0,0,0,0,0,0.0160528950693001,0,0,0.0576364205578303,0,0,0,0,0,0,0,0,0,0,0,0,0.216099525934956,0.203281971073808,0.0943400753500213,0,0,0,0,0.245099447224756,0
X601169.CH.EQUITY,0,0,0.169146562058985,0.566017477747848,0,0,0,0,0,0,0,0,0.213804920817844,-0.0285927117478965,0,0,0.201253523412137,0.0329169582659233,0,0,0.0377949925211874,0,0.140669417334597,0,0,0,0,0,0,0,0,0,0,-0.0376840248849237,0,0,0,0,0,0.0275487915982814,0,0,-0.157549370559647,0,0,0,0.0901306715006221,0,0
X601229.CH.EQUITY,0.178148007603651,0.0818724576069642,0,0.153514027988162,0.0862006952731887,0,0.172039993149961,0,0,0,0,0,0,0,0,0.339775502013214,-0.0413619079516157,0,0,0,-0.0877723019153161,0,0,0,0,0,0,0,0.00224711592074953,0,0,0,0,0.0599713906911524,0,0,0,0,0,0,0,0,0,0,0,0,-0.079016196246363,0,0
X601288.CH.EQUITY,0,0.011752368656348,0,0,0,0,0,0,0,0.274609780170101,0,0,0.0857397298154387,0.0815114306524211,0.138484540432297,0,0.109707358372856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538862944620443,0,0,0,0.0789335344208768,0,0.0678802080982265,0,0,0,0.0920356881896137,0,0
X601328.CH.EQUITY,0,0,0.0944513437474999,0,0.0470048262235794,0,0,0,0,0.000228821416445826,0,0,0,0.071678158900178,0,0.0591328318061548,0.425499925200549,0,0,0,0.0883684360121966,0,0,0.0536454581875771,0,0,0,0,0,0,0,0,0.107394756167694,0,0,0,0,0,0,0.123928836416481,0,0,0,0,0,0,0,-0.0179549031976811,0
X601398.CH.EQUITY,0,0,0,0,-6.93889390390723e-18,0,0.173174453360252,0,0,0,0,0,0,0,0,0.352305210929977,0.368162709534561,0,0,0,0,0,0,0,0,0,0,-0.191451037932189,0,0,0,0,0,-0.00800997988028185,0,0.190899869292088,0,0,0,0,0,0,0,0,-0.119703353677549,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0.161920291897527,0,0,0,0,0,0.150653579534396,0,0.000748735964298237,0,0,0,0,0.189154160748661,-0.0270848405720194,0,0,0,0,0,0,0,0,-0.0614012422535482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0185304252081278,0,0,0,0,0,0,0,0,0,0.0145740166247154,0,0.173295856454759,0,0.491699097368075,0,0,0,0,0,0.0478011994276192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0503031789735723,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0
X601988.CH.EQUITY,-0.0164661131034857,0.0896375957450356,0,0,0.125557056792266,0,-0.135311469918101,0,0.20263218378338,0.299379503308131,0,0.226409612773366,0,0.124784574125452,0,0,0,0,0,0,0,0,-0.0103902031945411,-0.10449598494843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292955160904726,0,0,0,0.0997769678469981,0,0,0,0
X601998.CH.EQUITY,0,0,0.0529385667838388,0,0.00739265795385293,0,0,0,0,0.31267387308808,6.93889390390723e-18,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0714415705025397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259807466409124,0.168643216407914,0,0,0,0,0,0,0,-0.043962873539915,0,-0.263806309072243,-0.129420368770914
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.129734915800809,0,0,0.308850928758871,-0.0616984449917819,-0.0735855155928889,0,0,0,0.31401251501165,0.153528109529074,0,0,-0.0909264641754684,0,0,0,0,0,0,0,0,0.0212771586571324,0,0,0,0,0,0,0,0,0,0,0.243876693098925,0,-0.0558514531594944,0,-0.0704113839932907,-0.0738400870320914
X2388.HK.EQUITY,0,0,0,0,0,0,0.127793965463077,0,0,0,0,0.0340871370119867,0,0,0,0,0,0,0.32237422826654,0,0.231784687229017,0,0.0796768841053169,0,0,0,0,1.73472347597681e-18,0,0,0,0.00974609285039254,0,0,0.0997699111165875,0,0,0,0,0,0,0,0,0.224300137042571,0,0,0,0.122650642342936,0
X5.HK.EQUITY,0,-0.057865626359546,0,0,0,0.133392660641311,0,0,0.0332280953677797,0,0,0.0789922169492432,0,0,0,0,0,0.353863498653106,0.0461324332467222,0.513201951212998,0,0.213064995087884,0,0,0,0,0,0,-0.0670490777000206,0,0,0,0,0,0,0,0,-0.181984771831175,-0.213359398916251,-0.0142702481592097,0,0,0,-0.142387617398331,0,0.324273476970524,-0.157200697788665,0,0
X2884.TT.EQUITY,0,0.199354979779893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0319717131227186,0,0,0,0.107081273694491,0,0,0,0.211077247600616,0.132653518175609,0,0,0,0,0,0,0,0.0830770008668058,0,-0.0714001806033945,0.0696612247175559,0,-0.0571685485070114,-0.0696772704761806,0,0,0,0,0,0,0.125897759076218
X2886.TT.EQUITY,-0.131767478287185,0,0,0,0,0.0664423782197569,0.0174192357644411,0,0.0697308916417742,0,0,0,0,-0.213052969075152,0,0,0,0,0,0,0,0,0,0,0.75949501717733,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411088919667058,0,0,0,0,0.0792393503201689,0,0.016884902471609,0.17519032057331,0.194185531781216,0
