,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X1109.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.125240259185707,1.38777878078145e-17,0,0,0,0,0,-0.0802383806213167,0,0,0,0,0,0,0,0,0,0,-0.149520999599977,0.0718774845665406,0,0.56134154135648,-0.178583680096664,0.523743640971079,0,0,0,-0.0889589197764395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109530497973064
X601318.CH.EQUITY,0,0,0,0.00469831827418654,0,0.299207847404588,0,0,0,-0.0684156578472699,0,0,0,0.101919431465307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00341412959896076,0.0612501893422928,0,0,0,0,0.272711857510713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0664386448284288
X601939.CH.EQUITY,0,0.0477428497472159,0,0.795752879985698,0,0,0,0,0,0.0469481600771993,0.030301469132196,0,-0.0276145558053387,0.0207896367525572,0,0,0,0.0833887242401549,0,0,0,0,0.00108182185522807,0,0,0,0.0218902148947555,0,0,0,0.0221559253061832,0,0,0,0,0,0,0.0799705308740165,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.91148811027013,0,-0.0481088182054317,0,0,0,0,0,0,0,0,0,0,0.0179707489007658,0,0,0.137035887245184,0,0,0,0,0,0,0,0.0299413770192942,0.00498491191158566,0,0,0,0,0,0,0,0.0114688292337549,0,0,0,-0.0886688776495765,0,-0.10738529116588,0,0,0,0.0259705639949971,0,0,0,0,-0.0365221256962842,0
X601628.CH.EQUITY,0.0121755323367387,0,0,-3.46944695195361e-18,0,0,0,0,0,0.252642578792564,0,0.169289263771502,0,0,0,0,0,0,0,0.0619633981140368,0,0,0,0,-2.77555756156289e-17,0,-0.0666920952761814,0,0,0,0,0,0,0,0,0,0,0.506936950551918,0,0,0,0,0,0,0,0.0109444315621168,0,0.293397133758546,0,0,0,0.0517115631915824
X600036.CH.EQUITY,0,0,0,0.329163496492911,0,0,0.00603206604008775,-2.16840434497101e-19,0.036973361552812,0,0,0,0,0,0,0,0.172072675249187,0.0120390619606694,0,0.0250919164866267,0,0,0,0,0,0,0.0363600249880804,0,0.170487156939446,0,0.114704168298575,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406049394984754,0,0,0,0.0420036201566513,0,0,0
X601988.CH.EQUITY,0,0,0,0.0686166066256375,-0.0230822755955732,0,0,0,-0.0291619185072239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547560520039959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010228146625664,0,0,0,0.00135482798286825,-0.117027184502377,0,0,0.996639479908809,0,0.0209328268159952
X1299.HK.EQUITY,0,0,0,0,0.119259426597001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294747407089354,0,0,0,0,0,0,0,0,0,0,0.104522474741761,0.324781255692357,0,0,0,0,0,0,0,0,0.0282422992647986,0.0561424166942542,0,0,0,0.0530318833978275,0,0,0,0.126402986588843
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.205812367042818,0,-4.33680868994202e-19,0.0186346120602798,0,0,0,0,0.241126503687654,0.47573664499778,0,0,0,0,0,0,0,0,0,-0.0556894321747377,0.0462476410466085,0,0,0,0,0.0330410883363498,0.0351747721076615,0,0,-0.129706871915923,0,0,0.143131463149091,-0.0390788559637778
X388.HK.EQUITY,0,0,0,0,0.162700610660785,0,0,0.216253859028823,0,0,0,0,0.0242257213151518,0,0.0346983580819229,0,0,0,0,0,0,0.297081998206455,0,0,0.132095562615893,0,-0.0826294133276707,0,0,0,0,0,0,0.0845705244130439,0,0,0,0,0,0,0,-0.0233137355118479,0,0,0,0,0,0,-0.18280871598656,0,-0.0428150831434846,0.303158873446877
X601658.CH.Equity,0,0.152404320330065,0.0803337514640981,0.176206952990022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0617869132117491,-0.013226242853084,0,0,0,0,0,0,0,0.160788904407644,0,0,0,0,0,0,0,0,-0.141568077749467,0,0,0,0.715972924710156,-0.0575347848680537,0,-0.226971525789154,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0.0317350734585968,0,0,-0.0216965542880907,-0.0711383981589907,0.0907753576424713,0.0450438576260203,0,0.337698768738962,0,0.0453328255498364,0,0,0.0327765187752477,0,0,-0.0170614101677609,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0558309888607502,0,0,0,0,0,0,0.224885069114006,0.111812704257154,0,0,0.0910336358052827,0,0,0,0.160068619891976,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.130547001722166,0,0,0.132149961889023,0,0,0,0.822372599964102,0,0,0.021923003161325,0,0,0,0,-0.000344374125615818,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0727229372665218,0,0,0,0,0,0,0,0,0,0.118602374204646,0,0,0,0,0,0,0,0.0180588296848311,-0.011448711617005,0,-0.0297026814899181,0
X601166.CH.EQUITY,0,0,0,0,0,0.112180183498859,0.361406871976383,0.0013752997349673,0,0,0.0475701975267148,0,0,0,0,0,0.0453194369502344,0,0,0,0,0,0.0745323772785877,0,0,0,0,0,0,0,0,0.0879471114031649,0,0,0.0136924948088121,0,0,0.0383966254897029,0.0271698972891289,0,0,0,0,0,0,0,0,-0.0434633432418067,0,0.256891493466724,0,0
X000002.CH.EQUITY,0,0,0.0197433193299998,0.198432082419606,-0.0470960359524561,0,0,0,0,0.0118425302726158,0,0,0.159710840655358,0.103968362474426,0,0,0,0,0,0,0,0.0163978905337289,0,0,0,0,0,-0.0645364338630784,-0.0353376830313385,0,0,0,0,0,-0.114149799325393,0.115574660229247,0,0,0,0,0,0,0,0.280655430526535,0,0,0,0,0,0,0,0
