,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X2007.HK.EQUITY,X002142.CH.EQUITY,X688.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0,0,0.418617093368254,0,0,0,0.0542861911006971,0,0,0,0,0,0,0,0,0,0,0.0127163780533515,0,0,0,0,0,0,0,0,0,0,-0.0126431802681811,0,0,0,0,0,0,0,0.231382455577143,0,0,0,0,0,0,0,0,0,0.0103579713426486,0.0304392708170839,0.239467749335638,-0.0181807251520087
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.12416902124546,0,0,0,0,0.0126773036583273,0,0,0,0,0.313917799842603,0,0.255863533547885,0.0349425830075302,0,0,0,0,0.0391387795604419,0.201427201882094,0,0,0,0,0,0,0,0.0217219256677944,0,0,0,0,0,0,0,0,0,0.0214163363416939,0,0.0430806908158473,0,0,0
X601939.CH.EQUITY,0,0,0,0.279701838430776,0,0,0,0,0,-0.0135832414150704,0.0840863915060988,0,0,0,0,0,0,0,0,0.0400832113470402,0,-0.25375279292324,0.028038335062604,0.574325856244993,0,0.122822597308334,-0.158231592911715,0.103677149948326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837523197684138,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.236758432041779,0,0.0606633423492142,0,0,0,-0.037714738958808,0.226155997228925,0,0,0,-0.063274743473185,0,0,0,0.168630771977706,0,0.082620184794761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194805691562004,0,0,0.0850818025515197,0,0.0582072260555359
X600036.CH.EQUITY,0,0.194775124800608,0,0,0,0.0391112659296089,0.118825660931984,0.0840669962380442,0,0,0,0,0,0.199180904969729,0.0508294210774067,0,0,0,0,0,0,0,0.0696681702192899,0,0,0,0,0,0.322844385787616,0.0447794626283787,0,0.0110412887079775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0764296717323956,0,0,-6.93889390390723e-18,0.00887819341821245,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0.147728536213387,0,0,0,0.126205127729725,0,0,0,0,-0.0395626609127072,0,-0.117102508750237,0,0,0,0.165026878628587,0,0.0752716892780524,0,0,0.568568822057092,0,0,-0.0475135120514358,0,0.0835602180324444,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.25540147938259,0,0,0,-0.0361049647559516,0,0,0,0,0,0,0,0,0,0,0.087303157203873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086806305441418,0.183646129655963,0.10097833039049,0,0,0,0,0,0.0704074459691412,0.119151437200367,0,0.0583852936701189
X601988.CH.EQUITY,0.0629402979892234,0,0.0237001092759422,0.13693874203823,0.267037043502063,0,0,0,0,0,0,0,0,0.109477883371824,0,0.245422503431453,0,0,0,0,0,0,-0.0399645332199687,0,0,0,0,0.14527963550272,0,0.0620338839700707,0,0,-0.123460913361882,0,0,0.154252949492423,0,0,0,-0.0912335259832827,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0283591261178749,0,0,0,0,0,0.0437164689212205,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.141884422418073,0,0.0124449569753106,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.000398631452693619,0.474206439480984,0,0,0.260797732170062,0,0.19420496578882,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.0260527601754673,0,0.0760283477129758,0,0,0,-0.0106226531671045,-0.0704592479717961,0,0,0,0,0,0,0,0,0,0.431979239001705,0,0,0,0,0.277407701621092,0,-0.0313379869539735,0,0,0,0,0,0,0,0,0,0.323375126183543,0,0,0,0.0216497818157319,0.0925055404763174,0,0,0,0,0,0,0
