,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X2882.TT.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X300059.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600015.CH.EQUITY,X000776.CH.EQUITY,macro_return_add
X601398.CH.EQUITY,0,0.35611466103005,0.0702645775879492,0.0743507518065941,0.052045704780847,0,0,0,0,0,0.240835317309181,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,-0.0280338803429035,0.0291084928311437,0,0,0,0,0.00604837943278492,0,0,0,0,0,0,0,0,0,0,0,0,-0.00669729770228519,0,0,0.0416206639323699,0,0,0,0,0.184952405650228
X601939.CH.EQUITY,0.40627181597516,0,0,0.164708559729838,0,0,-0.168903262823562,0,3.46944695195361e-18,0,0.0145341240277564,0,0,0.195615070829557,-0.062496289510038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268330977181601,0,-0.0762274944553551
X601318.CH.EQUITY,0,0,0,0,0.214937257617206,0,0,0,0,0,0,0,0,0,0.0306320295441872,0,0,0,0,0,0,0.18563015233329,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.260105584053946,0,0,0,0,0.220642153396673,0,0,0,0,0,0,0.105108921114502,0
X601288.CH.EQUITY,0.350463293308222,0,0,0,0.244831679399325,0,0,0,0,0,0,0,0,0.144370513753468,0,0,0,0,0,0.0721116611281297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123237679185115,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,1.73472347597681e-18,0.00252826979511345,0
X601988.CH.EQUITY,0,0,0.0583599404733707,0.562288566517201,0,0,0,0,0,0.233347225553948,0,0,0,0,6.93889390390723e-18,0.29888868058097,0,0.0476356354983941,0,0,0.0190607349001498,0,0,0,0,0,0.0682004784217917,0,0,0,0,0,0,0,0,0,-0.556516648242749,0,0,0,0,0,0,0,0,0,-0.0974162470473468,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0081431697343337,0,0,0,0.388292458653524,0,0,0,0,0,0.0876751759540191,0,8.67361737988404e-19,0,0,0,0.00733564703975734,0,0,0,0,0,0.11813030564726,0.0614191865654678,0,0.0696959260811907,0,0,0,0,0,0,0,0.149848755439473,0,0,0,0,0.0717142517473398,0,0.0245146210879013,0,0,0
X1299.HK.EQUITY,0.0910982192671467,0,0,0,0,0,0,0,0.191394556715764,0,0,0,0,0.0784305586686866,0,0,0,0,0,0,0,0,0.00879096459469287,0,0,0,0,0.260356182519185,0,0,0,0.0385060910672318,0,0,0,0.126868010169588,0,0,0,0,0,0,0.0104644074126632,0,0.0237242609358481,0.0840870271321192,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,-0.121191438492797,0,0,-0.115412381153112,0,0,0,0,-0.106909542630323,0.284313331392589,0,0,0,0,0.639724640100053,0,0,0,0,0,0,0,0,0,0.345167349130646,0,0,0,0,0,-0.146166440709146,0,0,0,0,0,0.0161313214141471
X601628.CH.EQUITY,0.0540224963398089,0,0.0269525384976768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161368728920598,0,0,0,0.169866238544465,0,0,0,-4.33680868994202e-19,0,0.13262690520406,0,0,0,0,0,0,0,0,0,0,0,0,0.0982264561424769,0,0.0925723154758876,0,0,0,0,0.0354267775146392,0,0,0.0861818129735887
X601658.CH.Equity,0,0,0,0.180060750091123,0.0807230962793559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,1.73472347597681e-18,0,0,0,0.295849183259155,0,0,0,0,0,0,0,0,0,0,0.147393297735417,0,0,0,0,0,0,0,0,0,0.320954941184548,0,0
