,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity
X601398.CH.EQUITY,0,0.0323983197952447,0,0,0,0.395001049152062,0,0,0,0,0,0,0,0,0,0,-0.11519438609908,0,0,0,2.77555756156289e-17,0,0,0,0,0,0.231352962986593,0,0,0.16030891016928,0,0,0,-0.0518016372766773,0.27014376840261,0,0,0,0,0,0,0,0,0,0,0.097274987723686,-0.165426165312627,0,0,0.052198052959727
X601939.CH.EQUITY,0.199888198653899,0,0,0.356625861898395,0,0,0,0,0,0,0,0.0640585278478135,0,0.18374724787807,0,0,0,-0.117586490117512,0,0,0,0.0562467366602241,0,0,0,0.207474352694797,0,0,0,0,-0.113438016712455,0,0,0,0,0,0,0,0,0,0,0,0,-0.0152136856923752,0,0,0,3.46944695195361e-18,0,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0
X601288.CH.EQUITY,0,0.632059072687081,0,0,0.160298913891041,0,0,0,0,0,0.0134977122418138,0,0,0.0166113296057266,0,0,0,0,0,0,0,0.122975872035769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113382770604846,0,0,0,0,0,-0.0428091767902139
X601988.CH.EQUITY,0.135835447420627,0.116042485304071,0,0.211609572934218,0,0,0,0,0,0.311258843955797,0,0,0,0,0,0.220629963883562,0,0.129267554152514,0,0,0.0570645701840628,0,0,0,0,0,0,0.138006793823538,0,0,0,0,0,0,0,0,0,0,-0.584407673350118,0,0,0,0,0,0,0,0,0,0,0.0552776133196967
X600036.CH.EQUITY,0,0.205903803897054,0,0,0,0,0,0,0.154228402569768,0,0,0,0.137534418653276,0,0,0,0,0,0,0,0,0,0.0855129893305869,0,0,0,0,0,0,0,0,-0.0124421798318482,0.00382976316766219,0,0.306062257264256,0,0,0,0,0,0.0582713478678116,0,0,0,0,0,0.018925295619635,0,0.065905902409396,-0.020962693232532
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.121530021836278,0,0,0,0,-0.166118062456002,0,0,0,0,0,0.00946966630758136,0,0,0,0,0,0.0488525809155617,0.372040341302388,0,0,0,0,0.0619438672317196,0,0,0,0,0,0.0495590937763093,0.0790945003650495,0,0,0,0,0,0.0486200745367703,0,0,0,0,0,0.0630709883542085,0.21030652616605,0
X601658.CH.Equity,0,0.0718821404907074,0,0.100887662076358,0.039605420959492,0,0,0,0,0,-0.0322236292052513,0,0,0,0,0,0,0,0,0.267321968228509,0.188593803798989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289461331688794,0,0.095940011124053,0,-0.134113811647475,0,0,-0.0791404553121783,0,0,0,0,0,0
