,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X823.HK.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X300059.CH.EQUITY,X2891.TT.EQUITY
X601398.CH.EQUITY,0,0.111067650868657,0,0.0506137100593024,0,0,0,-0.0758129173276797,0,0,0,0.482552767571757,0,0,0,-0.0723952700026682,0,0,0,0,0,0,0,0,0,0,0,0,0.0567686415699292,0,0,0,0,0,0,0,0.0897166430282435,0,0,0,0,0,0.21874501286608,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0799157698077063,0,0.139778266785379,0,0,0.118140008446507,0,0.0902302828551236,0,0,-0.103924339526811,0.0974440588900187,0.0184560690546912,0,0,0,0,0,-0.0788865483042439,0,0,0,0,0,0,0,0,0,0,0,0,0.180680525787742,0,0,0,0,-0.232370497099376,0,0.354732320134412,0.188075283030656,0.154210350130631,0,0,0,0,0,0.210953136061165
X601939.CH.EQUITY,0.32870661611648,0,0,0.292473621353498,0,0.0892517886979758,0,-0.047535631319928,0,0,0,0,0,0,0.136763208993526,0.0323169741474692,0,0,0,0,0,0,0,0.0719078229713968,0,0,0,0,0,0,0,-0.0111868444216576,0,0,0,0,-0.108555952154593,0,0,0.333887444420944,0,0,0,0,0,0,-0.0403668524181458,0,0,0.0117984365869691
X601288.CH.EQUITY,0.371813580987463,0,0.124091233442969,0,0,0.235336800478724,0,0,0.111769138816718,0,0,0,0,0,0,0,0.0645970918380807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110266843538574,0,0,0,0,0,0,0,0,0.177054286443309,0
X5.HK.EQUITY,0,0,0.0436489378351498,0.246167157010981,0,0.113713953965711,0,-0.401205487145335,0,0,0,0,0.100728553585464,0,0,0,0,-0.0126130256725771,0,0,0.408901366893621,0,0,0,0,0.515497600012535,0,0,0,0,0.0183643677542845,0,0,0.111301952874734,0,0,0,0,0,0,0,0,0,0,-0.216409122189957,0.0199594328977208,0.118905327448593,0,0,0
X601988.CH.EQUITY,0.190268915059321,0,0.216677368574948,6.93889390390723e-18,0,0,0,0,0.150367195605535,0,0.0704111573443113,0.187695019555923,0,-0.292371067076786,0,0,0,0,0,0,0,0,0,0.180366500405052,0,0,0,0.0926811366577928,0,0,-0.0460747314258817,0,0,0,0,0,0.045617954212147,0,0,0,0,0,0,0.0506968193137796,0.0377493055081308,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0983156777595299,0,0,0.248997157350389,0,-0.0409687582077524,0.00909054622659072,0,0.294404312020911,0,0.261387398663612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969354893493193,0,0.00931994160562812,0.0893422949061138,0,0,0,0.122148744511958,0,0.0145487803313035,0,0,0,0,0,0,-3.46944695195361e-18,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.0761422712796448,0,0,0,0.118907667274069,0,0,0,-0.148233021435469,0.0449105981142776,0,0,0.362322460799832,0,0.249921930877259,-0.0175761213178425,0,0,0,0,0,0.054939461655509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.243585669615268,0.25178365891443,0,0,0.121806968229426,0,0,0,0,0.032243565883501,0,0,0,0,0,0.0351405720007549,0,0.0676543050488543,0,0,-0.164627377729911,0,0,0,0,0,0,0.191099161185695,0,0,-0.278984714111582,0,0,0,0,0,-0.10816593102703,0,0,0,0,0,0.0383670321724759,0,-0.0895368910153482,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0703911473954567,0,0,0,0,0,0,0,0.32445163374845,0,0,0,0,0,0,4.33680868994202e-19,-0.0613780683864314,0,0,0,0,0,0.0183758808435584,0,0,0,-0.194506574376917,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0265827394930675,0,0,0,0.447801021795628,0,0,0,0,0,0,0,8.67361737988404e-19,0.247133833805411,0,0,0,0,0,0,0,0,0,0,0,0,0.0484461887782821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177314764145737,0.00864050225752325,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0.00825171854279708,0,0,0,0,0,0,0.544613428800708,0,0,0,0,0,0,0,0,0.195192525955613,0,0,0,0,0,0,0.0568195395490213,0,0,0,0.0555146641016586,0,0,0,0,0,0,0.100309190888325,0,0,0,0.0397286511200903,0,0,0,0,0,-0.0148857414574511
