,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601229.CH.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X17.HK.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0,0,0,0,0,0.0131262972263328,0,0,0,-0.0775311051506507,0.238207691091968,0,0,0,0,0,0,0,0.40478495787996,0,-0.185882387146624,0,0,0,0,0,-0.136370173104557,0,0,0,0,0,0,0,0,0,0.771664539809971,0,0,-0.0574169347789726,0,0,0,0,0,0,-0.00694163415930556
X601318.CH.EQUITY,0,0,0,0,0,0,0.215355446938233,0.0499353855156312,0.204373424525553,0,0,0,0,0,0,0,0.108989972183221,0,0.1414437734353,0.069743878140504,0.0413698866575221,0,0,0,0,0,0,0.0220074965127994,0,0,0,0,0,0.0726304925462569,0,0,0,0,0.0589779046537514,0,0.130421887923264,0.0307810753042814,0,0,0.0837796255039548,0,0,0,0
X601939.CH.EQUITY,0.369739871470582,0,0,0,-0.0651180797775077,0,0,0,0,0,0,0,0,-0.040444250830818,0,0,0,0.0502582093013973,0,0,0,0,0.148102022810969,0,0,0,-0.378000463493297,0,0,0,0,0,-0.00214483842748541,0,-0.0583327488394556,0,0,0,0,0,0.66466192742888,0,0,0,-0.0354264090299048,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,-0.133518134735698,0,0,-0.0360286085616325,0.0665131678955475,0,0.36575911336065,0,0,0.330246035582087,-0.0712264614113285,0,0,0,0,0,-0.115759880956413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0307674723647922,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.14697555380016,0,0.213116974409737,0,0,0.113424956817005,0,-0.00367750285818684,0.21457766607711,0,0,0,0.0738762593469076,0,0,0,0,0,0,0,0,0.0216363801790529,-0.168529931860954,0,0,0,0,0,0,0,0,0,0.129650240377847,0.097102921471856,0,0,0,0,0,0,-0.0966402614824063,0,0,0.154727139823752
X601988.CH.EQUITY,0,0,0,-0.0570885424764024,0.383816480820029,0,0,0,0,0,0,0,0,0.0415379471430991,0.0184498485329609,0,0,0.0297287915563123,0,0,-0.173694626822204,0,0,0,0.304478635585906,0,0,0,0,0,0,-0.35845521150053,0,0,0,0,0,0,0,0,0,0,0,0,0.0313029358576472,0.11587171524976,0,0,0
X600036.CH.EQUITY,0,0.268807386496286,-0.0797147996621459,0,0,0,0,0,0,0.384754517451808,0,0.0627178604948687,0,0,0.0715110030316619,0,0,0,0,0,0.287447994505389,0,0,0,0,0,0,0,0.14816508512368,0,0,0,0,-0.146880482342248,0,0,-0.157429926127899,0,-0.0212557277444577,0,0,0,0,0.280179124706416,0,-0.0617458117368801,0,0,0
X1299.HK.EQUITY,0,0.0948392092338528,0.0045374218529789,0,0.366126142708559,0,0,0,0,0,0,0,0,0,0,0,0,0.0500932320967279,0.0773579102658784,0,0,0,0,0,0,0,0.147492122135756,0.0290889122063644,-0.104005779171632,0.0466161208826768,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178167655225534,-0.117007668612211,0,0,0.130967589644791,-0.011050396280361
X601628.CH.EQUITY,0,0.0844949250926263,0.0279068232501288,0.0798576235797407,0,0,0,0,0,0,0,-0.0690904905349463,0,0,-0.00306978972471428,0,0.325284205316786,0,0,0.0248819154757478,0,0,0,0,0.10865446998837,0,0,0,0,0,0,0,0,0,0.196733891082882,0.0514057211249096,0,0,0,0,0,0.204760787153972,0,0,0.0869650181602892,0,0,0,0
X601328.CH.EQUITY,0,0,0,0,0,0,0.694427662260593,0,0,0,0,0,0,0,0,0.0883381966420783,0,0.0234061139218025,0,0,0.180518283469333,0,0,0,0,0,0.119428525269256,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.0808957424518938,0,0,0,0.0290327479546929,0,0,0,-0.237981034206478,0,0,0
