,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY
X601398.CH.EQUITY,0,0,0.14784645184359,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.241472893909169,0,0,0,0,0.462614209560115,0,0,-0.103399536015403,0,0,0,0,0,0,0,0,0,-0.13343768839381,0.0409020582293696,0,0.517117248789472,0,0,0,0,-0.0140484366759466,0,0,-0.0359287366772834
X601318.CH.EQUITY,0,0,0,0,0,0,0.1561609123969,0,0.244955697599118,0,0,0,0,0,0,0,0,0.280374022376156,0.0767095405151565,0,0.038241120236841,0,0,0,0,0.0752848930673088,0,0,0,0,0,0,0,0,0,0.0826520188590687,0,0,0,0,0.0290089633364759,0,0,0,0.0127972866886025,0,0,0.0449210628748953,0
X601939.CH.EQUITY,0,0,0,0.553262302516038,0.020549890395591,0,0,0,0,0.327833683583488,0,0,0,0,0,0,0,0,0,0,0.107584135273581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00615575858804231,0,0.143064371216339,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0,0,0,0,-0.387694003132262,0,0.0468566095881533,0,0.975044776483142,0,6.93889390390723e-18,0,0,-0.10197061715906,0,0,0,-0.307306477671297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0412907925861569,0,0.174869889098677,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0.145679537005309,0.398079974473583,0,0,0,-3.46944695195361e-18,0,0,0,0,0.083839142905834,0,0,0,0,0,0.0609613077692338,0,0,0,0.00624608772402056,0.0631051140623778,-0.192242431258573,0,0,0,0,0,0,0,0,0.0575380533212513,0,0,0,0.255918850426708,0,0,0,0,0,-0.160271493619478,0,0.0874992622362799
X601988.CH.EQUITY,0,0,0.148379114802297,0,0.207373520462263,0,0,0,0,0.0225458778568406,0,0,0,0,0.0856508643681373,0,0,0,0,0,-0.181651158800717,0,0,0,0.144241222236613,0,0,0,0,0,-0.0735514072537573,0,0.1769580291619,-6.93889390390723e-18,0,0,0,-0.00232717661462721,0,0.0734346736267094,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.228028194974101,0,0,0,0,0,0,0,0,0,0,0,0.192811938924556,0,0,0,0,0,0,0,0,0.0353358157761989,0,0.0349436348885689,-0.116868183510262,0.0876878466824483,0.053936136700839,0,8.67361737988404e-19,0,0,0,0.535533322852561,0,0,0,0,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0.0214656629460567,0,0,0,0,0,0,0,0,0.442029187719528,-0.0273333000310875,0.1429760152827,0.10888180513137,0,0,0,0,0,0,0.0474293803477588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164105895614964,0,-0.0895922426800713,0.312704620117303,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.100392778794035,0,0.0102223434756925,-0.0939924164022899,0,0,0,0,0,0,0.0340606836765293,0,0,0,0,0,0.192750422399924,0,0,0,0,0,0,0,0,0,0.0240169421074304,0,0,0,0,0,0,0,0.433143646258032,0,0,0,0,0,0.201702523117956,0.0843886537560187,0,0.0731894001951555,0,-0.0238643842079782,0,0
X601328.CH.EQUITY,0,0,0.148310271976661,0,-0.0850542669113957,0,0,0.40647869970554,0,0,0,-0.0141036366103158,0,0.468763416642038,0,0,0,0,0,0,0.0809645766432169,0.10481258513789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0801776260565817,-0.206242484369081,0,0,0,0,0,0,-0.0087253713752739,0,0,0,0
