,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY
X601398.CH.EQUITY,0,0.0178443217546456,0,0.00611783645798112,0,0,0,0,0,0,0,0.466476811007504,0,0,0,-0.0967632335943422,0,0,0,0,0,0,0,0,0,0,0,0,0.0504027185283714,0,0,0,0,0,0.0621718353922412,0,0,0.0893657335883895,0,0,0,0,0.209516757441077,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0154066784694317,0,0.0165324002688344,0,0,0.112997958422847,0,0.180503872801375,0,0,-0.0572881061591086,0.203688050468571,0.0568250764623422,0,0,0,0,0,0,-0.139267944387926,0,0,0,0,0,0,0,0,0,0,0,0.186175930710714,0,0,0,0,-0.287137338248238,0.384384184014439,0,0.259640251131047,0,0.238252381603818,0,0,0,0,0
X601939.CH.EQUITY,0.111977495349215,0,0,0.290654415164093,0,0.22558774756742,0,-0.0426602366770436,0,0,0.0460692939595282,0,0,0,0.113572939034891,0,0,0,0,0,0,0,0.0803713526335718,0,0,-0.0060696102237154,0,0,0,0,0,0,0,0,0,0,0,-0.11647207487319,0,0.384084055069243,0,-0.0510736903943564,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.218745631492574,0,0.301572356584701,0,0.144051356536007,0.312271483067232,0,0,0,-0.0874628541590928,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.123463537920408,0,0,0,-0.187752305765412,0,0,-0.039059431146624,0,0,0,0,0,0,0,-0.036308729367958,0,0,-0.0267936049383485,0,0.129299209894982,-0.0518537149878947,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0.0379735961059486,0.207097571749612,0,0.145185045168947,0,-0.359511685845264,0,0,0,0,0.065327669222807,0,0,0,0,0,0,0,0,0.38811076101709,0,0,0,0.453099884542613,0,0,0,0,0,0,0.0710305317524823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18629265324366,-0.0894913182741777,0
X601988.CH.EQUITY,0.223587708788976,0.0849479295773187,0.327272483220605,0,0,0,0,0,0.116280087597757,0,0,0.145493571176721,0,-0.225195437303922,0,0,0,-0.110893430361042,0,0,0,0,0,0.143274774212463,0.0805941608862376,0,0,0.133249729263815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323440185169851,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0794334240207824,-0.0311389784532443,0,0.0682746934149694,0,-0.0370763881505052,0.0313957979334056,0,0.339350294238305,0,0.251238614644725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441683072330123,0.0109826114467423,0,0.0634115729699968,0,0,0,0.0843157406245336,0,0,0.156721782297428,0,0,0,0,0,0,0.0674908487766581,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0718764737884971,0,0,-0.0225506671711374,0,0.0286401465303476,0,0,0,0.312752244314524,0,0.126978613436557,0,0,0,0,0,0.151993482864208,0,0,0,0,0,0,0,0,0,0.0419422555228684,0,0,0,0,0.101668398598112,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.102300883945202,0.241681491508848,0,0,0.105924100164368,0,0,0,0,0,0,-0.0059194577010411,0,0,0,0,0,0.0786494947498364,0,0,0,-0.180643557243847,0,0,0,0,0,0.206735585129536,0,0.0345368101581897,-0.304472301558007,0,0,0,0.0499825901632139,-0.0383849190256813,0,-0.112366455932861,0,0,0,0,0.120732679941294,0,0,0,0.0183795536076395,0.0414601992261277,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.154077139672497,0,0,0,0,0,0,0,0,0.216759506300017,0,0,0,0,0,0.10750905895277,0,0,0,0,-0.025934973579851,0.295099012340948,0,0,0,-0.162013781110336,0,0,0,0,0.0541890468035443,0,-0.0406913251280581,0,-0.169768807240674
