,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY
X601398.CH.EQUITY,0,0,0,0.129046785080244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10942020879344,0,0.501030094497028,0.390509695186291,0.0378680722822711,-0.216538614845954,0,0,0.170361066325017,0,-0.0766936764483891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187267628638878,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.27001197798308,0,0,0,-0.0850793903188808,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.191659000242713,0.0390786716724826,0.00955572302593036,0,0,0,0.227806312891966,0,0.158683298466785,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.83923193614099,0,0,0,0,0,0.0163953838163967,0,0,-0.0558569225642549,0,0,0,0.0383731499967032,0.129398516718622,4.33680868994202e-19,0,0,0.0026558180096774,0,0,0,0,0.0312137835832314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716285457613437,0,0,0.00658101017399134
X601288.CH.EQUITY,0,0,0.919670884526104,0,-0.117168267909621,0,0,0,0,0,0,0,0,0,0,0.0259529750640539,0,0,0.127685884099296,0,0.0534241876898935,0,0,0,-0.0775884918552214,0.0249230492318573,0.0438564263832019,0,0,0,0,0,0.0126545946604929,0,0,0,0,0,0.00106758391361579,0,-0.0673491111483547,0,0,0,0,0,1.0842021724855e-19,0,0,0
X601628.CH.EQUITY,0.0141525103119693,0,0,3.46944695195361e-18,0,0,0,0,0,0.24198057107957,0,0.229425521920667,0,0,0,0,0,0,0,0.0906735937640632,0,0,0,0,0,0,-0.129429630722976,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.478648070339935,0,0,0,0,0,0,0,0.0127789703876139,0.300972432076796,0,0,0
X600036.CH.EQUITY,0,0,0,0.327154211334962,0,0,0,0,0.0665159456066542,0,0,0,0,0,0,0,0.14948902186389,0.134032011641856,0,0,0,0,0,0,0,0,0,0,0.126443799515585,0.147856588647783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532581224574315,0,-0.0113107129290318,0,0.0068504104200824,0
X601988.CH.EQUITY,0,0,0,0.00285302614334693,-0.136623789188694,0.0795699182439238,0,0.0507728981734143,0,0,0,-0.0218398551992224,0,0,0,-0.00093482190808867,0,0,0,0,-0.0422746156449459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108783715570468,0,0,0,0,0,0,0,0,1.05214748942316
X1299.HK.EQUITY,0,0,0,0,0.142264014426413,0,0,0,0,0,0,0,0.0300071421679403,0,0,0,0,0,0,0,0,0,0,-0.115247789419176,0.130008420538129,0,0,0.0717667845350743,0,0,0.173584550760108,0.3343119319303,0,0,0,0,0,0,0,0,0,0,0.140971279032202,0,0,0,0.0763613310176494,0,0.00035589134950259,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603317149739789,0,0,-0.3039607250759,0,0,0,0,0,0,0,0.187419843574466,0.535347626467752,0,0,0,0,0,0,0,0,0,0,0.0720926587254121,0,-0.144168701531892,0,-0.0191457425531061,0,0.149321939795568,0,-0.161090312193591,0,0.101509629252503,0
X388.HK.EQUITY,0,0,0,0,0.254570989441819,0,0,0.0283936866300474,0.0496482309147222,0,0,0,0,0,0,0,0,-0.25255703766162,0,0,0.166145889095978,0,0,0,0.447270882977853,0.197783428639263,0,0,0,0,0.11676756993238,0,0,0,0,0,0,0,0,0,0,-0.0413709116019485,0,0,0,0,0,0,-0.14731017320254,0
