,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X300059.CH.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X002736.CH.EQUITY,X000776.CH.EQUITY,X600606.CH.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.125974173026863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3984782700884,0.311154808716557,0.00943195468274955,0,0,0,-0.086006887140241,0,0,0.273940378542242,0,0,0,-0.272271165539369,0,0,0,0,0,0,0.0183128610198881,0,0,0,0,0,-0.268300966683856,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.210204862716517,0,0,0,-0.00911836672484308,0,0,0,0,0,0,0,0,0.0427624430898068,0,0,0,0,0,0,0,0,0.0578337018921393,0,0.0397916475824555,0,0,0,0,0,0,0,0.23356083390616,0,0,0,0,0,0,0,0,0.0929325777365678,0,0,0.343098786811713,0,0
X601939.CH.EQUITY,0,0.0567363485882929,0,0.809717121599404,0,0,0,0,0,0,0,0,-0.0311901661035356,0,0,0.0153392708600852,0.119306119589287,0,0.0219888526030887,0,0,0,0,0,0,0,0.0317250295432349,0,0,0,0,0.0276702536025289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0167102314115188,0,0,0
X601288.CH.EQUITY,0.015926300561676,0,0.92140874342183,0,-0.094894816172935,0,0,0,0,0,0,0,0,0,0,0.039199565804018,0,0,0.134658030037201,0,0,0,0,0,0,0,0.0243266211838889,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469348030465994,0,0,0,0,0,-2.16840434497101e-19,0,0,-0.0356330364112766,0,-0.05084574741374,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.10763234939267,0,0.402136704322534,0.0838471517084705,0,0,0,0,0,0,0,0,0.0462383280938845,-0.0782518331285036,0,0,0,0,0.0336027747606255,0,0,0,0,0,0,0.106151348114468,-0.2012535231955,0,0.319699043701464,0,0,0,0,0,0,0.145232400988858,0.267431215234788,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.408792768371138,0,0,0,0,0,0.0248230589317195,-0.00639779235403669,0,0,0,0,0,0,0.106788623665462,0,0,0.00488779333019886,0.012687406228952,0,0,0,0,0,0.191709763980057,0,0,0,0,0.123094184835063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,3.46944695195361e-18,3.46944695195361e-18,-0.059309610192981,0.145642678205973,0,0,0,0,-0.0522901113278079,-0.0760306847405658,0,0,0,0,0,0,0,0,-0.00414792985021209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109076232616807,0,0,0,0,0,0,0,0,-0.0482431342659199,1.0677575672204,0.0150683218283399,0
X1299.HK.EQUITY,0,0,0,0,0.172029181321749,0,0,0,0,0.239246951898029,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217689634323824,0.031304619017756,0,0.383350638421116,0.217283882682344,0,0.118577157731774,0.143090008702947,0,0,0,0,0,0,0.0713819875902671,0,0,0.0824899144786457,0,0,-0.100467035514848,8.67361737988404e-19,0,0,0,0,0,0.102538952952056,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0424140086709274,0,0,0,0,0,0,0,0,0,0.371254005101734,0.337563771057905,0,0,0,0,0,0,0,-0.151280485711901,0,0,0,0.010156597035806,0,0,0,0,0.0114439673677071,0,-0.0877567145908184,0,0,0.257830515971445,0,0.155217559336318,0
X388.HK.EQUITY,0,0,0,0,0.310511951749591,0,0,0,0,0,0,0,0,0,0,0,0,-0.236654905663639,0,0,0,0,0,0,0.461621109666702,0,0,0,0,0,0.0050730802725867,0,0,0,0,-0.020453672226682,0,0,0,0,0,-0.0744089962438981,-0.119397135355673,-0.025569297951836,0.0267206136101673,0.263545122762443,0,0,0,0,-0.126148008582345,0
X601658.CH.Equity,0,0,0.000496370496297829,0.231852883292826,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.289465621310829,0,-0.0651623675363767,0,0,0,-0.0456382495631292,0,0,0,0,0,0.0623942123693867,0,0,0,0,0,0,0,-0.0312584346528845,0,0.296649145187324,0,0,0,0,0,0,0,0,0,0,-0.00693723525667088
X600030.CH.EQUITY,0,0,0,0,0.0293696885409364,0,0,-0.022870675020422,-0.016492482644433,0.086552818871134,0,0,0.233460128661427,0,0,0.00841326704458048,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.033181093778416,0,0,0,0,0,0,0.0610119127909306,0.214322394314181,0,0,0,0,0,0,0.0697531506952175,0.125235778570666,0,0,0.0518290873805802,0.275180783133719,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.701594312954152,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334546117826155,0,0,0,0.0834284796636401,0,0,0,-0.00235512127136859,0,0,0,0,0,0.0703053161786843,0,0,0,0.0280697326074999,0,0,0.0337486095208602,0,0,-0.0183388802797056,0,-0.059546256924532,0
