,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X1113.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X000776.CH.EQUITY,X601229.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X1997.HK.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0.253189672708146,0.0647605372133744,0,0,0,0.342219749005206,0,0,0,0.130561290828884,0,0,0,0.0262862213613488,0,0,0,0,0,0,0,0.119844191542807,0,0.00358846495618575,-0.0118861597463604,0,0,0,0.0349445974002406,0,0,0,0,0,0,0.118742618556109,0,0,0,0,0,0,0,0,0,0,0,-0.00946484783518392,0,0
X601318.CH.EQUITY,0,0,0.298159287410563,0,0,0,0,0,0.0783613450704255,0,-6.93889390390723e-18,0,0.00308036825966794,0,0.21489903703964,0,0,0,0,0,0.0214546332178883,0,0,0,0,0,0,0,0.0817314261869888,0,0,0,0,0,0,0.0706508832673959,0,0,0,0,0.0875597643061354,0,0,0,0.0405047203974261,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.410030212657542,0.271117160898952,0,0,0,0,0,0.396734423884758,0,0,0,0,0,0,0,0,0,0,0,-0.0979525151794349,0,0,0.0249872818447328,0,0,0,0,0,0.0907235366326219,-0.0130122895092247,0,0,0.0160845136402486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157056554354982,0
X600036.CH.EQUITY,0,0.0784757654161452,0,0,0,0.14398763093853,0,0,0.0158466354525684,0,0,-0.0559271316547082,0.150766028876141,0,0,0.159356001166362,0,0.18741168302884,0,0,0,0,0.350103661001045,0,0,0,0.0286938517754355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103825685138954,-0.0532962198309512
X601288.CH.EQUITY,0,0,0,0,0,0,0.0164955639430318,0.495228926304781,0,-0.0831719285948132,0,0.0934618606557631,0,0,0,0,0,0.0216683369280501,0,0,0,0,0,0.12292897569169,0.0638230336822077,0,0,0,0.0881578166071749,0,0,0,0.0407135351211511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0481456713021702,0,0.0117369037585393,0,0
X1299.HK.EQUITY,0,0,-0.0476109246429848,0,0,0,0,0,0,0.110371033791348,0,0,0,0,0,0,0,0,0,0,0,0.0369007802813691,0,0,0.133124359529907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136491063119131,0,0.0792050754889178,0.232292925034655,0,0.155186068821397,0,0,0,0,0.238588896519183,0,0
X601628.CH.EQUITY,0.0422177486106514,0,0,0,0,0.0371558998987888,0,0,0,0,0,0,0,0,0,-0.199236073227148,0,0,0,0.262759270788653,0,0,0,0,0,-0.111265451623935,0,0,0,0,0,0,0,0,0.613619927448277,0,0,0.00410437657586852,0,0,0,0,0,0,0,0,0,0,0,0,0.0648480897030991,0
X601988.CH.EQUITY,0,0,0.0527241518776536,-3.46944695195361e-18,0.522247099054577,0,0,0,0,0.0529866234241507,0,0,0.167664816909788,0,0,0,0.0582091285132584,0,0.0728257317360597,0,0,0,0,0,0.107179205411118,0,0,0.0304972609707636,0,0.0473414756222932,0,0,0,0,0,0,0.0599637032305183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0.169320275773691,0.0682759833632585,0,0,0,0,0,0,-0.106555590360415,0,0,0,0,0,0,0,0,0,-0.0986501252800064,0,0,0,0,0.0654490330674828,0,0.111297472368582,0,0,0,0,0,0.077844044844842,0,-0.0476582553364321,0,0,0,0,0,0,0.261042601663356,0,0,0.036491299824331,0,0,0.16834179106857,0,0,0.0963637094014753,0
X388.HK.EQUITY,0,0,0,-0.142701098902338,0,0.337389249110819,0,0,0,0,0,0,0,0,-0.0938487207952797,0,0,0,0,0.443001721140376,0,-0.156556018390854,0,0,0,0,0,0,0,0,0.089883814748884,0,-0.104406816600931,0,0,0,0,0,0.13979086680234,0,0.0331219281970124,0,0,0,0,0,0,0.0305420223439029,0,0,0.166926066952361,0
