,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X300059.CH.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X823.HK.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.137608508996881,0,0,0,0,0,0,0,0,0,0,-0.0977228578337658,0.434742760488687,0,0.688273164786972,0,0.0393145858996453,0,-0.12770816626722,0,0,-0.0822680012284451,0,0.103754738731417,0,0,0,0,-0.135509492862539,0,-0.339562841929113,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,6.93889390390723e-18,-3.46944695195361e-18,0,0.113159715463555,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307966576571845,0,0,0,0,0,0,0,0,0,0.114201108257151,0,0,0,0,0,0,0.472241469097796,0,0,0,0,0,0,0,0,0,0.0916500297893055,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.794836736707528,0.0150440186935827,0.0319228982714259,0.00945000819759296,0,0,0,0,0,0,0,0,0,0,0,0.0387051328451017,0,0,0,0,0,0,0,0,0,0,0,0,0.086411606113358,0.0325512544650186,0,0,0,0,0,0,0,0,-0.00496923100513857,0,0,0.0441246961344306,0,0,0.0402024052862283,0,0,0,0
X601288.CH.EQUITY,0,0,0.920376963997558,0,0,0,-0.0678122398844734,0,0,0,0,0,0,0,0,0,0,0.116127661042589,0,0,0,0,0,0,0,-0.014801004705357,0.0589102300342935,0,0,0,0,0,0,0,0,0,0,-0.103995378826931,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0483978403473866,0
X601988.CH.EQUITY,0.0538002136614203,0,0,0,0,0,0,0,0,0,0,0,1.25367347774411,0,0,0,0,0,0,-0.22066130242981,0,0,0,0,0,0,0.0642876472241607,0,-0.11984555542051,0,0,0,-0.130216376354455,0,0,-0.200126302420289,0,0,0,0,0,0.00903922703770105,0,0.0231998643124423,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0.377509200421671,0,0,0,0,0,0.00173229977386684,-4.33680868994202e-19,0,0,0,0,0,0.14145686386915,0,0,0,0.0068831873302298,0,0,0,0,0,0,0.194232819515959,0,0.0164337255948236,0,0,0,0.188126925025752,0,0,0,0,0,0,0,0,0,0,0.0311821527892882,0,0,0,0,0,0,0,0.0135567895053342
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.915294656638593,0,0,0,0,0,0,0,0,0,0,0.101120563996224,0,0,0,0,0,0,0,-0.113478276478467,0,0,0,0,0,0.0798176239815427,0,0,-0.0832855788040544,0,-0.0584782699744272,0,0,-2.71050543121376e-20,0.0165209104440945,0,0.0366589618938946,0,0,0.059146105207309,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.385384799920971,0.089195670978147,0,0.0206654457704929,0,0,0,0,0,0,0,0,0.0136033060849344,0,0,-0.210920768900357,0,0,0,0,0.0195157830878758,0,0.206070505049551,0,0,0.153458598872955,0,0,0,0,0,0,0,0,0,0,0,0.419800421707848,0,0.0183647720704294,0,0.0345735015375502,0.138511639487777,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.115993072096731,0,0,0,0,0,0,0,0.195032854882415,0,0,0,0,0,0,0.203976039041503,0,0,0.204412039116697,0,0.184713801585405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173426080530411,0,0,0,0,0,0,0,0,0.123874768433022,0.259077660002242
X388.HK.EQUITY,0,0,0,0,0,0,0.242519601452603,0.0250294613265403,0,0,0,0,0,0,0,0,0,0,-0.256083933650201,0,0,0,0,0,0,0.410480288887183,0,0.0189051192687121,0,0.0605617677608714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224257523769958,0.0120327608421036,0,0.077620100264562,0,-0.230029694031771,-0.0588187555660836,0
