,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN210SLOPE
X601398.CH.EQUITY,0,0.0324059144065903,0,0,0,0.394980046326626,0,0,0,0,0,0,0,0,0,0,-0.11519705028104,0,0,0,0,0,0,0,0,0,0.231351168336833,-3.46944695195361e-18,0,0.160309279577296,0,0,0,-0.0517943905248929,0.270155331774993,0,0,0,0,0,0,0,0,0,0,0.0972788526940798,-0.165419039117069,0,0,0.0521962572647287,0,0
X601939.CH.EQUITY,0.190785132433526,0,0,0.344746341023424,0,0,0,0,0,0,0,0.0345511374142788,0,0.21349517892881,0,0,0,-0.120210277958805,0,0,0,0.058796669854533,0,0,0,0.222441248075696,0,0,0,0,-0.105769823683457,0,0,0,0,0,0,0,0,0,0,0,0,-0.00389425467254755,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0
X601288.CH.EQUITY,0,0.632097527562007,0,0,0.160251945405924,0,0,0,0,0,0.0134872478090012,0,0,0.0166287116691061,0,0,0,0,0,0,0,0.122963619373635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113506823756247,0,0,0,0,0,-0.0428050624847338,0,0
X601988.CH.EQUITY,0.0191369271944569,0,0,0.32975202158371,0,0,0,0,0,0.350743562149906,0,0,0,0,0,0.0438087344391797,0,0.232119049955545,0,0,0.105793908452547,1.35525271560688e-20,0,0,0,0,0,0.0753161282208382,0,0,0,0,0,0,0,0,0,0,-0.524104269113129,0,0,0,0,0.0382773972975599,0,0,0,0,0,0,0,-0.259808998977177
X600036.CH.EQUITY,0,0.205886115948394,0,0,0,0,0,0,0.154211361930423,0,0,0,0.137540857469521,0,0,0,0,0,0,0,0,0,0.0855078839355958,0,0,0,0,0,0,0,0,-0.0124515526476958,0.00384158416300188,0,0.306064650261643,0,0,0,0,0,0.0582825019077847,0,0,0,0,0,0.0189241414457421,0,0.0659141751407726,-0.0209654412984664,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.344578147759265,0,0,0,0,-0.0942869874030303,0,0,0,0,0,0,0,0,0,0,0,0,0.373068713006141,0,0,0,0,0.0565380380881642,0,0,0,0,0,0,0,0,0,0,0,0.0243363377451258,0.00463834347349216,0,0,0,0,0,0,0,0,0.170881550350813,-0.0781971119149445
X601658.CH.Equity,0,0.0718859313571282,0,0.100885180297523,0.0396070026702151,0,0,0,0,0,-0.0322260798902111,0,0,0,0,0,0,0,0,0.267325869981617,0.188588803306352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289455080767966,0,0.0959422559570252,0,-0.134111475981016,0,0,-0.0791366358214044,0,0,0,1.0842021724855e-19,0,0,0,0
