,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601398.CH.EQUITY,0,0,0,0.129050859864428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109418361080386,0,0.501028559713847,0.390496534693928,0.0378676242380542,-0.216541963235296,0,0,0.170359406365232,0,-0.0766844969994983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187859850331324,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.240940899384986,0,0,0,-0.0853774312152305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.19885155895409,0.0271443267688932,0.0136433560603364,0,0,0,0.218770306321371,0,0.182017756321004,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0
X601939.CH.EQUITY,0,-4.33680868994202e-19,0,0.83923264351108,0,0,0,0,0,0.0163958027155535,0,0,-0.0558584464615575,0,0,0,0.0383700703210253,0.129400927194372,0,0,0,0.00265689336391357,0,0,0,0,0.0312116023711824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0716316177232674,0,0,0.00658215531968617,0,0
X601288.CH.EQUITY,0,0,0.952465182067874,0,-0.0657523047539336,0,0,0,0,0,0,0,0,0,0,0.058256178684419,0,0,0,0,0,0,0,0,0,0,0.0536416156331875,0,0,0,0,0,0,0,0,0.0249267263040008,0,0,0.0216138863227746,0,-0.0752699109932045,0,0,0,0,0,-0.00101883959395042,0,0,0,-0.094562700880429,-0.0417053944064743
X601628.CH.EQUITY,0.017266917832878,0,0,3.46944695195361e-18,0,0,0,0,0,0.246095919231425,0,0.234272334189469,0,0,0,0,0,0,0,0.122764572636296,0,0,0,0,0,0,-0.107239623187651,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.413590798644077,0,0,0,0,0,0,0,0,0.301796704596254,0,0,0,0,0.0151587444377965
X600036.CH.EQUITY,0,0,0,0.327154211334962,0,0,0,0,0.0665159456066542,0,0,0,0,0,0,0,0.14948902186389,0.134032011641856,0,0,0,0,0,0,0,0,0,0,0.126443799515585,0.147856588647783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532581224574315,0,-0.0113107129290318,0,0.0068504104200824,0,0,0
X601988.CH.EQUITY,0,0,0,0.00455435112738999,-0.138082944973339,0.0764109111779039,0,0.0506343434808322,0,0,0,-0.0201925905731544,0,0,0,0,0,0,0,0,-0.0422915005575524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108052550600943,0,0,0,0,0,0,0,0,1.05176010152895,0,0.0019109593486033
X1299.HK.EQUITY,0,0,0,0,0.142262664011542,0,0,0,0,0,0,0,0.0300067557317289,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,-0.115248227169331,0.130008269062667,0,0,0.0717666197442776,0,0,0.173585396165103,0.33431259560219,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.140971688040577,0,0,0,0.076360680431706,0,0.000356354203191071,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144259333794457,0,0,-0.196557225793836,0,0,0,0,0,0.0242233615917257,-0.0197788385741166,0.223744753410313,0.484006634140315,0,0,0,0,0,0,0,0,0,-0.0671081295921982,0.0601168044962137,0,0,0,0,6.93889390390723e-18,0.0574411090870561,0,-0.167045785061332,0,0.0630849768427688,0,0.120397823383144,0
X388.HK.EQUITY,0,0,0,0,0.266861396118825,0,0,0,0.122273605906542,0,0,0,0,0,0.0161239358069157,0,0,-0.428254295485223,0,0,0,0,0,0,0.53776140474694,0.222996729450275,0,0,0,0,0.122417272888533,0.0174683856018081,0,0,0,0,0,0,0,0,0,-0.0235055467748233,0,0,0,0.0746102961377413,0,0,-0.0875144912397724,0,0,0
