,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0.0479731633434082,0,0.29466978961395,0,0.188349355180747,0,0,-0.0475896171224156,0,0,0,0,0,0,0.0201489478348943,0,0,0,0,0.0679016591148746,0,0,0,0,0,0,0,0,-0.00833108244071706,-0.0282855945907066,0.0786104667113242,0,0,0,0,0,0.0684581501088746,0,0,0,0,0,0,0,0,0.230017564147939,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.133337295062924,0,0,0.0581398179165725,0,0.0908822080599971,0,0,0,0,0.180830075043714,0.226294755959761,0,0,0,0,0,0,0,0,0,0,0,0.0809264560038993,0.031419395315675,0,0,0,0,0.0598552228791723,0,0,0,0,0,0.00199990292387351,0,0,0,0,0,0,0.0775855441016182,0
X601939.CH.EQUITY,0,0,0,0,0.183167928126976,0,0.189008621210697,0,0,0,0,0.184299644218345,0,0,0.0519566408750013,0,0,0,0,0,0.0530403370427373,0,0.55233824013664,0,-0.210426246377778,-0.0779195013614478,0,0,0,0,0.134788943212167,0,0,0,0,0,0,-0.056120935406547,0,-0.0420770943384848,0,0,0,0,0,0,0,0,0,0,0,0.0370380664728031
X601628.CH.EQUITY,0.137995696426796,0,0,0,0,0.087105288255045,0,0,0,0,0,0,0,0,0,0,0,0.161954405345031,0,0,0,0.00191321034387281,0,0,0.155448420361446,-0.0997273978344636,0,0,0.131817833564629,0,0,0,0.138395182636633,0,0.380959811330065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734890911653417,-0.1608096659103
X601288.CH.EQUITY,0.234016692907586,0,0.0728938657738601,0,0,0,0.0954867646905923,-0.0432072123828657,0,0,-0.0370224529738764,0,0,0,-0.0519491657768387,0.218517483549671,0,0.0608728480235051,0,0,0,0,0.133595516322452,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.109143216970503,0,0,0,0,0.0138179775054004,0,0.188483693666548,0,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0.18761845425621,0,0.0692694947135122,0,0,0.100615915299479,0,0,0,0,0,0,0.213152773071414,0,0,0,0,0,0,0,0,0,0.321767557094277,0,0,0.025789468553248,0,0,0,0.0844160626224313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00189899342619962,0
X601988.CH.EQUITY,0,0,0,0,0,0.323765495747673,0,0,0,0,0,0,0,0,0,0.476666134448592,0,0,0,0,0.00691596330050472,0,0,0,0,0,0,0,0,0,0.0210680000846941,0.137300994949529,0,0,-0.0843865207785651,0,0,0.0324281259168106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.326737256961953,0,0,0,0,0,0,0.0811614538175729,0,0,0,-0.0131711117224418,0,0,0,0,0,0.0536810623357593,0.101323198286663,0,0,0,0,0,0,0,0,0,0.05767526424107,0,0,0.131055302569032,0.108417919255096,0,0,-0.0539013264635736,0,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00511531041415173,0,0,0.075582646384096,0,0,0,0,0.573440399154973,0,0.0171176183718744,0.0973103960510866,0,0,0,0,0,0,0,0,0.0260853563564237,0,0,0.193102146676354,-0.0621077854759469,0.16243676130344,0,0,0,0.115697912081195,0,0,0.133754285381581,0,0
X388.HK.EQUITY,0,0,0,-0.171396133752929,0,0,0,0.0458392490927539,0,0,0,0,0,0.0747043306226897,0,0,-0.116855766049503,0,0,0,0,0,0,0,0.497615866801155,0.156776849570625,0.0159352931767069,0.0505158633753302,0,0,0.28185081662421,0,0,0,0.478307033426283,0,0,0,0.0089971587981908,0,0.0949294797119857,0,0,0,-0.344403549157193,0,0,0,0,0,0,0
