,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0,0,0,0.124186555184436,0,0,0,0,-0.0229394340543595,0,0,0,0,0,0,0,0,0,0,-0.0679725663903922,0,-0.0524515770203335,0.5635138935665,-0.215119433775361,0,0,0,0,0.399725610689996,0,0,0,-0.0787790972208924,0,0,0,0,0,0,0,0,0,0.0942766080144121,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0563861149857786,0,0,0.0923573746378634,0,0,0.166516063767325,0,0,0.0885676807177691,0.285697968720046,0,0,0,0,0,0.00080204518558826,0,0,0,0,0.125204229179439,0,0,0,0.123546114266015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0713838319303259,0
X601939.CH.EQUITY,0,0,0,0,0.771028459936384,0,0,0,0,0,0.101300661372177,0,0,0,0,0.110353482867086,0,0,0,0,0,0,0,0,0.0101755912137465,0,0,0.0661393518567523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575487659355036
X601628.CH.EQUITY,0,0.111832256722927,0,0,0,0,0,0,-0.0362369615667272,0.272694560436039,0,0.252758825692834,0,0,0,0,0,0,0.286129406758732,0,0,0,0,0,0.01002270384624,0,0,-0.124698998633521,0,0,0,0,0,0,0.167064287014002,0,0,0,0,0,0,0,0,0,0,0.125233965529475,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.871785584776975,-0.0201770486580522,0,0,0,-0.0385153738554011,0,0,0,0,0,0,0,0,0.0175886806998165,0,0,0.0451553834300517,0,0,0,0.200164194402198,0,0,0.0643405838537626,0,0,0,-0.0163707597595582,0,0,0,0,0,0,0,-0.10115831649589,0,0,-0.14643496121036,0,0,0,0.0510781742436812,0,0,0,0,0,-0.00177422882472513
X600036.CH.EQUITY,0,0,0,0,0.331727778884653,0,0,0,0.0752318015356129,0,0,0,0,0,0.00797428591637986,0.0586424063957567,0,0.113384900127394,0,0,0,0,0,0,0,0.151708026522272,0.127531081327363,0.0386820759977972,0,0,0,0,0,0,0,0,0.0095794982046036,0,0,0,0,0,0,0,0.0363238411707519,0,0,0,0,0.0450594738582082,0,0
X601988.CH.EQUITY,0,0,0,0,0.025185067698478,0.014039516659576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257209165799332,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409330588763526,0,0,0,0.031339752959778,-0.0850144630669907,0,1.01252839622449,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0.0994135146222922,0.246629932846046,0,0,0,0,0,0,0,0,0,0,0,0,0.279808047203256,-0.0197794741878707,0,0,0,0,0.0572753011899115,0,0,0,0,0,0,0,0.086628900186423,0.0289675573227536,0,0,0,0,0.0854143471570428,0.0607218711145847,0,0,0,0.194468578554892,0,0,0,-0.0764635173007112
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278733912953576,0,0.0649779134037499,0.329134536939594,0.241955371926749,0.016321596619449,0,0,0,0,0,0,0,0,0.0109476885071491,0,-0.0543995189425328,0,0.389385494363968,0.181988929454914,0,0,-0.278491990641879,0,0.0072233796214001,0,0.0594190311889921
X388.HK.EQUITY,0,0,0,0.189493829773278,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0157813787208914,0,0,0,0.25634165683994,0,0.267064432192213,0,0.128101188736343,0,0,-0.056531670076066,-8.67361737988404e-19,0,0,-0.0109724539504052,0,0,0,0,0.0890166630586693,0,0,0,0,-0.0237554117520726,0,-0.15842573714694,0,0,0,0,0,0,0.311556572248955,0
