,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.0193158223117869,0,0.16486322610467,0,0,0.11045489424811,0,0.246172041339589,0,0,0,0,-1.38777878078145e-17,0.189957721201459,0,0,0,0,0,0,0,0,0,0,0,0,0.0424157475086686,0,0.137895934702834,0,0,0,0,0,0,0.028885392247963,0,0,0,0,0,0,0,0,0,0,0.0491162238814794,0,0.00614973638700147,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0
X601939.CH.EQUITY,0.269217461647512,0,0,0,0,0,0,0,0,0,0,0,0,0.413716110963476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191903916056588,0,0,0.108131337584888,0,0,0.00678343428051586,0,0,0,0,0.00386047794432907,0,0,0,0,0
X601288.CH.EQUITY,0.352858482239149,0,0,0,0,0.499103263841461,0.00609024879355428,0,0,0,0,0.0101140831837387,0,0,0.0387809763914079,0,0,0,0,0,0,-0.0328452006836411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194809298383838,0,0,0,0,0.090072591963067,0,0,0.00900635520062117,0,0
X5.HK.EQUITY,0,0,-0.0727696867250845,0,0,0,0,0.170798927962841,0,0,0,0,0.168002835290379,0,0,0,0,0,0,0,0,0,0.569800311793944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12793536591302,0,0,0,0,0,0,0,0,0,0,0,-0.188567871252736,6.93889390390723e-18,-0.0911012207992852
X601988.CH.EQUITY,0,0.0659531430354406,0,0,0,0,0,0,0.0804469300489964,0,0,0,0,0.011766369938455,0,0,0,0.219512144195053,0.127626911462708,0,0,0,0,0.298467534861674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138636454798929,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.0818993285446638,0,0,0,0.282130709649048,0,0,0,0,0.190722156427792,0,0,0,0,0,0,0,0,0,0,0.0643405665048558,0,0.177037210821405,0,0.124811199945691,0,0,0,0.0061248299535297,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0643115046550387,0,0.0169845352495211
X1299.HK.EQUITY,0,0,0,0,0,0,0.138197593306104,0,0,0,0,0,0,0,0.375927369575835,0,0,0,0.178683755880601,0.225346763801151,0,0,0,0,0,0.0107624761284598,0,0,0.278205765138861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497797549886627,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217432742042726,-0.181192060452708,0,0,0,0,0,0,0,0,-0.382929013023206,0.732842013840106,0,0,0,0,-0.395699663783342,0.434640142544055,0,0,0,-0.268328755547576
