,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,CN2YR,CN210SLOPE
X601398.CH.EQUITY,0,0.017838456890079,0,0.00611674746413274,0,0,0,0,0,0,0,0.466478900219081,0,0,0,-0.096765505920804,0,0,0,0,0,0,0,0,0,0,0,0,0.0504003327365368,0,0,0,0,0,0.0621763825949276,0,0,0.0893607444230216,0,0,0,0,0.209524665733712,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,-0.0154066784694318,0,0.0165324002688345,0,0,0.112997958422847,0,0.180503872801376,0,-3.46944695195361e-18,-0.0572881061591087,0.203688050468571,0.0568250764623422,0,0,0,0,0,0,-0.139267944387926,0,0,0,0,0,0,0,0,0,0,0,0.186175930710714,0,0,0,0,-0.287137338248238,0.384384184014439,0,0.259640251131047,0,0.238252381603818,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.112007707946172,0,0,0.290635987710395,0,0.225599819632977,0,-0.0426565961800761,0,0,0.0460824452400202,0,0,0,0.11357026086427,0,0,0,0,0,0,0,0.0803467406956429,0,0,-0.00606627197630274,0,0,0,0,0,0,0,0,0,0,0,-0.116479868377769,0,0.384080939218665,0,-0.0510825731570988,0,0,0,0,0,0,0,0,0,0
X601288.CH.EQUITY,0.265231060312716,0,0.227928951688597,0,0.129893002340269,0.283195675263324,0,0,0,-0.16383138253104,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0.0857082657913837,-1.73472347597681e-18,0,0,-0.177072294556609,0,0,-0.020553603508078,0,0,0,0,0,0,0,0,0,0,0,0,0.154034867134569,0,0,0,0,0,0,0,0,0,0,0,-0.00156492006584571
X5.HK.EQUITY,0,0,0.0379733705791939,0.207097569023777,0,0.145185528730051,0,-0.359511240438481,0,0,0,0,0.0653273476394481,0,0,0,0,0,0,0,0,0.388110756882796,0,0,0,0.453100047379513,0,0,0,0,0,0,0.0710316907537849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186292592729886,-0.089491740899393,0,0,0
X601988.CH.EQUITY,0.223598028312224,0.0849475734467819,0.327276218714843,0,0,0,0,0,0.11626471997213,0,0,0.145498782300941,0,-0.225199908631631,0,0,0,-0.110904507466292,0,0,0,0,0,0.143274003067348,0.0805909237301416,0,0,0.133257631504238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323474703281836,0,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0.0794334240207827,-0.0311389784532444,0,0.0682746934149697,0,-0.0370763881505053,0.0313957979334056,0,0.339350294238305,0,0.251238614644725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441683072330123,0.0109826114467423,0,0.0634115729699969,0,0,0,0.0843157406245337,0,0,0.156721782297428,0,0,0,0,0,0,0.0674908487766579,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0718752098063099,0,0,-0.0225485600098914,0,0.0286363307692802,0,0,0,0.312754689495557,0,0.126978726196402,0,0,0,0,0,0.151993696499539,0,0,0,0,0,0,0,0,0,0.0419381051438546,0,0,0,0,0.101670122306672,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0.0524544269525624,0.36707006650335,0,0,0.188522018691287,0,0,0,0,0.0775853823760991,0,-0.186653499446561,0,0,0,0.0420466277651299,0,0.0601616411848432,0,0,0,-0.122307052460045,0,0,0,0,0,0.105648135002855,0,0,-0.00508248901488553,0.0409527171183297,0,0,0,0,0,-0.122292325556569,0,0,0,0,0.0466837749950604,0,0,0,0.0877688924654828,0.219145132686047,0,0,0.0908052164761139,0.147364414691244
X601658.CH.Equity,0,0,0,0,0,0,-0.271719834806043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.571821096183018,0,0,0.25420262060045,0,0,0,0,0,0,0.0823676541557925,-0.346449306556696,0.237581186036578,0,0,0,0,0,0,0,0,0,0,-0.0286068624063125,0,-0.180123099205237,0,-0.512365067301967
X601166.CH.EQUITY,0,0,0.116155785399102,0,0,0,0.380036724642494,0,0,0,0,0,0,0,0.0418291844443508,1.0842021724855e-19,0,0,0,0.0969666466310375,-0.00247360134640059,0,0,0.0813169351727509,0,0,0,0,0.222920655823415,0,0,0,0,0,0,0,0,0,0,0,0,0.15938709223935,0,0,0,0.0323929708282517,0,0,0,0,0.0706986855114855,0
X601328.CH.EQUITY,0,0,-8.67361737988404e-19,0,0,0.0366816467386917,0,0,0,0,0,0,0.571205923914741,0,0,0,0,0,0,0,0,0,0.216857335730784,0,0,0,0,0,0.0200825384623791,0,0,0,0,0.0260701641716646,0,0,0,0,0,0.114032773985148,0,0,0,0,0.0108645800499244,0,0,0,0,0,0,0.00865140425788223
X600000.CH.EQUITY,0,0.0473699672211653,0,0,0,0,0.291153425927376,-0.0425086667730404,0.0230589497419794,0,0,0.303513469348528,0,0,0.126165627100111,0,0,0,0,0,0,0,0,-0.115609244196939,0,0,0,0,0.000686547282591193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134786869669541,0.0701957216202664,0.0587588162653289,0,0,0,0,0.0323167386684144
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0475384332020099,0,0.00288525065401421,0.0759077336751297,0,0,0,0,0,0,0,0,0,0.511634354584796,0,0,0,0,0.125448139932204,0,0,0,0,0.00869557930699441,0.0977126400860963,0.0744371410212847,0,0,0,0,0,0,0,0.0454838766033034,-0.144113602036598
X000001.CH.EQUITY,0,0.0461173857714361,0.0480881826605185,0,0,0,0.172758849074611,0,0,0,0.172477195855827,0,0,0,0,0,0,0,0,0.131832022602589,0,0.00339321915272749,0,0.0686792002691008,0,0,0.155155568361437,0,0,0,0,0,0,-0.141704460950343,0,0,0,-0.187590408421316,0,0,0,0,0,0,0,0,0.21855928143838,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0.292076259019175,-0.012144550212606,0.270594043790769,0,0,0,0,0,0,0.0169747168146054,0,0,0,0,0,0.231309681416872,0,0,0.00393278363896902,0.174523122007102,0,0.251745919373056,0,0,0,0,0,0,0,0,0,0.0919088878929889,0,0,0,0,0,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0.22682013014212,0,0,0,0,0,-0.0359745408165129,0,0,0,0,0,0,0,0.0947266738873038,0,0,0,0,0,0,0,0.297917787508989,0.0341882307632327,0,0,0,0,0.233683705923948,0,0.336365330042555,-0.0217623057837991,0,0,0,0,0,0,0.033146343644892,0,0,0,0,0,0,0,0,0,0.108876643289918
X688.HK.EQUITY,0,0,0,0.0716772588572776,0,-0.106200519226592,0,0,0.0922963261623425,0,0,0,0,0.294714281087372,0,0,0.371175420263755,0,0,0.162901164787524,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,-0.338579834547713,0,0,0,0.395741679553375,0,0,0,0,0,0,0,0,0,0.0587311923870742
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588719046264876,0,0,-0.191229837001004,0,0,0,0,0,0,0,0,0,0.033273995498293,0,0,0,0,0,0,0,-0.146031041696173,0.229262891046204,0,0,0,0,0.315905436472103,0,-0.0374693612773276,-1.38777878078145e-17,0.146207301326421,0,0,0,0,0.147124415402328,0.0327059679195885,0
X388.HK.EQUITY,0,0,0.126388658269114,0.170409094628666,0,0,0,0.277904558986614,0,0,0,0,0,0,0,0.0314676280679138,0,0.0422664854402756,0,0,0,0,0,0,0,0,0,0.21971615185039,0,0,0,0,0,0,0,0.033615383579982,0,0,0,0,0,0,0,0,0,0,0,0.0582114778731386,0,0,0,-0.0152196005976591
