,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.127213500722383,0,0,0,0.119500026522023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441198324954094,0,0,0.0759317048369353,0,0,0,-0.0794041376353919,0.239136628851453,0,0,0,0,0,0,0,0,0,0,0.126020193771469,-0.184383861860698,0,0.139403727615497,0,0,-0.149288316507047
X601939.CH.EQUITY,0.183645300260299,0,0,0.328609435502508,0,0,0,0,0,0,0,0.024107664598821,0,0.232093107101002,0,0,0,-0.120676990138027,0,0,0,0.0597560559876648,0,0,0,0.22918007505462,0,0,0,0,-0.0960237178777658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552205219207763
X601318.CH.EQUITY,0,0,0,0,0.286642364673909,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0501755964319226,0,0.0471959156875145,0,0,0,0,0,0.107928791770413,0,0,0,0.075789047507011,0,0,0.0899353837398105,0,0,0,0,0,0,0,0,0,0,0,0.118454292448483,0,0,0,0,0.138307662593622,0,0,0,0,0
X601288.CH.EQUITY,0,0.632076543509956,0,0,0.160281245107119,0,0,0,0,0,0.0134704027553775,0,0,0.0166186386640416,0,0,0,0,0,0,0,0.122987037526117,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,-0.0113526723129012,0,0,0,0,0,-0.0428051293123909,0,0
X601988.CH.EQUITY,0,0,0,0.390816909090998,0,0,0,0,0,0.248164042154408,0,0,0,0,0,0.319994138161863,0,0,0,0,0.158140136946041,0,0,0,0,0,0,0.0514657112643963,0,0,0,0,0,0,0,0,0,0,-0.486399792509428,0,0,0,0,0.173560062316147,0,0,0,0,0,0,0,0.274472035889147
X600036.CH.EQUITY,0,0.205906761066754,0,0,0,0,0,0,0.154259745161439,0,0,0,0.137537711529028,0,0,0,0,0,0,0,0,0,0.0854901263569505,0,0,0,0,0,0,0,0,-0.0124382886271469,0.00381108160311945,0,0.306089826815595,0,0,0,0,0,0.058246085098092,0,0,0,0,0,0.018963063053741,0,0.065900816658822,-0.0209784826995186,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.051452495322614,0,0,0,0,0,0.168917904824946,0,0.0290203606694066,0.0583424943661151,0,0.29316854585601,0,0,0,0,0,0,0,0.03362605205014,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.332588727741937,0,0,0,0,0.000416622219335538,0,0,0,0,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131945833566393,0,-0.137287193629815,0,0,0,-0.00960429052742347,0,0,-0.39282724577844,0.794277669733181,0,0.577407973778385,0,0,0.188426911731799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110724099095874,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.382755462596577,0,0,0,0,-0.0771970076111053,0,0,0,0,0,0,0,0,0,0,0,0,0.216600948825848,0.0485656163854906,0,0,0,0,0,0,0,0.0195695978605852,0,0,0,0,0,0,0,0,0.0167846133667553,0,0,0,0,0,0,0,0,0.189971752624769,0.0920437282048392
X601658.CH.Equity,0,0.0718894444629737,0,0.100887827387872,0.0396024659828667,0,0,0,0,0,-0.0322250120986077,0,0,0,0,0,0,0,0,0.267329194582082,0.188583799870782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289452850780462,0,0.0959401837764269,0,-0.134107802983582,0,0,-0.0791352750809831,0,0,0,0,0,0,0,0
