,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X002142.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600999.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X600015.CH.EQUITY,X300059.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0.0193171616909857,0,0.164867464830592,0,0,0.110450677320347,0,0.246172295674097,0,0,0,0,0,0.189957873862845,0,0,0,0,0,0,0,0,0,0,0,0,0.0424226169281695,0,0.137892642051918,0,0,0,0,0,0,0.0288732307919537,0,0,0,0,0,0,0,0,0,0,0.0491270158732341,0,0.00614938328907408,0,0
X601318.CH.EQUITY,0.127350944533941,0,0,0,0,0,0,0,0.309005465599155,0,0,0,0,0,0,0,0.3080092400798,0,0.0389564668032924,0,0,0,0,0,0,0,0,0.00858772634245771,0,0.0151623298476519,-0.0962278912497448,0,0,0,0,0.0605408304828891,0,0,0,0,0.128768510454342,0,0,0.0695532935110432,0,0,0.0201956017186752,0,0,0.0411397325203518,0,0
X601939.CH.EQUITY,0.269218271225973,0,0,0,0,0,0,0,0,0,0,0,0,0.413713129461741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191906883820043,0,0,0.108131712547511,0,0,0.00678310571478231,0,0,0,0,0.00386073521385703,0,0,0,0,0
X601288.CH.EQUITY,0.352858790771899,0,0,0,0,0.499089068920889,0.00604743724240455,0,0,0,0,0.0101307314602022,0,0,0.0387968482814603,0,0,0,0,0,0,-0.0328382858142424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194888890982862,0,0,0,0,0.0900804296000308,0,0,0.00900841982540549,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0.0532279331831048,0,0,0,0,0.239341390352877,0,0,0,0,0,0,0,0,0,0.535987281063572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103995627143653,0,0,0,0,0,0,0,0,0,0,0,-0.178436862645597,0,-0.0566906661115378
X601988.CH.EQUITY,0,0.0659577033635964,0,0,0,0,0,0,0.0804523865314498,0,0,0,0,0.0117605359574096,0,0,0,0.219520673628413,0.127634451905355,0,0,0,0,0.298487067512708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138602343721777,0,0,0,0,0,0
X600036.CH.EQUITY,0,0,0,0,0,0,0,0.138265334063388,0,0.0105550445473184,0,0.302254011879475,0,0,0,0,0.145948796235521,0,0,0,0,0,0,0,0,0,0,0.0740950089063743,0,0.111698637558869,0,0.120579095677514,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0658893784223391,0.0674774561971443,0,0
X1299.HK.EQUITY,0,0,0,0,0,0,0.138191790711595,0,0,0,0,0,0,0,0.375931138625213,0,0,0,0.178681378500321,0.225336914983631,0,0,0,0,0,0.0107755761282713,0,0,0.278205736518045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497716747934037,0,0,0,0,0
X601628.CH.EQUITY,0.389599500493037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124214001961409,0.110024555218977,0,0,0,0,0,0.142415660923954,0,-0.0222459600994796,0,0,0,0,0.216679727103981,0,0,0.129658704276759,0,-0.0279303457834958,0,0,0,0,0.0495832819200952,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,-0.303495765117691,0,0,0,0,0,0.205215122477805,0,0,-0.240720438290957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600822635143586,-0.0975874666294798,0,0,0,0,0,-0.0270365369795715,0,0,0,0.749721802357139,0,0,0,0,-0.0866125701333379,0.621602725714171,0,0,0,0
