,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X601229.CH.EQUITY,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,FXI.US.EQUITY,CN2YR
X601398.CH.EQUITY,0,0,0.163339278314541,0.0728195172672649,0.0463465318251754,-0.00300671997332817,0,0.354579867938774,0,0,0,0.0765121879400624,0,0,0.0258847835208619,0,0,0,0,0,0,0,0,0,0,0.0747460096065122,0.074026345147731,0,0,0,0,0,0,0,0,0,0,0.104222828289294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0.0100699991055319,0,0,0,0.158279363106683,0,0,0.0124998234721224,0.108762190956241,0,0,0.0307084631637237,0,0.0468385718870122,0,0.145416415714975,0,0,0,0,0,0,0,0,0.0930269716396814,0,0.0922741915132695,0,0,0,0,0,0,0.103255447280986,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0670875899803139
X601939.CH.EQUITY,0,0,0,0.0951311109849175,0,0,-0.0363192742363907,0,0,0,0,0.0989068979852384,0,0,0.0221435947881357,0,0,0,0,0,0.0104814559284896,0,0,0,0.149657191119942,0.617048325140495,0,0,0.0732902302183726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125502836416003,0
X601288.CH.EQUITY,0.229810719366698,0.05009245415193,0.0422952051757848,0,0,0.0830808640703179,0,0.394446703460332,0,0,0,0.0514789129308214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0463220054479985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0908611112943675,0.0456004543197602,0,0.0305915285247033,-0.0906799741282382
X600036.CH.EQUITY,0,0.131108379957493,0,0,0,0,0.208566544926599,0,0,0,0,0,0.204775170682877,0,0.164170077040692,0,0,0,0.0163504709490077,0,0,0,-2.16840434497101e-19,0,0,0.166192365158246,0.237011994895459,0,0,0.0226444802236108,0,0,0,0,0,0,0,0,0.0904967632652581,0,0.0232645588200212,0,0,0,0,0,0,0,0,0,-0.0764646200276046,0
X601628.CH.EQUITY,0,0,0,0.106057122868429,0,0,0,0,0,0,0,0,0,0,-0.188641009596594,0,0,0,0.0364779977543202,0,0,0.0329930868666917,0,0,0,0,-0.0169330939838785,0,0,0,0,0,0,0.0438574194950587,0.633003642374197,0,0,0,0,0,0,0,0,0,0,0,0,0.0657182519540596,0,0,0,0.209312317349447
X1299.HK.EQUITY,0,0,-0.0745486275381064,0,0.0643718376454076,0,0,0,0,0,0.164801228980016,0,0,0,0,0,0,0,0,0,0.179878462022995,0,0.171211901114797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105911518101665,0,0.0735052437624849,0,0.0784864291944305,0.132094194147538,0,0.0883840633121719,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0.631285397496769,0.202124165871146,0,0,0,0,0,0.118561921038537,0,0.0906065490650046,0,0,0,0.0734281099452897,0,0,0,0,-0.0454318243944977,0.014253949852004,0,0,0,0,0,0,0,0.0444603666623675,0,0,0,-0.00265989074245201,0,0.0187396328660323,0,0,0,0.0889216457076819,0,0,0,0,0,0,0,0,0,-0.064464741168193,0
X5.HK.EQUITY,0,0,0,0,0,0.00930042444585034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134074993144254,0,0,0.174259709285096,0.0841705628315921,0,0,0,0,0.0155429685710437,0,0,0,0,0,0,0,0,0,0.339383648398169,0,0,0,0,0.162979046071553,0,0,0,0,0,0,0,0
X601166.CH.EQUITY,0,0,0.0165612806696486,0,0.220388048108989,0,-0.0285000968730028,0,0,0,0,0.076573019957881,0.0991920291162768,0,0.0605348675133568,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.141071713765537,0.314791977815219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0137291136479954
X388.HK.EQUITY,0,0,0,0,-0.0649894942028805,0,0.159238699247065,0,0,0,0,0,0,0,0,-0.0383492265459728,0,0,0,0,-0.103614273337517,0.5548234240717,0.0267061595589099,0,0,0,0,0,0,0,0,0,-0.00828662804738851,0,0,0,0,0,0,0.116053717594616,0,0.115168264315118,0.087884735998035,0,0,0,-0.243858692685712,0,0,0,0.153425102060689,0
X601658.CH.Equity,0,0,0,0.27145678573588,0,0,0,0.0436429205590093,-0.17195385238732,0.275437589962024,0,0,0.0971717099195903,0,0.0128224023822479,0.0759503141521537,0.391783742819811,0,0,0,0,0.305255113522509,0,0.00538386766260557,0,0,0,0,0,0,0,-0.548180229701849,0,0,0,0,0,0,0,0,-0.0702976951680244,0,0,0.139649527951052,0,0,0,0,0,0,0,0
